 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.989335	0.00784824	0.00234775	6.73863e-05	6.48191e-05	5.2453e-06	3.95366e-05	0.000291804
u	0.99628	0.00129909	0.00197934	0.000308271	7.22849e-05	2.91965e-07	9.81581e-07	5.95615e-05
à	0.619017	0.368926	0.00683997	0.00505716	0.000119861	1.11526e-05	1.13909e-05	1.80323e-05
i	0.0796655	0.908468	0.0115859	0.000176241	5.65731e-05	9.79497e-07	1.27714e-06	4.5789e-05
m	0.037981	0.317964	0.631553	0.0113097	0.000769718	1.33262e-05	2.76017e-05	0.000381266
è	0.0804369	0.574316	0.199506	0.0556496	0.0793068	0.000386876	0.000427826	0.00996991
r	0.0296399	0.84703	0.106719	0.00128149	0.0125767	3.43005e-05	8.37748e-05	0.00263468
i	0.0174426	0.254446	0.707194	0.0171332	0.000445383	6.60108e-05	0.000128475	0.00314366
n	0.00767471	0.409899	0.303766	0.244564	0.0145175	0.00583268	0.0116856	0.00206118
g	0.00103631	0.0195055	0.868406	0.0876384	0.00448296	0.00422908	0.0010179	0.0136842
h	0.0011948	0.0381288	0.0736938	0.147838	0.20421	0.0542618	0.137473	0.3432
ì	0.00444392	0.0890364	0.0942182	0.159559	0.320852	0.0250458	0.0763656	0.23048
z	0.003266	0.0108078	0.956415	0.0270545	0.000531631	0.000121718	4.95921e-05	0.00175358
i	0.000421783	0.00152663	0.961416	0.034862	0.000404859	6.61522e-05	6.39345e-05	0.00123906
n	0.000186571	0.00240813	0.0156218	0.856009	0.0620464	0.0249995	0.0282492	0.0104793
a	0.000606214	0.0018988	0.174964	0.715013	0.0201512	0.0276556	0.00595621	0.0537549
v	0.000111481	0.000755683	0.00410508	0.662819	0.208392	0.0517923	0.0344955	0.0375283
o	0.00130001	0.00286593	0.0340001	0.695028	0.0865941	0.0538049	0.0126577	0.113749
r	8.38086e-05	0.000461901	0.000977043	0.250259	0.4463	0.176245	0.0572338	0.0684394
à	0.000628234	0.0011449	0.0129737	0.263555	0.234785	0.0900554	0.0406971	0.356161
s	0.000794624	0.00117098	0.0159553	0.0224437	0.645965	0.00209227	0.00264998	0.308928
o	0.00164632	0.00320368	0.0586928	0.420102	0.236431	0.0931092	0.0313093	0.155506
m	7.12936e-05	0.000224501	4.70861e-05	0.0216279	0.286669	0.356781	0.319235	0.0153445
e	0.00144173	0.0031831	0.00828771	0.0163673	0.0376506	0.399955	0.0653151	0.467799
o	2.14117e-05	8.63275e-05	1.74613e-05	0.00240449	0.0364185	0.485828	0.409416	0.065807
t	0.000289222	0.000485976	0.000607086	0.00174811	0.00733221	0.178068	0.476624	0.334845
s	0.000291826	0.000445534	0.000379194	0.00141959	0.00343029	0.166409	0.40797	0.419654
o	7.13853e-06	3.14576e-05	3.80552e-05	0.00163533	0.00785553	0.189459	0.56356	0.237414
m	0.000100127	0.000168037	6.94887e-05	0.000907203	0.00304194	0.021887	0.331386	0.64244
ì	0.00115391	0.00125917	0.00196461	0.00227531	0.0134514	0.0565661	0.652345	0.270984
</S>	0.00103559	0.00147908	0.00547475	0.00040081	0.00470753	0.000813687	0.0448511	0.941238
