 	tu	quante	bottiglie	hai	rotto	dieci	</S>
e	0.93117592	0.06403029518	0.00408279527052	0.00014146659304	8.8168639242e-05	0.000305313231007	0.00017606659646
s	0.451960726	0.513118099	0.0167092893266	0.002542455052	0.001146151163	0.0103166638836	0.00420666194655
ù	0.2681593124	0.716194382	0.01110117378	0.000920333684	0.00021958400392	0.00101583063958	0.00238939673845
p	0.1446622538	0.765960514	0.085099754883	0.00108360345	0.00058627273588	0.002256634099	0.00035098440992
ò	0.074448935	0.85595973	0.0260309481	0.01445480788	0.0220960939541	0.00281917742328	0.00419040055565
s	0.04906585644	0.712352393	0.23169834528	0.005201327606	0.000958631997326	0.0006066895237	0.0001168129816
e	0.08922849332	0.737472228	0.1180901994	0.032810367614	0.00496022942806	0.00805218796401	0.00938635634063
b	0.051461616228	0.41878019786	0.45838965	0.04459763794	0.0171607938214	0.0077645896504	0.0018454958576
o	0.10580933034	0.233522746	0.62354122	0.0253317818	0.003720071786	0.003251987248	0.00482283859061
t	0.037427175678	0.08332765252	0.76279327	0.0769891308	0.006633400288	0.0172709096259	0.0155585095286
t	0.027548408038	0.05120060332	0.804051512	0.1046134105	0.00527178114	0.0025328351146	0.00478147318028
ì	0.040444711866	0.03921253066	0.584307518	0.290527447	0.01265466934	0.014219780492	0.0186333493999
g	0.0098513905968	0.00984147736	0.612367876	0.316160884	0.037888865552	0.00676805629238	0.0071214432566
l	0.0079781886288	0.02482891098	0.517911284	0.3047471506	0.1075159832	0.030575651506	0.0064428431754
i	0.12998035156	0.043742922536	0.391540673	0.28067555	0.02673998922	0.067989314332	0.059331169512
e	0.030396390456	0.01911712792	0.0801125896	0.711223982	0.110875973	0.03096532548	0.01730865082
ì	0.01508169164	0.00977705642	0.06884621946	0.58646073	0.2142919732	0.07849756328	0.02704475473
s	0.0088457972	0.006043843432	0.016050138079	0.460154824	0.435561884	0.05511668606	0.01822682608
e	0.00168179956588	0.00225734600002	0.01171126704	0.49157781	0.3413449132	0.1261792882	0.025247549878
g	0.01242712033	0.007836771498	0.01285307205	0.2968847784	0.4370899	0.1481779748	0.0847303746
l	0.007000778715	0.0046176256792	0.00992592858	0.1324576494	0.4085532956	0.2872879012	0.15015681596
a	0.00423757437796	0.0051057538214	0.013602065802	0.06191725424	0.4391817532	0.2702115688	0.20574402218
m	0.0114065403092	0.0030871306941	0.0036581811972	0.11072783154	0.3476730796	0.3502105332	0.173236714
m	0.003529879585	0.00990548019326	0.0025530509044	0.02313673136	0.4111685762	0.376711556	0.1729946832
è	0.0236846868246	0.003301399066	0.0046946850908	0.022495672994	0.4108131005	0.2607689354	0.2742415006
n	0.0633187898846	0.0031977354228	0.00499937453	0.023706920326	0.21518995688	0.3723333834	0.31725381506
a	0.0070968398188	0.0144582413488	0.002984738442	0.097823419192	0.243064704	0.426811304	0.2077607358
d	0.017787315888	0.02097896942	0.01068970077	0.09676764228	0.10337128628	0.3697822694	0.3806228174
è	0.0032897365992	0.004175919239	0.0010098780604	0.0037922630382	0.040984947234	0.628291542	0.3184556728
k	0.022819586156	0.004245179574	0.0071684128718	0.067575350271	0.15986134576	0.568868202	0.1694619204
a	0.0011012475976	0.0020264194434	0.0004264782576	0.0025389435714	0.08064270006	0.786686824	0.126577376
</S>	0.04282686064	0.02517160612	0.017597048554	0.15227012462	0.0951363061	0.1573577032	0.509640322
