 	voglio	che	Maria	venga	domani	</S>
i	0.98647769	0.00821006472	0.003081966134	0.0003128545398	0.00170247259219	0.0002149101458
t	0.91307354	0.07142387876	0.01259423716	0.00100445326092	0.0008125513481	0.0010913042684
è	0.55981263	0.2123679308	0.15857441464	0.0356862559736	0.0253857165408	0.00817308676
l	0.656266886	0.299570347	0.0413937522	0.000486222482	0.0014508253302	0.00083194782392
o	0.4200813248	0.408291544	0.146049484	0.009446261322	0.005566069898	0.0105653357026
i	0.0547318928	0.81253847	0.10675829068	0.01644008116	0.005668017084	0.0038631972868
M	0.00782496776	0.0966293236	0.783836066	0.07437499022	0.029644039328	0.007690577401
a	0.01472733762	0.337570966	0.414389982	0.0939553196	0.120789469444	0.01856692692
r	0.03697450372	0.3151728418	0.417666636	0.0722101427	0.019557904528	0.13841794811
ì	0.02702808868	0.0759708818	0.447677786	0.1605738916	0.093463506616	0.1952858375
a	0.131974090872	0.16625916952	0.2573407602	0.3824894416	0.0374338868	0.024502638338
n	0.037137380367	0.025818022768	0.0964163252	0.625439796	0.155191522	0.0599969578
a	0.0018047755522	0.0562087248668	0.157352428954	0.27541004428	0.4455342924	0.06368974594
r	0.047282583908	0.174386131306	0.05432541566	0.3637232381	0.1297613844	0.2305212654
t	0.00071657213	0.027611233654	0.055449827536	0.14190134	0.3482991968	0.4260218151
i	0.173119882203	0.196827224671	0.0089061228888	0.01639567664	0.25091087348	0.3538402238
à	0.06026639121	0.05716950821	0.014706633348	0.1551100678	0.3718231284	0.340924269
v	0.0021568346708	0.0100885555943	0.0129448037768	0.072407549732	0.777698506	0.12470374446
v	0.00025819108094	0.0052690964742	0.003366302088	0.02852030559	0.93086146	0.031724677
r	0.011017239816	0.132948134808	0.019717031164	0.0181819645	0.429208619	0.38892705
i	0.0858454519006	0.264818297556	0.030505775688	0.01311238844	0.1880703474	0.417647781
</S>	0.19198107982	0.047789024332	0.006438860504	0.038766345512	0.11671462052	0.598310069
