 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.65999299846	0.1812112314	0.0519590525447	0.005277369276	0.0033641155604	0.000565275593507	0.00206594987118	0.0600793588236	0.035484656513
n	0.415509624553	0.3239160848	0.137846489515	0.010325492986	0.0076870031076	0.0016028694797	0.00344979455983	0.0604727159501	0.0391899198189
e	0.198045743184	0.3845234976	0.291811811972	0.0217261332687	0.0097494948592	0.00293721421722	0.0142774797005	0.0516057346511	0.0253228986538
s	0.092983326088	0.295585505767	0.453848700324	0.0463077173896	0.0135278931997	0.00291041270186	0.0165096443498	0.0500819057257	0.0282449204916
p	0.0521625330627	0.188020599076	0.579339732108	0.102465974297	0.0260623925066	0.00253814017889	0.00792513237113	0.0196461825291	0.0218393371939
ì	0.0328575730162	0.0870299708787	0.709195779369	0.122075269966	0.0257342999422	0.0025017732451	0.00521400114077	0.00746212530977	0.00792923260263
c	0.0218133601607	0.0455901351062	0.76649708179	0.130892129989	0.0165390452141	0.00323685681117	0.00266639762045	0.00348072372512	0.00928429258526
c	0.0190689028136	0.0301009214887	0.64335939193	0.239069979796	0.040876493418	0.00456630461839	0.00914684369945	0.0028434173058	0.0109677573423
e	0.0163550700465	0.0228410408316	0.41464394311	0.421156108199	0.091266740286	0.0154853538675	0.0114586434874	0.00180822518739	0.00498488030002
t	0.0136081665595	0.0175239935105	0.30596124107	0.535167492866	0.0983701794287	0.0202268438692	0.0051760542818	0.00115702851092	0.00280900369101
s	0.00842135020461	0.00972061756817	0.28445233119	0.587273275489	0.0840544275429	0.0164633291764	0.0052559983376	0.00173888628369	0.00261979314368
a	0.00573286553465	0.00630484168939	0.164904541697	0.608831812496	0.180499538314	0.0240995494721	0.0062127663666	0.00164242475644	0.00177168020131
o	0.00629219121322	0.0071232470934	0.061948876395	0.487537833299	0.369217463705	0.032533784984	0.00796637739927	0.0103314592962	0.017048802162
s	0.00763568021714	0.0126455536494	0.028130726461	0.3222399459	0.513517702568	0.0576441572613	0.0138877654884	0.0167991338561	0.0274993603852
ò	0.00800215253711	0.0147687744551	0.0169656202963	0.207934591633	0.597619891523	0.113527284087	0.0159215643628	0.0096364040763	0.0156237286762
z	0.00731141987968	0.0143208161816	0.0136253680054	0.193760051811	0.561887613841	0.161197149429	0.0199591682076	0.011682937608	0.0162554783487
o	0.00923429540587	0.0174601795825	0.0150389411835	0.174517915837	0.440808905947	0.262460452876	0.0466562288625	0.0152957158643	0.018527360752
s	0.00910728044559	0.0149310218704	0.0113040987131	0.0889061638457	0.399343242649	0.368449526292	0.0769096577542	0.0127300877441	0.0183189287
p	0.0080625366273	0.0129635727987	0.011538386226	0.0486194454019	0.32804836455	0.453070060097	0.0894810049181	0.0189178427627	0.0292988007573
i	0.0105229153309	0.0116203554132	0.0127262055017	0.030077879902	0.196608382917	0.570174435366	0.118297995839	0.0201261029542	0.0298457284464
c	0.0084354529433	0.0102117641904	0.00861260753957	0.017277829322	0.131994532639	0.593434568455	0.17128757048	0.0225922711781	0.0361534104121
c	0.0170896076844	0.0199980470788	0.0139439367874	0.010683906534	0.0979307682797	0.494028726018	0.19879775096	0.0414842478194	0.106043026451
è	0.0250421297898	0.0204845465609	0.0144031855643	0.00781903149133	0.0589609139399	0.419337056673	0.253388893587	0.0691615376998	0.131402718144
t	0.0151424074533	0.0104165759685	0.00642126538777	0.00743357893778	0.0456731103426	0.432769564224	0.285941702462	0.111823212175	0.0843785987747
s	0.00961923086983	0.00747987709797	0.00499430789236	0.00782755208426	0.0484515432302	0.420843012608	0.240795148754	0.171403986087	0.0885853344649
i	0.0103892915753	0.00835846976557	0.00850062570962	0.0129545364084	0.0440507999701	0.340548292403	0.268451665785	0.182086040076	0.124660252428
t	0.00684838390499	0.00976550736932	0.00862433062192	0.0126058732968	0.02872707029	0.302427443914	0.312216751662	0.180495752672	0.138288876096
s	0.00380097489581	0.00781650592433	0.00617903406957	0.00547549557067	0.0120369304411	0.270755396951	0.309206681487	0.224585564184	0.160143412665
e	0.00723937797846	0.00751928790487	0.00867999687448	0.00948419312796	0.0135544090962	0.201456465817	0.272035933962	0.244067872375	0.235962453502
g	0.00791199573809	0.00803920170482	0.00820063866285	0.011084408978	0.0155284232554	0.165040235106	0.235788718787	0.258282402792	0.290123973234
r	0.00443186935086	0.00620103994552	0.00579968826712	0.0062695710284	0.00936623643313	0.125960953302	0.241705498596	0.272219836531	0.328045318078
à	0.00568916108944	0.00543673403335	0.00593185815479	0.00600247651653	0.0107786543937	0.115371958421	0.192364019065	0.320533002577	0.337892149159
t	0.00553870467387	0.00987200239932	0.00511999445726	0.00516537124311	0.0109147706639	0.142109805154	0.132335325555	0.412188218459	0.276755823986
s	0.00911620772228	0.017162707955	0.0125092705386	0.00608409748484	0.0065517602837	0.142041570311	0.103492559318	0.458478995353	0.244562835062
i	0.0136213035624	0.0175818234623	0.0190086892664	0.0146703126485	0.0138046598376	0.11808762551	0.0667124012393	0.347287415651	0.389225758954
</S>	0.0126599895272	0.0153679439258	0.0175862212864	0.0207714694012	0.0216615152688	0.104707115315	0.0493082756196	0.228892463026	0.529044997477
