 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
u	0.739259738	0.19286753763	0.003740055042	0.0068397078194	0.00464473880466	0.0024495260568	0.000702869745025	0.0247831500852	0.0247127012646
g	0.568591502247	0.35090893521	0.00938843764247	0.00929352578073	0.00532163101984	0.00261074682228	0.00075335212055	0.025126335514	0.0280055368176
e	0.390215970009	0.529025660403	0.039737151216	0.00844655471784	0.00286022135252	0.00490766886211	0.00101031101805	0.00922796862723	0.0145684913554
n	0.232082265252	0.682556316134	0.0529634519013	0.0102280803866	0.00223327233113	0.0057646348559	0.00108291236595	0.00365706762756	0.00943199955708
i	0.160535564587	0.723247760045	0.0896728571964	0.0137055908449	0.00213430912104	0.00261505077532	0.000571033058156	0.00140271564295	0.00611512365564
t	0.0876457151357	0.756906956682	0.116277858752	0.0238625160756	0.00507426999035	0.00180294011866	0.000410340718511	0.000796878361541	0.00722253203389
ò	0.0411992985386	0.725779350894	0.177201569137	0.0398899098699	0.00659460281212	0.00123055719855	0.000233911418632	0.000554187938316	0.0073166166378
r	0.0272801495395	0.682774860298	0.216969513439	0.04682541989	0.00866770325271	0.00209183768885	0.000484506524156	0.00134367767663	0.0135623287493
u	0.0313105605998	0.503023705433	0.281054789873	0.12501349063	0.0334231038242	0.00415399240962	0.0014589343755	0.00372146917075	0.0168399411364
e	0.0306409410199	0.218114981478	0.376533664091	0.248503814877	0.0634398172081	0.0244166724032	0.0070531133131	0.00513699945048	0.0261599845613
n	0.0220104069046	0.161848256359	0.266847224542	0.348465543826	0.113850566803	0.0391510428411	0.0093786093947	0.00583023203129	0.0326181121077
è	0.0211354929229	0.144465941006	0.154686977492	0.413970075475	0.187973245601	0.0424313339604	0.00735873471557	0.00776098338343	0.0202172212542
n	0.0266038250649	0.102044154862	0.101678465297	0.387703084892	0.2993621812	0.0474295520935	0.00684296203052	0.00987643411424	0.018459346835
u	0.0258027968322	0.067344366754	0.0561779836323	0.294538323631	0.403916719733	0.109211985938	0.00827337036484	0.0130816260688	0.0216528375094
s	0.0154106134741	0.032201701014	0.0342154551774	0.190559853944	0.481472052578	0.187977405046	0.0141030867883	0.0138342753463	0.0302255766336
a	0.00837307582877	0.02118343512	0.0203143214925	0.116841903781	0.475068796193	0.286459051082	0.0221300719961	0.0158632923134	0.0337660762256
l	0.00559951631692	0.0118242616247	0.0147533105175	0.068052675327	0.392237320398	0.391831856227	0.0476927972254	0.0292493956365	0.0387588831143
l	0.00560973968684	0.0079698339597	0.0113995416392	0.0391790847823	0.306476802466	0.389212663142	0.127337338715	0.0536649059315	0.0591500950208
i	0.00939004125348	0.0068088555327	0.0232673092664	0.0306325705741	0.194907495955	0.376607416847	0.192302690385	0.0923554723132	0.0737281483869
m	0.00788215798909	0.00387332891403	0.0226949359461	0.021030686178	0.128554999185	0.390920776549	0.251933863062	0.101104451205	0.072004810509
o	0.00770372169563	0.00601184589248	0.0122805017594	0.0173535906967	0.091180222795	0.383312504276	0.278659960621	0.145839134769	0.0576585345497
n	0.00862532942814	0.00748624689749	0.00952391869473	0.0166049263962	0.062264680065	0.345659099719	0.242826402074	0.21943884779	0.0875705615166
ì	0.00597508172338	0.0046759066145	0.00636541425051	0.0112323274854	0.042029645535	0.311354953797	0.225279707405	0.29560285573	0.0974841084522
s	0.00458789195792	0.00297260232077	0.00533848276404	0.0114933492078	0.0563293449183	0.279822694663	0.193850263468	0.369052187534	0.0765531752307
o	0.00584590619503	0.00289464260819	0.00931093097121	0.0145009480053	0.0656238166594	0.191823626328	0.167727260309	0.411335779135	0.130937088277
m	0.00603962924294	0.002801106005	0.00944484657044	0.0120705202238	0.0356735301998	0.130197679943	0.152227372236	0.451369542178	0.200175777892
e	0.00375439152491	0.00351884392673	0.00601180527199	0.0132525434791	0.0295546664768	0.0938644341543	0.105714890639	0.530685175193	0.213643252684
m	0.00313167578944	0.00381725667391	0.00508055248765	0.0132259533418	0.0244672579231	0.0522904883714	0.071313350153	0.565002912798	0.261670558481
a	0.00282345152201	0.00283325618668	0.0036405032086	0.0086941585348	0.0146755969653	0.0361530209025	0.0533879691977	0.599516555999	0.278275500927
i	0.00414993590907	0.00352300035074	0.0110030264344	0.0109649223995	0.0160275217909	0.0199947202515	0.0287711560659	0.592004416666	0.313561305609
</S>	0.00535072574454	0.00380765800037	0.0183146785282	0.0123194107449	0.0162955266238	0.0172905489537	0.0218413471829	0.513656858333	0.391123240204
