 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.868023742	0.103984999699	0.0070137830747	0.00270382239298	0.00268094751231	0.00098319139731	0.0146095348496
n	0.7070654294	0.250285388346	0.00994432927443	0.00321914178893	0.00293288761924	0.0019532901785	0.0245995407283
a	0.510283182787	0.439603766229	0.0217786318993	0.00527585252818	0.00235530489415	0.00223960225273	0.0184636459392
v	0.306773720762	0.606158914876	0.0637721611664	0.00849682340953	0.00248819264372	0.00221020524264	0.0100999619878
o	0.142958924141	0.628126669625	0.146609705455	0.0161191742865	0.00331389779504	0.00741261886768	0.0554589797484
r	0.0709566600397	0.548802066542	0.225924049418	0.0517308452415	0.00736865328368	0.0138352227241	0.0813824763852
à	0.0442251330259	0.415233784181	0.352522031939	0.121643505147	0.0115891227999	0.011041427556	0.0437449822269
s	0.0244087073486	0.28843588826	0.49467723198	0.148115153126	0.0109455117233	0.00662633288333	0.0267911753062
o	0.0181055543329	0.196863931933	0.54031815866	0.195952103319	0.0181697131111	0.00917583104644	0.0214147151482
t	0.0199110110744	0.0902856247977	0.496573706887	0.344808352693	0.0242740045704	0.0113149173121	0.0128323834311
o	0.0211732187129	0.0441161162059	0.382493877762	0.445038940618	0.0755745790568	0.015741333566	0.0158619423074
t	0.024582142053	0.0229592088686	0.265055976254	0.520118899806	0.109762231152	0.0315753321507	0.0259462166825
s	0.0171643062637	0.0138497978582	0.221578648171	0.600362961335	0.0754766034507	0.0359042333902	0.0356634406366
o	0.010490466994	0.0105718443787	0.16215969211	0.529191947578	0.196142616084	0.0471797940834	0.04426362419
m	0.009637509698	0.00755383844357	0.0866431657367	0.499847691193	0.271203841361	0.0592704233945	0.06584351677
ì	0.006433752416	0.00443743213119	0.0541171193716	0.418251017331	0.36120696712	0.0896914103982	0.0658623041233
k	0.00381629096153	0.00270133654973	0.0254740064899	0.250020905044	0.470725828373	0.170263054933	0.0769985936144
a	0.00848508731938	0.00323168628684	0.0209879823212	0.170373435188	0.437562720124	0.263248725644	0.0961103732648
i	0.0111445045291	0.00576069202455	0.0169445918389	0.0805866300973	0.338387802241	0.427907615881	0.119268167488
m	0.00585622117677	0.00588498253618	0.00883019238363	0.0364019016671	0.22263456588	0.543184310627	0.177207820296
è	0.00487601804092	0.00356970642839	0.00423116376988	0.020554697665	0.17068189076	0.643486565542	0.152599952725
r	0.00458412917091	0.00239507346193	0.00288403471076	0.00982267734247	0.09752733016	0.759516696514	0.123270062882
i	0.0212959696026	0.00298989608678	0.00892261616972	0.00719210104296	0.0602233767333	0.598607342171	0.300768692774
</S>	0.0394808526803	0.00419981770839	0.0148925191309	0.00810335923748	0.0536411333266	0.422647461085	0.457034839887
