 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.9782151	0.015159924	0.0015371726	0.005017218	6.685998e-05	1.4488866e-06	1.5302942e-06	8.53324e-07
t	0.92959607	0.0702428	0.00010193717	5.160621e-05	6.451844e-06	4.8354923e-07	2.5339295e-07	3.8977262e-07
i	0.9834011	0.016552968	2.113603e-05	1.9757392e-05	4.810437e-06	1.9905666e-07	2.178859e-08	8.381066e-08
p	0.1419813	0.8146815	0.041638497	0.001616589	7.669692e-05	8.7710583e-07	3.553617e-06	1.0341802e-06
à	0.31089097	0.6126193	0.021225402	0.046949875	0.007866873	0.00033820016	6.09249e-06	0.00010322803
s	0.029784542	0.9682055	0.0016883475	0.00020777478	9.657929e-05	1.4059838e-05	2.2658644e-06	8.587605e-07
t	0.1579171	0.80901104	0.016761722	0.008676277	0.0067573576	0.00037780922	0.00016128493	0.00033748208
a	0.42413118	0.54369724	0.010288744	0.017471345	0.0041622054	0.00013519818	1.8833982e-05	9.524108e-05
v	0.0031160295	0.27474985	0.5562404	0.15406427	0.011155739	0.00039500243	0.00014424775	0.00013451885
à	0.027069088	0.040137324	0.1348956	0.52530855	0.2589273	0.009006914	0.0005931566	0.004062112
l	0.009052396	0.14761603	0.51747113	0.2627404	0.05574122	0.005132167	0.0016948989	0.0005517331
e	6.840216e-05	0.029409768	0.48933333	0.12796047	0.2261675	0.07724007	0.032810405	0.017010067
à	0.0036288167	0.0029076915	0.41668797	0.50696874	0.06331742	0.0038994278	0.0013349893	0.0012548763
l	0.00065267715	0.00077898067	0.51666576	0.3861646	0.078579254	0.009868142	0.0039815498	0.0033090468
a	6.2553054e-06	0.00010570335	0.44647333	0.13188894	0.23125696	0.114433445	0.051531352	0.024303973
e	0.0023622923	0.00032342962	0.01688308	0.381994	0.44539595	0.11873766	0.013859171	0.020444356
t	0.00059455144	6.31323e-05	0.002203472	0.074695535	0.4460042	0.3959364	0.02949574	0.051006906
è	5.8236915e-06	9.5009693e-07	0.004019858	0.12347419	0.55887586	0.19143799	0.044378996	0.07780634
l	0.0021852555	0.00038397347	0.0013538055	0.010897847	0.13944176	0.51236767	0.21577378	0.11759588
i	3.5669052e-06	1.7265156e-05	0.03297483	0.032777183	0.27776083	0.37758398	0.18224463	0.096637666
t	0.0003008243	0.0002466385	0.00027215804	0.003350094	0.014271716	0.5043712	0.1332531	0.34393424
à	4.170511e-05	8.683404e-06	0.00037229614	0.001973871	0.04574812	0.38655844	0.1732781	0.39201877
l	0.00060827605	0.00049381994	0.00014980097	0.0012097245	0.0022088331	0.20457359	0.54440695	0.246349
a	5.284924e-06	1.4636353e-05	0.0014480866	0.00028189996	0.005541129	0.31871963	0.39355457	0.28043476
</S>	0.0019040698	0.0043299724	0.000925735	0.008487236	0.0104081845	0.057002485	0.22598994	0.69095236
