 	guardando	le	nuvole	capisco	che	piove	</S>
k	0.97005826	0.029534446	0.0003764139	2.6805717e-05	2.0163582e-06	1.9065387e-06	1.8677943e-07
a	0.7395938	0.24913524	0.011056306	0.00020440691	8.91664e-06	5.3848936e-07	7.790344e-07
n	0.23430099	0.74608046	0.017553963	0.0016950391	0.00028880493	6.538003e-05	1.5381856e-05
o	0.12147438	0.7505795	0.12542987	0.0024222587	8.5694825e-05	1.5303086e-06	6.833317e-06
n	0.004179382	0.85327804	0.13856892	0.0035371385	0.00032295682	0.00010095174	1.2600886e-05
ò	0.013332728	0.5034467	0.46958625	0.013099638	0.00044373222	2.377447e-05	6.708798e-05
n	0.0028556758	0.119773135	0.79118	0.07561291	0.010213732	0.00021788129	0.00014667251
t	0.022139978	0.28232858	0.6678557	0.024972586	0.0021910677	0.00014194382	0.00037024723
a	0.012097761	0.036435455	0.91070575	0.036738034	0.0030414623	0.00021445275	0.00076711964
t	0.0010807926	0.025910787	0.676426	0.24678266	0.04455218	0.002362898	0.0028845775
a	0.0005497738	0.0018303803	0.73467433	0.2441854	0.014191028	0.0011166356	0.003452375
s	0.0039817486	0.008726558	0.019397214	0.69078195	0.24561344	0.02001268	0.011486377
ì	0.00022891523	0.00016315024	0.045988962	0.8152773	0.099610604	0.0077940146	0.03093707
n	0.0021877396	0.0008530095	0.0019071999	0.3283623	0.5533259	0.064235024	0.049128827
n	2.6250174e-05	0.00025053121	0.08478758	0.58600587	0.19688694	0.08129716	0.050745614
e	4.1126506e-05	1.308983e-05	0.00034124043	0.20983945	0.32154047	0.17361131	0.29461333
f	0.002163437	0.00069794344	0.00025045272	0.009947331	0.32872996	0.22660756	0.43160328
a	0.00029776277	0.00040350048	0.013829451	0.085022904	0.37893638	0.23757736	0.2839326
n	0.0045542503	0.00067369326	6.988617e-05	0.0022307264	0.14306758	0.53409714	0.31530672
o	0.00010930951	2.1849353e-05	0.00029742267	0.004429635	0.10963478	0.30471158	0.58079547
ò	0.0005242936	0.00019363062	4.3762084e-05	0.0007389283	0.017778935	0.63605976	0.34466076
k	0.000108296095	1.9616651e-05	7.5552944e-06	0.00025215256	0.0066023604	0.6141062	0.37890387
a	6.552027e-06	1.4118071e-05	0.0001195378	0.00010993284	0.002282074	0.75163907	0.24582867
v	0.0045851194	0.0038533697	0.0010202782	0.008338986	0.011640042	0.24170572	0.7288565
r	0.0006885289	0.00010454126	0.00036898817	0.0004747853	0.0006726189	0.20717667	0.79051393
è	3.2526958e-05	1.890771e-05	5.41926e-05	0.0028828916	0.0014058107	0.056515623	0.9390901
c	0.030027322	0.020802254	0.008248848	0.18007152	0.037651207	0.02236068	0.7008382
h	6.982356e-05	7.4926895e-05	0.00025583204	0.0006964443	0.0014210906	0.41728005	0.5802018
i	0.0036360004	0.0009985499	0.0040946044	0.023580357	0.009444028	0.07061095	0.88763547
</S>	0.030302621	0.06858628	0.030972157	0.2770678	0.1618056	0.061604537	0.3696611
