 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
t	0.98228145	0.015175529	0.0010406624	0.0014029976	6.07176e-05	1.7521423e-05	1.8559866e-05	2.2976094e-06	9.6539054e-08	2.5315675e-08	1.862443e-08	1.875118e-08
a	0.8656602	0.13325495	0.0009999502	6.9817324e-05	1.1087233e-05	2.3277635e-06	1.2477315e-06	3.94987e-07	4.503562e-08	8.6919725e-09	1.6630612e-09	5.9316285e-09
p	0.06571542	0.93045056	0.0037683442	6.4264146e-05	1.1301437e-06	2.0950722e-07	7.6961605e-08	1.2527887e-08	3.11622e-09	2.7922786e-10	1.478531e-10	4.5356363e-10
e	0.4903238	0.08485163	0.36555958	0.0458909	0.009428125	0.002323597	0.0007275672	0.000761105	9.883864e-05	2.6706177e-05	1.4123472e-06	6.789547e-06
d	0.05449074	0.90065455	0.043605443	0.0012297268	1.6679112e-05	2.3767811e-06	3.2727476e-07	1.4089115e-07	1.2915262e-08	1.1224586e-09	1.8239561e-10	3.7694947e-10
ì	0.08644134	0.26324743	0.37709066	0.19421019	0.05417874	0.013945829	0.005959085	0.0043705124	0.00037616916	0.00011626934	1.9240848e-05	4.4521123e-05
a	0.0005608176	0.050196033	0.91617566	0.030672226	0.001951551	0.00038317783	2.582125e-05	3.222701e-05	2.1887047e-06	2.7493968e-07	3.981469e-08	5.0142965e-08
e	0.0003570535	0.1960404	0.79347616	0.009179903	0.00078004994	0.00011378666	4.236096e-05	9.042318e-06	1.0548192e-06	1.07544665e-07	2.4572877e-08	5.8882318e-08
s	0.003100433	0.27249095	0.67476326	0.04726223	0.0018245269	0.0003410717	0.00014247186	5.6742992e-05	1.4923982e-05	2.7632195e-06	1.0712591e-07	5.7278197e-07
ò	0.00085283705	0.006155202	0.09348931	0.66362584	0.14276235	0.050833233	0.025274405	0.015469455	0.0010794925	0.0002773884	5.3824784e-05	0.00012665681
z	0.0055619325	0.07236717	0.29962113	0.56695336	0.044606328	0.009321637	0.00087137974	0.00065972056	3.1511525e-05	2.7238577e-06	1.5257674e-06	1.5318516e-06
u	0.00026803033	0.0064515457	0.11329215	0.5710446	0.21100503	0.057750847	0.020579368	0.016898787	0.0019320336	0.0004353068	8.5332016e-05	0.0002569435
n	0.004527653	0.002309812	0.09252943	0.44940215	0.32249102	0.09079822	0.02499684	0.012321759	0.0005780972	2.8162694e-05	2.623759e-06	1.43075085e-05
e	2.0331889e-05	6.4145256e-06	0.006184019	0.43994606	0.33565447	0.11434519	0.056142945	0.04182005	0.0038325156	0.0011541568	0.00023882558	0.00065505865
f	0.0023141496	0.00019943823	0.0030983167	0.12378354	0.47836474	0.26130372	0.0727097	0.055790477	0.002292924	9.547019e-05	7.5440676e-06	3.9996015e-05
à	3.8756334e-05	1.1454188e-05	0.0015733627	0.18134719	0.46651003	0.1487922	0.13141765	0.054787103	0.007923057	0.0039623426	0.0013401307	0.0022967958
i	0.002611061	0.0031725331	0.0138205765	0.17041811	0.55080515	0.2167632	0.021374151	0.020368416	0.00057054777	4.9410733e-05	2.1480255e-05	2.5337698e-05
t	0.00026278337	0.00011328763	0.00014411211	0.0045333705	0.28543526	0.40974304	0.13790102	0.15162879	0.009487507	0.0005462073	3.1543495e-05	0.00017311804
o	4.537256e-06	3.8741e-07	1.7404895e-05	0.010702203	0.3414522	0.24550271	0.24339667	0.12921275	0.016794208	0.007479384	0.0023960369	0.0030415878
g	0.00021987745	3.6341782e-05	1.4765444e-05	0.00019741742	0.050580427	0.36321276	0.27547494	0.29221225	0.016871247	0.0007793371	6.950376e-05	0.00033119708
e	9.556114e-06	1.4622722e-06	8.947331e-05	0.0016101808	0.14334896	0.25329313	0.37421662	0.16445138	0.029697398	0.016589291	0.006630747	0.010061799
l	0.0026655258	9.5783515e-05	1.2958463e-05	8.267629e-05	0.011817122	0.21271701	0.42145735	0.32620233	0.023521466	0.00088783045	0.00010792486	0.00043192226
à	1.1506825e-05	2.3028797e-06	6.2549385e-05	0.00062883156	0.041155748	0.20162971	0.43090418	0.2168318	0.048417903	0.028482642	0.012313857	0.019558946
o	0.003860343	0.0017498243	0.00013568503	0.00039829346	0.0063086227	0.3115151	0.1466008	0.49846527	0.026841668	0.0025472033	0.0005457552	0.001031427
p	3.7675487e-05	4.5683613e-05	4.583581e-06	2.2519e-05	0.00037215275	0.036652323	0.22546487	0.58242863	0.14077096	0.009778255	0.00072597625	0.0036964298
r	2.200146e-05	2.7299166e-06	1.4238493e-05	0.000109361696	0.0028114466	0.04889351	0.38592565	0.27516443	0.110965684	0.08957475	0.041129377	0.045386825
