 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.9838035	0.015200986	0.0009334752	4.2465017e-05	1.3115827e-05	6.261667e-06	3.609242e-07
m	0.92939514	0.06805948	0.0025190741	2.0925083e-05	4.610003e-06	7.651417e-08	5.7921704e-07
à	0.123809144	0.8441383	0.030702276	0.0013225704	2.4815985e-05	1.6351503e-06	1.2423752e-06
k	0.058979515	0.85757875	0.08030521	0.0031152144	2.086195e-05	8.186495e-08	3.6130223e-07
i	0.035172816	0.3154382	0.38928992	0.22493337	0.022812795	0.0043678866	0.007984999
n	0.0019121342	0.506676	0.47064906	0.02051046	0.0002430227	3.386269e-06	5.844864e-06
a	0.0030379805	0.7226102	0.22758049	0.04550538	0.0009882058	0.00019141538	8.63702e-05
t	0.0017074934	0.05683035	0.87948114	0.059248887	0.0026385488	5.979241e-05	3.376265e-05
è	0.0005599449	0.06543143	0.7539027	0.17183308	0.0065016197	0.0010377937	0.000733525
l	0.006852172	0.0027689408	0.8490176	0.1324181	0.00870555	0.00016116792	7.647299e-05
i	0.00027922748	0.049211126	0.7422454	0.18054633	0.014228329	0.010391289	0.003098335
s	0.0060986783	0.003286597	0.19921544	0.71401685	0.07508109	0.0013457433	0.00095558265
t	2.0523896e-05	0.00021395324	0.22017016	0.7341792	0.034020405	0.0069410787	0.0044547333
i	1.8104445e-05	2.910572e-05	0.02630545	0.73725563	0.19208962	0.017491119	0.02681093
a	0.004371579	0.00023179925	0.0015176974	0.3400647	0.6403794	0.0033153794	0.010119367
m	0.0023501657	7.2125236e-05	0.00018860094	0.04030949	0.9375666	0.0048782323	0.014634718
m	0.00027704058	0.00051847514	0.0030087517	0.5776068	0.21711421	0.14051756	0.06095704
è	0.000102122925	1.9236591e-05	0.00015632567	0.016348686	0.78462434	0.026356006	0.17239329
n	0.36484912	0.0494683	0.015739813	0.06592255	0.47455546	0.019947907	0.009516872
i	3.875626e-05	0.00017253587	0.0016016428	0.70985264	0.17948723	0.087617524	0.021229746
a	0.0007889537	5.799761e-05	0.000198698	0.0021780615	0.9484123	0.018305445	0.030058526
t	0.0008671627	5.2998457e-05	3.6411657e-05	0.00028543896	0.82328504	0.03579507	0.13967784
t	1.5707568e-05	1.2576016e-05	1.3565146e-05	0.00097116095	0.27059406	0.532007	0.19638601
o	2.489337e-06	1.1202188e-06	1.9482763e-06	0.00031577508	0.20435579	0.30242294	0.4928999
m	0.00019339794	3.2765824e-05	9.867668e-05	0.00072175544	0.5547141	0.112989284	0.33125007
e	0.00024595443	3.738685e-05	4.699784e-05	0.0009116676	0.051708654	0.45576122	0.4912882
k	0.027431667	0.0010472628	0.00073244434	0.0011193139	0.04613521	0.14448918	0.7790449
k	3.721364e-05	2.4893818e-05	0.00010006506	0.00076567766	0.008933909	0.70554996	0.28458825
à	3.0735305e-06	4.336903e-06	0.00019980648	0.0005155591	0.013015762	0.35345793	0.6328035
n	0.05659615	0.011786424	0.12311382	0.04581382	0.050850265	0.30940184	0.40243772
i	1.0791342e-05	1.8920764e-05	5.490811e-05	0.00016817832	0.003552048	0.9368625	0.059332665
k	0.025576305	0.007174581	0.006947982	0.0029678075	0.018036688	0.06820907	0.87108755
o	0.00011108606	7.609326e-05	8.4765365e-05	0.00016453286	0.0019924631	0.82658195	0.17098917
</S>	0.11995224	0.033912648	0.03299558	0.015921969	0.020613285	0.048234813	0.7283695
