 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.98444853	0.014926301	0.00051356287	0.0001081120235	1.996364215e-06	1.06490924e-06	5.0854315e-07
ò	0.902159363333	0.09727202	0.000518319146667	4.57717695e-05	3.521524515e-06	6.34289906667e-07	4.2629015e-07
p	0.636297194444	0.286823446667	0.0593161848156	0.00709155927583	0.0065291021055	0.0011126086921	0.00282992505492
u	0.341339964815	0.547705422222	0.0873168326052	0.00964965492528	0.00872842383317	0.00148463580103	0.00377506366151
o	0.152118488205	0.797882084074	0.0418349878684	0.00346967687176	0.00293736993596	0.000496694803453	0.00126065839285
G	0.0597968336683	0.868574401358	0.0661582119561	0.00343428068725	0.00120138873889	0.000197906363928	0.000636936926763
i	0.0424160572228	0.870372600453	0.0820306119854	0.00400708356242	0.000644274626297	9.9282950876e-05	0.000430095029588
o	0.0298228436076	0.909969333484	0.0567959979951	0.00296852652081	0.000260634252099	3.6635926192e-05	0.000146078680596
v	0.0150022510692	0.802665531161	0.172137428665	0.00844315650694	0.0008047245807	0.000153094128397	0.000793869343599
à	0.0209824116897	0.50314841372	0.397370922888	0.0694330655023	0.0074298311269	0.000360804686132	0.0012745904812
n	0.0203058775299	0.456650807907	0.427308634296	0.0851481355008	0.00919376817563	0.000358409428711	0.0010343806604
n	0.00715192169663	0.410342643969	0.446027541432	0.112226178834	0.0108668525252	0.00241950807624	0.0109653335868
i	0.00731218578554	0.15878429399	0.476814697144	0.310360472945	0.0261653861751	0.00430757739208	0.0162553625289
j	0.00904331809518	0.0589282487633	0.514855232381	0.364879404315	0.0315992733917	0.00337660916403	0.0173179075096
ù	0.00627226376506	0.0217609091644	0.42181030746	0.468231691438	0.0544167457972	0.00593434088801	0.0215737191699
r	0.00366987916502	0.0074728307648	0.20921424582	0.610316003813	0.0892421152657	0.0119704779627	0.0681144197233
i	0.00173650439834	0.00276244948827	0.13012986284	0.518872917938	0.226330808422	0.0234289059876	0.0967385445744
s	0.00105884794245	0.00107620319609	0.0502043875133	0.478459239313	0.308021229474	0.0437931119959	0.117386999525
e	0.00057346195715	0.000372480358363	0.0226210445278	0.363683409771	0.384099293158	0.0845696356653	0.144080716508
è	0.00047987411905	0.000154948925788	0.00772397088927	0.168112817924	0.547073577719	0.142116355222	0.134338452169
s	0.000239342083683	0.000116133498596	0.00351227158642	0.099234157308	0.50606976924	0.185735595074	0.205092704056
s	8.26789352777e-05	7.62231545353e-05	0.00199940072314	0.066560752936	0.338916039747	0.256911088358	0.335453821352
u	0.000247037941809	7.75026298484e-05	0.000962150348713	0.0247791612787	0.196181719916	0.419524962786	0.358227483784
</S>	0.000452399670905	0.000116794664924	0.000917497444357	0.0145294453394	0.140061459958	0.526107231393	0.317815191892
