 	non	ci	dimentichiamo	mai	</S>
e	0.923002175	0.07659990315	0.00037512440515	1.612539745e-05	6.6160978e-06
n	0.927867308333	0.0717757664833	0.000302885991817	2.33977241167e-05	3.05918141333e-05
è	0.923809702778	0.0755554504944	0.000387117997272	0.000118779249372	0.000128891980044
n	0.895137977593	0.103737538498	0.000406543545757	0.000271315139791	0.000446625483348
a	0.691483302531	0.283407086166	0.0179920393486	0.00361969710326	0.00349788776112
a	0.377265594177	0.563574608722	0.0463816777829	0.00723475303442	0.00554335992037
l	0.144754738726	0.773287102907	0.070702539261	0.00601838614481	0.00523722630679
l	0.053785676242	0.589333167636	0.250492933087	0.0408314195149	0.0655568164356
i	0.0209721946473	0.269052579212	0.570380911029	0.0546538751716	0.0849404640785
m	0.0109300114491	0.395283983071	0.535231640343	0.0238346521572	0.0347197314595
o	0.00797640281637	0.408784138024	0.549216116781	0.0154680784857	0.0185552684198
n	0.00480959738879	0.189159259675	0.651004898927	0.0303889808286	0.12463726924
i	0.0198101012463	0.112049276558	0.451159292976	0.178107818943	0.238873506413
s	0.0245273974204	0.0414533153527	0.359681964325	0.266746482981	0.307590845471
t	0.00822082630513	0.0157600040509	0.255751646108	0.270281874327	0.449985691824
ù	0.00937596926171	0.0073320943503	0.111481338369	0.436649414776	0.435161203941
m	0.0097879621339	0.00683411468343	0.0674015444563	0.488316571592	0.42765980798
e	0.00417126182463	0.00489328573114	0.0377726055288	0.512979190531	0.440183669327
s	0.00226874179754	0.00210894014705	0.0143139983196	0.566063286844	0.415245056442
t	0.00076020611718	0.00115365703368	0.00643446803987	0.527835298948	0.463816385481
a	0.000679871767727	0.00045271579256	0.00279340857996	0.544409192983	0.451664811827
m	0.000826049455909	0.00110313972752	0.00152637935999	0.472027594328	0.524516853942
à	0.081335054352	0.00245450964251	0.00377205855333	0.332651271443	0.579787134647
i	0.174228031451	0.0024944077475	0.00727888518444	0.246496293814	0.569502394882
</S>	0.186459250726	0.00201186297375	0.00806262309222	0.211210616907	0.592255647441
