 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.89249373	0.0929448745	0.0143613323	0.00019256825925	4.621137e-06	2.9040042e-06
s	0.816330796667	0.1666678915	0.0164179784333	0.00039277865975	4.90853066667e-05	0.000141501656533
o	0.538154666889	0.3216826305	0.133088767811	0.00681435306992	6.65555845556e-05	0.000193033824511
s	0.20290866163	0.5638788335	0.220888765937	0.01201650569	8.52020938519e-05	0.00022200795717
e	0.0819948795433	0.646436787833	0.254515245312	0.01660197023	0.000164181471284	0.00028694327239
è	0.0303378286278	0.437430832611	0.483084115104	0.04875863241	0.000168814823761	0.00021981649413
m	0.0103551865359	0.18855546587	0.536240305035	0.241957324137	0.0110718127779	0.0118199253647
b	0.00564038045863	0.0773994484233	0.345880901678	0.469287741379	0.056991252926	0.0448002667882
i	0.0294903092195	0.0377894819411	0.307383407226	0.512335993793	0.0650846249753	0.0479161749294
à	0.0355242380732	0.0232797845137	0.269243132409	0.624004311264	0.0267366316918	0.0212119253098
t	0.0120625665731	0.00891211359623	0.135847208136	0.798333790421	0.0225051199306	0.0223392161033
t	0.00415179582303	0.00309428688374	0.063274374712	0.635583836807	0.0764004666435	0.217495205368
i	0.0179459200243	0.00588786958791	0.0304585665707	0.523588515602	0.110204872214	0.311914221789
f	0.0229383270748	0.00681113718597	0.0125787684802	0.515114898534	0.191186904071	0.251369940596
i	0.0700976260916	0.00267105435199	0.0043192172734	0.280588328511	0.298826251357	0.343497526865
n	0.0853169924472	0.00123346002533	0.00152189163113	0.155954141837	0.289583673786	0.466389855622
è	0.0359333502324	0.000512079306443	0.000585252497043	0.111057662612	0.328985664595	0.522925981874
s	0.0194534248031	0.000255429272148	0.000244348733681	0.167834982871	0.399917814865	0.412293990625
t	0.0064900964818	9.29264646993e-05	0.00010033083886	0.183620413747	0.467432581622	0.342263623542
r	0.0022990746057	7.96072155498e-05	6.16062925867e-05	0.062417606839	0.482558993874	0.452583071181
a	0.0157807601586	0.00162537107185	0.000640844114196	0.0231422307463	0.325788034625	0.633022740394
</S>	0.0302101980793	0.00313834603593	0.0012099579571	0.0136316938732	0.212904272313	0.738905520197
