 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.965190625	0.0342732935	0.000460437905	4.7800709e-05	1.67347686e-05	5.71771305e-06	3.335273185e-06	2.01280786e-06
n	0.877012641667	0.121098857833	0.00148866012833	0.000338388955667	4.45195082e-05	1.042932635e-05	3.79109046167e-06	2.71039582e-06
k	0.818091300556	0.165822789278	0.0144735798094	0.00145494285189	0.000136150816067	1.64668571167e-05	2.72985608722e-06	2.09757307333e-06
ò	0.562585924185	0.158711563093	0.24780609327	0.018059749684	0.011739770172	0.00106147374071	2.68090662957e-05	8.65036715778e-06
r	0.289875678728	0.354235747698	0.315981924923	0.022901719528	0.0155401487607	0.00140903534724	3.81507200986e-05	1.76091863859e-05
a	0.196822505776	0.490071905899	0.289909468808	0.010515144476	0.0118934362902	0.000732935982747	3.54331656995e-05	1.91741057953e-05
s	0.0899679014587	0.5978232253	0.287921976936	0.0124469591587	0.0111104873634	0.000622294520916	4.32557382332e-05	6.39133309318e-05
t	0.0558742758196	0.532498396433	0.287724379645	0.109475939053	0.0115868733878	0.00202445020031	0.000357834754744	0.000457880190311
e	0.0232259223732	0.220841979478	0.565609426548	0.162501758351	0.0235646414626	0.0030945442001	0.000550084084915	0.000611634380104
m	0.0149418662244	0.196046229159	0.599526365516	0.161644398117	0.0245594168209	0.0024445789667	0.000366728178305	0.000470408143368
a	0.0133585460748	0.185663250186	0.559575311839	0.182430349372	0.055612098607	0.00260869542223	0.000356516709435	0.000395253814456
r	0.00821183331493	0.0640415652953	0.53415619728	0.284091643124	0.0951556262023	0.00836254614074	0.00107190360315	0.00490870340482
è	0.00321444759498	0.0228595302351	0.484126802427	0.319896881041	0.148306912067	0.0131003247136	0.00185151593438	0.00664357698494
o	0.00163520941499	0.0077122344017	0.361802271142	0.363701750347	0.222342774022	0.0334095002379	0.00360039764479	0.00579583951165
c	0.000796117644997	0.0028788362539	0.133286116047	0.615253486782	0.185043308007	0.046195297746	0.00584928024826	0.0106975491706
e	0.0117620510383	0.00128128392797	0.0523364787823	0.535425858927	0.287984626002	0.0806515802487	0.0161256099828	0.0144324873902
e	0.0153810127541	0.000470982906657	0.0181778021908	0.294401536309	0.430660142001	0.18741170675	0.0273800636609	0.0261167191301
n	0.0051512283427	0.000171585063886	0.00615112750693	0.235313745436	0.335283680667	0.27478833225	0.072028274887	0.07111200171
ì	0.0084280051309	8.47541056287e-05	0.00233069886231	0.146169790479	0.244579626889	0.35402154075	0.146935711629	0.0974498552367
n	0.0095113301925	5.06258832096e-05	0.0010367696381	0.0982213888263	0.166044370296	0.37469181025	0.19090780721	0.159535916412
e	0.00327119691303	2.78918457365e-05	0.0004198621367	0.0815076654754	0.0769293857653	0.27472126675	0.280947865737	0.282174905471
p	0.00130089590434	6.00631885788e-05	0.0002257276189	0.0331290513585	0.0350456843884	0.157361538917	0.325400721912	0.44747637849
r	0.000544687625347	6.28014327596e-05	0.000113508892967	0.0147830044328	0.0140926374961	0.0744537948057	0.378640153971	0.517309469497
ò	0.00355798396568	7.45825108199e-05	0.000397146864322	0.00919225912427	0.00974508273203	0.0376863931019	0.468459424657	0.470887133166
n	0.00457092130323	8.69384042733e-05	0.000482460643441	0.00728891702142	0.00787549981068	0.0253485597006	0.485237214886	0.469109491055
t	0.00155133346474	4.10005697578e-05	0.00016960887948	0.00265039901047	0.00337283750356	0.0171205592335	0.565462338295	0.409631963685
o	0.000878950237247	0.000237093314253	0.00062867913616	0.00557173936016	0.0110425888345	0.0191023600778	0.498884372765	0.463654274562
</S>	0.000954130668623	0.000448621107127	0.00116151116808	0.00973322918008	0.0194133174172	0.0235276400389	0.365744476382	0.579017137281
