 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.9938339	0.0060981973	4.5544137e-05	7.828373e-06	7.503746e-07	9.275647e-06	3.581939e-07	4.203085e-06
a	0.44831488	0.5374025	0.014045954	0.00012783852	8.332172e-05	4.623904e-06	1.8518913e-05	2.3746697e-06
k	0.18465127	0.80226713	0.012093515	0.00084847683	6.695397e-05	3.6936024e-05	5.310255e-06	3.047991e-05
à	0.9134443	0.07976633	0.0062446785	0.00040357912	9.023563e-05	2.0844049e-05	8.433403e-06	2.1675518e-05
j	0.004402156	0.98801905	0.0066945	0.00073978526	2.61511e-05	8.917448e-05	2.6997839e-06	2.645714e-05
o	0.6049181	0.2679055	0.09823384	0.02480326	0.0038471676	0.00016028115	0.00012951573	2.2810761e-06
t	0.0018519608	0.80650884	0.15405917	0.02794925	0.0026485506	0.0044643516	0.00015472603	0.00236324
r	0.8072196	0.03987618	0.13512726	0.013472733	0.0037701721	0.0002204057	0.00011540346	0.00019815573
a	0.1855827	0.6196955	0.13120228	0.059550446	0.0029008582	0.0008560997	0.00020493279	7.176526e-06
v	0.00034915752	0.018635347	0.49939325	0.40406725	0.017350325	0.04780068	0.0009963737	0.0114075355
ù	0.4965779	0.01095946	0.24024403	0.12920386	0.11081551	0.007220664	0.0007863573	0.004192208
d	0.0003298137	0.011267011	0.57956225	0.33564088	0.05396936	0.017169733	0.0015650485	0.0004959062
i	0.1497657	0.0033772804	0.13792878	0.34716836	0.30702418	0.043957565	0.006013377	0.0047648028
a	0.0012556342	0.0033184264	0.09940869	0.49678922	0.13058242	0.25276807	0.0073071904	0.008570341
i	0.001577431	0.00029089418	0.02042662	0.15248315	0.6720226	0.1113268	0.04052527	0.0013473042
g	0.0022730078	0.00014047869	0.011393683	0.08152489	0.80265325	0.07168237	0.029460989	0.00087133655
r	0.8201677	0.0045903213	0.0056693875	0.009023536	0.065514125	0.027744342	0.0033882414	0.06390237
à	0.04805018	0.032915756	0.02240787	0.013667435	0.0062448326	0.42403552	0.0832447	0.36943367
f	0.004594841	0.008067453	0.008815742	0.03663782	0.33987245	0.18014129	0.37348816	0.04838221
u	0.005539446	7.383509e-05	0.0014606637	0.022461077	0.14500995	0.5713593	0.24608482	0.0080109555
t	0.0025612656	0.0070418594	0.0027877917	0.007847989	0.0106271515	0.6532617	0.23174642	0.08412578
t	0.028151281	3.8814636e-05	0.0004059328	0.02011267	0.05719771	0.17293943	0.7140365	0.0071176607
e	0.29441333	0.01435196	0.003150955	0.048202418	0.0062713083	0.30128336	0.32568747	0.0066391625
a	0.0031339936	0.010010576	0.001960875	0.0034031235	0.009831125	0.100704126	0.39735278	0.47360337
t	0.03028485	0.021162244	0.009595215	0.0016204632	0.06301822	0.037361436	0.6618347	0.17512287
s	0.1048606	0.00019052862	0.0002931838	0.0069147483	0.019034157	0.07814292	0.6252638	0.16530007
è	0.07329769	0.0046948735	0.00062678393	0.007536597	0.004939706	0.082162395	0.6598129	0.166929
n	0.016555369	0.021718578	0.0057361266	0.0015554378	0.003974125	0.0040556313	0.4189538	0.5274509
ì	0.0028705683	0.0006809061	0.00012575542	0.0061610974	0.008089548	0.0027204538	0.9653064	0.014045312
t	0.004493472	0.019106748	0.0028180785	0.0018513515	0.0038743815	0.0011768985	0.32776016	0.63891894
t	0.014697924	8.401174e-05	6.9976275e-05	0.0028920686	0.011333947	0.010756155	0.9561633	0.0040025273
a	0.048985902	0.029579302	0.008785687	0.008121296	0.008314259	0.0042563197	0.692147	0.19981025
</S>	0.015996639	0.042834427	0.0032007068	0.0006102891	0.00046924362	0.0003502838	0.02549196	0.91104645
