 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.7375416	0.24725644	0.014815105	0.00025285393	7.4815296e-05	1.1805268e-05	2.595229e-05	3.7488003e-06	1.7710434e-05
n	0.26944628	0.4677918	0.24962662	0.007175913	0.0013629949	0.0021807658	0.0006892884	0.0009091539	0.00081719545
è	0.013549301	0.76454407	0.21648449	0.004854633	0.00028255422	0.0001660722	2.0326527e-06	0.00010565115	1.1317782e-05
n	0.014732967	0.49442393	0.48776674	0.0027533087	0.00011112492	0.00017184883	9.365446e-06	3.0482075e-05	2.7975952e-07
a	0.06193576	0.46118426	0.4381545	0.025925428	0.0012303877	0.009218567	3.6331396e-05	0.002260357	5.4374734e-05
m	0.011771243	0.28686243	0.6537061	0.040588506	0.005964801	0.0006241845	0.00030159793	0.00014220063	3.895625e-05
i	0.038327023	0.22355595	0.6946329	0.03643627	0.00034946093	0.0064810966	1.0341519e-05	0.00019460922	1.222457e-05
l	0.0003168911	0.016615732	0.7437318	0.21661252	0.021063432	0.0006241854	0.0006311198	2.0501013e-05	0.0003838535
ì	0.015578676	0.017359676	0.6167206	0.34060788	0.003221884	0.004975086	0.0002845607	0.00055898854	0.0006926039
s	0.00012897697	0.004409187	0.32815203	0.51573306	0.13779163	0.006579959	0.005396855	0.00015626171	0.0016519566
i	0.016739506	0.015374994	0.16001529	0.6712285	0.02900447	0.106129855	0.00017218766	0.0013243358	1.0822163e-05
m	0.00027671354	0.0014194382	0.021682942	0.31272262	0.59596616	0.027058493	0.029691936	0.0006078947	0.0105738165
b	0.0017118836	0.0046653748	0.038695537	0.8881572	0.029504508	0.03446629	0.0018180048	0.00058522716	0.00039612877
r	0.0047241263	0.07998671	0.077942446	0.6039312	0.061249703	0.15524746	0.00402925	0.012853502	3.5603098e-05
ò	0.00592491	0.027912963	0.13728522	0.74701995	0.017383423	0.060749434	0.0011601312	0.0021128445	0.00045113382
s	9.157719e-05	0.00053500873	0.005329311	0.12408426	0.6519634	0.107783675	0.09137811	0.0009126193	0.017921994
t	0.0018374469	0.0041132057	0.002498495	0.29459184	0.13988535	0.5490306	0.0040436904	0.0039701667	2.9247634e-05
i	0.054944765	0.06515742	0.018964997	0.14457478	0.03990026	0.6058795	0.010640556	0.059577838	0.00035984642
n	0.00023256456	0.0010769451	0.005152226	0.025737042	0.2451583	0.276481	0.3865106	0.008213569	0.051437773
A	0.0015688704	0.0049705207	0.0021665872	0.07032005	0.06089954	0.84622556	0.009581177	0.0032318325	0.0010358338
n	0.00024738873	0.00036742887	0.00387817	0.010297582	0.12036196	0.48146594	0.28817555	0.08488952	0.010316398
n	0.009034055	0.005547015	0.0044231764	0.02137695	0.011505503	0.6897064	0.05689188	0.02400456	0.17751047
a	0.02993859	0.019181265	0.0009980383	0.0010819932	0.009933318	0.2121621	0.026379898	0.101704985	0.59861976
à	0.0005826201	0.0021266348	0.0131013105	0.0076949657	0.0059949057	0.05178428	0.6134365	0.037694763	0.267584
t	0.00031006578	0.0008105193	0.008906463	0.0039906804	0.007956969	0.081769004	0.646551	0.14016816	0.10953714
s	0.020029377	0.0067334506	0.0028984193	0.002869806	0.004002577	0.9117173	0.01062571	0.03972164	0.0014016622
e	0.038237102	0.028463272	0.03274333	0.029385837	0.012935682	0.14761841	0.13559088	0.54394233	0.031083157
t	0.0005013978	0.002239066	0.022063198	0.0078493925	0.0033711959	0.009133873	0.20848645	0.13836047	0.607995
ù	0.0091980705	0.010892733	0.00918169	0.00809486	0.032400444	0.35802963	0.3541082	0.11637394	0.1017204
o	0.0003584574	0.0009140763	0.016205512	0.007214903	0.002812742	0.005276978	0.09074155	0.56449336	0.31198242
</S>	0.0038285318	0.0050259326	0.030751122	0.016111353	0.0008635843	0.00450924	0.015060725	0.4348816	0.4889679
