 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
e	0.98572296	0.013990067	0.00025304945	1.8007966e-05	5.0379535e-06	4.0170935e-06	2.3721566e-06	3.8387213e-07	6.1868e-07	3.9888226e-07	3.4208423e-07	4.0561878e-07	4.3337096e-07	3.3071717e-07	2.585674e-07	2.686979e-07	2.8036703e-07	3.6857136e-07	2.1132558e-07	1.2877877e-07
M	0.97928315	0.020444756	3.1931744e-05	0.0002245975	2.2372508e-06	6.7220776e-07	4.3143365e-07	7.707426e-06	7.518885e-07	4.1115777e-07	7.8728806e-07	2.4825056e-07	4.347341e-07	3.1001798e-07	3.9326224e-07	3.6648032e-07	2.775683e-07	2.4007176e-07	2.195501e-07	2.1985956e-07
a	0.2840302	0.7067546	0.0024075808	0.0067494074	3.615058e-05	2.4397395e-06	5.386271e-07	2.54007e-06	4.4796133e-07	2.6407244e-07	7.1209224e-06	5.249294e-07	2.9279565e-07	4.4962667e-07	2.2339775e-07	2.006716e-06	1.7799166e-06	2.6703546e-07	8.185238e-07	2.316751e-06
r	0.88991296	0.10741363	0.0024601095	0.00018607792	1.9909847e-05	4.4657395e-06	7.2139466e-07	1.5257601e-06	2.4992863e-07	4.0158607e-08	1.0884743e-07	2.7770618e-08	2.9912414e-08	2.115641e-08	1.133052e-08	2.0990447e-08	1.5732308e-08	1.299913e-08	7.3802817e-09	3.7499397e-08
ì	0.014680147	0.9456574	0.038171865	0.0011233637	0.00027995766	4.0085397e-05	6.77029e-06	1.2304189e-05	7.4698396e-06	2.225269e-06	5.2961464e-06	1.1272083e-06	1.3185627e-06	7.5241303e-07	5.236749e-07	1.7584769e-06	1.1817627e-06	4.774443e-07	6.635476e-07	5.3587546e-06
a	0.021760661	0.92785907	0.046911605	0.0027074076	0.0005760845	0.000122020945	2.5047499e-05	1.8936511e-05	7.391849e-06	1.33374e-06	2.160254e-06	9.673865e-07	1.195249e-06	6.167607e-07	3.5190325e-07	5.426588e-07	4.4917948e-07	6.821425e-07	2.2643314e-07	3.1544598e-06
p	0.041341882	0.4596746	0.29065555	0.18444167	0.018230943	0.0019663973	0.00046057958	0.002266391	0.0005225465	6.932179e-05	0.00013186806	2.9599954e-05	6.740926e-05	2.0230282e-05	1.5765894e-05	2.2547963e-05	1.4707627e-05	2.583175e-05	4.6027176e-06	3.7549613e-05
e	0.012134444	0.7691816	0.1501155	0.061982412	0.0050952435	0.0006063456	0.00018476922	0.00016375876	1.9024748e-05	1.1868846e-05	0.00017960802	5.3848395e-05	2.5501324e-05	3.7698435e-05	8.78869e-06	9.588773e-05	5.4747943e-05	5.6945987e-06	2.984479e-05	1.3433601e-05
r	0.0108925495	0.46644032	0.2646168	0.2501196	0.005457045	0.0019196783	0.00023411475	0.0002165355	7.205975e-05	6.7095143e-06	1.089975e-05	2.6392493e-06	4.6184587e-06	1.4840101e-06	5.908234e-07	1.5138729e-06	9.831157e-07	6.276669e-07	1.1604902e-07	1.1477683e-06
ò	0.00087386265	0.58647025	0.39559007	0.008939065	0.007167474	0.000712436	0.00013092604	2.3695222e-05	3.592999e-05	8.989456e-06	1.18730095e-05	6.2097706e-06	8.002588e-06	2.7821593e-06	1.1743422e-06	3.408614e-06	2.742016e-06	1.9329989e-06	4.835194e-07	8.689288e-06
