 	se	vieni	a	casa	mia	ogni	sabato	compra	pane	di	portare	</S>
a	0.90404344	0.09350043	0.0012504194	0.0010461968	0.00011211926	2.5875177e-05	8.723779e-06	3.572762e-06	3.2314358e-06	2.704014e-06	1.1350116e-06	2.229813e-06
n	0.23363629	0.74490845	0.008113133	0.010423819	0.001058267	0.00047422285	0.00033159018	0.00029085364	0.00016492663	0.00021609881	0.0001500277	0.00023225356
è	0.009884361	0.96836084	0.007075071	0.014095494	0.00041160334	5.8848258e-05	7.0890856e-05	1.3535737e-06	1.2356876e-06	6.100837e-07	3.7128197e-05	2.421219e-06
r	0.026849126	0.9613332	0.0061957003	0.0050353827	0.00045656285	7.9278485e-05	2.2459622e-05	2.5831325e-05	2.9998628e-07	1.6540018e-06	3.1367435e-07	1.03271255e-07
t	0.17266656	0.38107273	0.1567423	0.26851478	0.010175437	0.002153679	0.008474846	0.00013151408	1.3420827e-05	7.838818e-06	4.5325974e-05	1.6595166e-06
i	0.008187103	0.92339087	0.013442267	0.05484301	0.00010349182	1.3545608e-05	1.7198308e-05	1.1125871e-06	3.3536075e-08	1.564707e-07	1.2142893e-06	7.796331e-08
n	0.0056673624	0.25675255	0.47470823	0.21420063	0.04204718	0.0054539405	0.0005671809	0.00024914666	8.480564e-05	5.1708223e-05	1.2324546e-05	0.00020479766
è	0.10195571	0.25582796	0.046685204	0.5923525	0.0019696383	0.00024627146	0.00090480264	1.4063191e-05	1.5155416e-06	4.1727208e-06	1.947016e-05	1.8727484e-05
s	0.00044905505	0.06706276	0.44830453	0.33117646	0.13103881	0.01899819	0.0020039706	0.0007284789	8.147466e-05	5.809752e-05	2.3961604e-06	9.5760486e-05
s	0.026557267	0.025854526	0.07661754	0.81342965	0.041057922	0.00596723	0.01039934	9.628132e-05	7.970568e-07	6.148013e-06	1.0437647e-05	2.847744e-06
u	0.0481137	0.34671643	0.018226424	0.58306456	0.003273014	0.00025568946	0.00031627738	3.08523e-05	2.5959562e-07	5.815639e-07	1.9349613e-06	2.659893e-07
