 	ora	che	loro	non	vengono	più	</S>
à	0.9907665	0.008681185	0.00039500365	4.024586e-05	5.8112433e-05	5.0309077e-06	5.3875458e-05
r	0.96431845	0.0326822	0.0027315423	9.7227276e-05	0.0001519469	5.1108364e-06	1.3524177e-05
t	0.3122077	0.44156426	0.20914108	0.015861595	0.010155294	0.0109503735	0.00011968587
e	0.3369039	0.4962203	0.16489433	0.0010647363	0.00083835813	7.7967e-05	3.0186558e-07
k	0.0038770218	0.88025737	0.08165959	0.020826615	0.0052522253	0.00020352729	0.007923597
a	0.013340587	0.09480548	0.86712587	0.0064292457	0.016423555	0.0017633716	0.00011182278
c	0.006180026	0.43543082	0.3621618	0.12521501	0.048862513	0.0011251878	0.021024626
ì	0.018225692	0.27846995	0.66802645	0.008000423	0.02543688	0.0010981641	0.000742437
n	0.0042555956	0.052465443	0.3898423	0.18914743	0.35371217	0.007093211	0.0034838272
i	0.0023392013	0.018542739	0.52976155	0.097456224	0.3344722	0.017293543	0.00013449452
e	0.0039112964	0.006158179	0.073047474	0.27691385	0.58627784	0.023272498	0.030418796
n	0.0064320387	0.00046774803	0.008885208	0.18109211	0.74481434	0.05436676	0.0039417944
è	0.032393996	0.02544429	0.053509805	0.009970647	0.6325463	0.08982723	0.15630779
r	0.001224637	0.00065622467	0.006690846	0.100457154	0.7915932	0.097673506	0.0017043873
k	0.00049160176	0.013571949	0.025650429	0.0333224	0.19098137	0.7206919	0.015290436
o	0.15141417	0.18233936	0.1675331	0.008741361	0.22263065	0.26654842	0.0007929934
t	0.0016345645	0.0029445766	0.0017708553	0.018336762	0.09819847	0.60021865	0.2768961
t	0.0063489857	0.055907805	0.031998623	0.010713858	0.08681644	0.7384508	0.06976336
e	0.003926402	0.0070717107	0.006231723	0.008775609	0.052066926	0.91818	0.003747689
p	0.0058735115	0.006126626	0.0014991765	0.0042250482	0.019297808	0.5911474	0.37183034
l	0.013327319	0.02193438	0.008314446	0.0024343587	0.0074239434	0.69780415	0.2487614
è	0.002200503	0.0029201177	0.0043414375	0.006078469	0.028235879	0.88916373	0.06705992
o	0.023903428	0.0169531	0.0013570746	0.002153859	0.0052350555	0.71879536	0.23160204
</S>	0.37812153	0.031973176	0.0010633405	0.00054674724	0.0031632124	0.33234006	0.25279194
