 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
i	0.92219615	0.07621785	0.0014667717	3.157708e-05	4.391505e-05	3.4887504e-05	8.8033994e-07	8.034494e-06
m	0.31690165	0.60143745	0.07520253	0.003573223	0.0014267404	0.00067208055	0.00024267462	0.00054365996
à	0.49520567	0.367833	0.13255437	0.0038133191	0.00018850045	4.4707836e-06	0.00038578737	1.4927234e-05
n	0.03603797	0.8807018	0.07972124	0.0023495392	0.0010849058	9.282816e-05	2.281364e-06	9.418748e-06
a	0.49238536	0.34521246	0.15406321	0.005359812	0.000936681	6.1834003e-06	0.002034676	1.5564016e-06
m	0.0009892654	0.844337	0.14114656	0.008801675	0.0036478797	0.0006013239	1.9253579e-05	0.00045706143
u	0.09993956	0.5235622	0.35349217	0.021298002	0.001151716	4.516341e-05	0.000431059	8.008908e-05
i	0.00014532045	0.15258028	0.7200735	0.088342324	0.033023685	0.0043580383	1.6637565e-05	0.0014602356
p	0.00027071038	0.0196126	0.5753032	0.30717131	0.07833108	0.015859552	0.00040153458	0.003049991
u	0.10997219	0.061383527	0.32300496	0.4291772	0.060461607	0.0011183046	0.0134368865	0.0014453662
l	0.00016895773	0.0031810666	0.31730905	0.55065084	0.11737687	0.010828547	0.00023491307	0.0002498003
ì	0.009065616	0.0190145	0.19931121	0.68860906	0.078127466	0.0015566549	0.0025714745	0.0017440518
z	8.671936e-05	0.00078705826	0.05636877	0.5578876	0.35260275	0.02929109	0.00024951942	0.0027264412
z	0.0053332546	0.0047717458	0.031893365	0.33210048	0.6210486	0.00048563027	0.0042961687	7.07311e-05
e	0.04377095	0.022425456	0.16061912	0.7117653	0.057612643	0.0006919107	0.0031010914	1.357178e-05
t	0.0001863137	0.00078881613	0.005456325	0.31040156	0.421638	0.24224816	0.0020039352	0.017276855
o	0.006067435	0.0034424963	0.004159008	0.18764122	0.7931568	0.0014356284	0.0038733697	0.00022406892
s	0.00022933443	0.0007113592	0.0047666077	0.13344587	0.3685344	0.45454866	0.008725428	0.029038265
p	0.006515473	0.0021773842	0.0032940668	0.23343433	0.6699797	0.048799686	0.023788353	0.012010962
ì	0.014892682	0.0022502972	0.04022969	0.1100413	0.3263044	0.05465991	0.4452692	0.006352417
t	0.0010729324	0.0016919057	0.01189766	0.04789396	0.16168721	0.59344095	0.09527681	0.08703853
i	0.010148713	0.0035423199	0.0013424316	0.03501809	0.6504599	0.02818524	0.27066308	0.0006401919
k	0.0003997658	0.0011281673	0.0035489895	0.0040752394	0.024351245	0.6981551	0.13518135	0.1331601
à	0.017923318	0.0035259414	0.0017432651	0.020717466	0.12758313	0.04106316	0.7415334	0.04591022
i	0.00031307063	0.0005247764	0.0028054467	0.0021602863	0.0046269526	0.15494815	0.7828797	0.051741526
m	0.008135266	0.0022081712	0.007013378	0.0020671785	0.0013933025	0.021444846	0.7880633	0.16967455
è	0.035042226	0.00446327	0.0015325694	0.0017490721	0.0076351357	0.01982912	0.8031936	0.12655504
r	0.00016935686	0.00025500963	0.0019298369	0.0009773318	0.0007128837	0.009886265	0.8630786	0.12299067
i	0.0036645373	0.0006352877	0.0014178072	0.0012758434	0.0011951032	0.0032687762	0.9772184	0.011324143
</S>	0.00094382896	0.0021865892	0.007263245	0.005079928	0.0034713515	0.0059020063	0.3381938	0.63695914
