 	non	ho	dove	d'	andare	</S>
e	0.623557805	0.21471171	0.155604005	0.00185232823	0.000872183455	0.003401929585
n	0.392606371667	0.25326856	0.231440831667	0.00264714767667	0.114162858118	0.00587416236167
è	0.175739026556	0.18024562	0.485391000556	0.00244816349222	0.151562820406	0.00461332743122
c	0.066660401852	0.0992835666667	0.585147523519	0.00168138796407	0.245517704502	0.00170941838774
h	0.0257542833507	0.0532178172222	0.638511241173	0.00218314198802	0.279593941834	0.00073956320158
o	0.0107061201836	0.0301861974074	0.848266613724	0.0114326643293	0.0974437901447	0.00196458953953
p	0.0691011133945	0.0400720584691	0.665089034575	0.0138722926098	0.209104579248	0.00276091384651
u	0.0887250403315	0.0403645404897	0.304202465858	0.162651031703	0.348970303083	0.0550866416155
è	0.0330179386438	0.0234185206632	0.111758465019	0.277134930568	0.473180821028	0.0814893578718
n	0.0319942455479	0.0272272703877	0.048485047073	0.158565910656	0.693908050343	0.0398195006239
a	0.0306941679826	0.0269954442626	0.0262951451243	0.0636914456853	0.774598303448	0.0777255275413
p	0.0202054654609	0.0204899408875	0.0100320447748	0.0319843221618	0.814548967816	0.102739279847
à	0.0160755207803	0.0178499744958	0.00422754077827	0.0147284276539	0.883326669272	0.063791909949
o	0.0138461805534	0.0080885674986	0.00193846754609	0.00990222921797	0.768707723091	0.19751688265
</S>	0.0194794272767	0.0069860514493	0.00160093637305	0.00705518210898	0.622537661546	0.342340766325
