 	vuole	andare	a	Lecce	</S>
i	0.99067845	0.00846044145	6.54929495e-05	0.0006724551695	0.00012318069
t	0.742606683333	0.0690958118167	0.000605976068167	0.187556865456	0.000134670918
è	0.641540994444	0.107765933939	0.00108324855606	0.249508449029	0.000101365460667
l	0.566490041481	0.248044454646	0.00399179088535	0.181403743553	6.99757965557e-05
i	0.241095681827	0.539665298215	0.0307534936285	0.172764640184	0.0157208890452
n	0.108304667276	0.643597912738	0.0523580012095	0.174651319061	0.0210880824484
a	0.058846617592	0.606500060913	0.143966733737	0.175514646354	0.0151719462495
p	0.0457442790307	0.436688365304	0.351107437912	0.148455935451	0.0180039860832
à	0.0411897783436	0.261015360101	0.529341992637	0.14711611515	0.0213367386944
i	0.0182118395812	0.167427334834	0.428992330879	0.36070911505	0.0246593805648
L	0.0099043076604	0.0733233424113	0.25651685696	0.64417792835	0.0160775659549
u	0.0081484288868	0.0413990338038	0.25306303232	0.556943652783	0.140445851418
p	0.0148858102956	0.0212932099346	0.22401344744	0.515767980928	0.224039547139
p	0.0402158320985	0.177960648312	0.164182715813	0.498433186976	0.119207589046
ì	0.0506471806995	0.227855229104	0.105763061938	0.449894645659	0.165839846349
u	0.0363927695665	0.0794927753347	0.0501601186127	0.59839553522	0.235558762116
n	0.0451931838555	0.0330296027449	0.0196506009376	0.721721065073	0.180405527372
a	0.0458642056185	0.0183492621483	0.0101502447459	0.542323815024	0.383312492457
</S>	0.0307991093092	0.0110205854241	0.00695995387295	0.343811647512	0.607408746229
