 	sta	e	dorme	nel	letto	</S>
s	0.934059975	0.0613309415	0.00341471473	0.00104827541	4.4300148e-05	0.000101865325
t	0.672490685	0.251181933833	0.07374740791	0.000978328943333	0.001445222306	0.000156458965
e	0.308754035667	0.590014864611	0.09700482917	0.00209716328111	0.001970981532	0.000158128245
c	0.325532209222	0.622298508204	0.0487059972567	0.00250434942704	0.000771065637333	0.000187858468333
e	0.313462187407	0.631284069401	0.0482860240856	0.00612660814235	0.000653330475778	0.000187804832778
p	0.167396483469	0.697676756467	0.124324615362	0.00861820148078	0.000763120375259	0.00122085792093
l	0.124380553156	0.419217014156	0.214567848454	0.23783463726	0.00226651444175	0.00173344099031
ò	0.048304316632	0.179306810052	0.301189119485	0.457170419087	0.0108439378139	0.00318543001344
n	0.0244514927907	0.109909791351	0.548195929828	0.298696483029	0.0123506402046	0.00639572233781
n	0.0823908712636	0.14507431845	0.657829673276	0.10294560501	0.00660579900153	0.00515376806927
i	0.0935918105812	0.137839490817	0.431183084425	0.274510942337	0.0453742990005	0.0175003876464
s	0.0411558866871	0.0626787802723	0.333258904808	0.455406100779	0.0589156233335	0.0485846878821
t	0.034995147229	0.0425783260908	0.324671094936	0.484181753593	0.0687548901112	0.044818770294
o	0.023254880943	0.0200662665303	0.178040015645	0.426995077864	0.22199521337	0.129648576431
g	0.0142396625143	0.0249400613434	0.0816810338817	0.221370808288	0.24015171379	0.41761676881
r	0.0111340890914	0.0265167107811	0.0421347542939	0.112327353096	0.163051560597	0.64483557627
à	0.0045717043838	0.0094910959937	0.0188213764313	0.0622647946987	0.260860373532	0.64399068209
t	0.00970075656127	0.0069721183979	0.0562155254771	0.0374408152329	0.226645380844	0.66302543403
t	0.0901815485204	0.046207528466	0.167036638492	0.0262158440776	0.0946420612813	0.575716414677
i	0.10979230193	0.0561406403553	0.158705922997	0.0136223928592	0.0595467017604	0.602192058226
</S>	0.0551999896	0.0284642514777	0.0804162017485	0.0088348071796	0.0470653758802	0.780019379113
