 	ora	io	sto	studiando	di	diventare	medico	</S>
à	0.955163	0.0401454594	0.00446486887	0.000185586525	3.1031643e-05	5.27958945e-06	1.55018449e-06	3.30655715e-06
r	0.670795563333	0.0944540798	0.226415097957	0.00693059984833	0.00097776907	6.37229814833e-05	0.000357402128163	5.84798271667e-06
t	0.304593611111	0.381274919933	0.303190978319	0.00909961462211	0.00127963803833	8.03960852778e-05	0.000475523271921	5.34033591556e-06
e	0.13494459337	0.501212993311	0.34164008844	0.0204883915467	0.00128515266111	0.000109521753209	0.00016437053084	0.000154839489982
n	0.08476381079	0.34593613777	0.54123272948	0.0258561221822	0.00146969022037	0.000136769857736	0.000381412887947	0.000223261512327
a	0.0681200493633	0.28600288259	0.589818326493	0.0519321157274	0.00318690680679	0.000273482915912	0.000451469356149	0.000214759369776
i	0.0275719805544	0.305453830863	0.537083008831	0.0965784019091	0.0169500369356	0.0156894689886	0.000177257320216	0.000496016416592
v	0.0208886098515	0.245910531288	0.607889596277	0.083143366303	0.0200600877785	0.0206749376562	0.000651316548072	0.000781565738864
ò	0.0157014643838	0.0949898924293	0.727470655426	0.117736507768	0.0324633223928	0.0101641565454	0.000818452456024	0.000655580026288
s	0.0062380908146	0.0406615327431	0.739847398475	0.159341495923	0.0451864597976	0.0072203755818	0.00118077675867	0.000323860380763
t	0.0177322931915	0.038064005181	0.808210432825	0.103659331974	0.0275794409325	0.00330342249393	0.00131764908289	0.000133384002721
è	0.0215028146938	0.0368637144603	0.583665147608	0.282528150658	0.0690597656442	0.00541196373131	0.000527311532963	0.00044112331804
o	0.0213219501946	0.0193043352201	0.245214959203	0.429496110219	0.165070475215	0.11688047091	0.000576315119654	0.00213540103935
s	0.0214275152982	0.0134259093734	0.154475189734	0.456679373406	0.190449505072	0.15834223797	0.00222006337322	0.00298020054645
t	0.0095882209994	0.0049468779578	0.117383742578	0.539454934469	0.250249988357	0.0721856636567	0.00447744412441	0.00171311662215
u	0.0057485601998	0.00213020561927	0.0531131162593	0.42615746149	0.437461782786	0.0691928778856	0.00383267595147	0.00236332568072
d	0.00316259649993	0.00130099740642	0.0534807248198	0.418672370497	0.437401750929	0.0764367426285	0.00542982322716	0.00411500552691
i	0.00431880139998	0.00196277806881	0.0532558563733	0.344592739499	0.43479114031	0.149463770876	0.00790957454239	0.00370534690897
è	0.00799062879999	0.0047300681896	0.0193884617244	0.125977785166	0.479545813437	0.336151966959	0.0232843129808	0.00293100143632
o	0.0251468636	0.00753703139653	0.00893232490813	0.0491421190553	0.330627427812	0.539318305653	0.0346000363269	0.00469592871211
n	0.0300851662	0.00558320369551	0.00627429480271	0.0248183493518	0.184394235937	0.552213168551	0.177210898776	0.0194206725707
a	0.0151361910667	0.00350449489517	0.00426538088424	0.0142320239839	0.0957214386457	0.61608632285	0.228362828259	0.0226913115236
g	0.0095688511889	0.00313471689839	0.00791324291141	0.029475170528	0.0707311328819	0.564810927617	0.296269174753	0.0180967905079
h	0.0090627348963	0.0017201960528	0.0101884124705	0.0373920748427	0.0858718326273	0.447612462539	0.389537818251	0.0186144665026
e	0.0194167219654	0.0114663546043	0.00557632779017	0.0156029917476	0.0654395974424	0.59464396418	0.267101126084	0.0207529288342
t	0.0212611487885	0.0145342058448	0.00453892206339	0.00765379031587	0.0347280540475	0.47997980806	0.408489358695	0.0288147746114
t	0.0095100784295	0.0050580321616	0.00374219325446	0.00582602420529	0.0386339913492	0.41641114602	0.498059259565	0.0227593488705
ò	0.0125936641765	0.00715557062387	0.00456915965149	0.0032498476351	0.0304798012831	0.47174751534	0.416051633188	0.0541528602902
m	0.0126743055388	0.00778214573062	0.0044900853205	0.00168584508837	0.0148610179277	0.308821075113	0.587030231063	0.0626553551634
e	0.00895243432627	0.00495657823287	0.0047287845435	0.00155539813946	0.0092529181759	0.184720625038	0.629594420354	0.156238903454
s	0.0108970271088	0.00417062866762	0.00573784484783	0.00185691001315	0.00552705159197	0.139794385013	0.617353950118	0.214662231151
s	0.0079437161696	0.00160299860921	0.00328346594928	0.00159257673772	0.00535171769732	0.122227961671	0.747325383373	0.110672193717
è	0.00808412418987	0.00208349079974	0.00293954931643	0.00110774539257	0.00400119207911	0.091622251557	0.735179527791	0.154982131239
r	0.00716724180662	0.00221128639525	0.00260448517214	0.000661522527523	0.00230426217304	0.037247814319	0.78876527593	0.159038139446
e	0.00863423034554	0.00391561826042	0.00517095245738	0.00128507962584	0.00232922842435	0.0170530129063	0.681544291977	0.280067635515
</S>	0.0135351166728	0.00669239263021	0.00880858322869	0.00207455201292	0.00230429706217	0.0134178894531	0.473331995988	0.479835217757
