 	non	ho	cosa	è	da	mangiare	</S>
e	0.9596246	0.024443274	0.015696036	0.0001790793	1.35884375e-05	1.5229891e-06	4.1995314e-05
n	0.9140538	0.044608343	0.004045257	0.0038626054	0.006118752	0.011061812	0.016249409
è	0.3938062	0.21129116	0.075531736	0.022690028	0.006058553	0.004088174	0.28653413
c	0.19742423	0.6777242	0.095050275	0.001387879	0.008825822	0.0016248078	0.017962724
h	0.1356533	0.10185459	0.12070658	0.0060243174	0.019883314	0.009242423	0.60663545
o	0.0076381443	0.006900172	0.97914463	0.003406906	0.00091280363	0.00038209974	0.0016152449
t	0.01485011	0.047809727	0.8524904	0.068270326	0.011250018	0.0012843006	0.004045093
i	0.007198245	0.018521138	0.6211163	0.116269045	0.08654806	0.027838252	0.12250899
è	0.01400333	0.022283712	0.023497034	0.6499617	0.27824152	0.010433465	0.0015791584
n	0.0040178564	0.012078236	0.016255127	0.09577044	0.8281363	0.032411873	0.011330222
a	0.0037870577	0.012852992	0.0057158	0.09374336	0.76126844	0.06616459	0.0564678
f	0.018425943	0.032084733	0.004114639	0.03380428	0.6709336	0.20808154	0.032555267
à	0.0029882712	0.01738531	0.005126737	0.031732067	0.3655069	0.34783107	0.22942963
o	0.047379795	0.04800651	0.021875156	0.05137567	0.40073603	0.3951513	0.03547554
</S>	0.0014841737	0.0031494207	0.0018225798	0.009975614	0.07823075	0.38047677	0.5248607
