 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
c	0.9648394	0.034270097	0.00038253775	0.00044153348	7.1038344e-06	5.263475e-05	4.1925296e-06	1.0101577e-06	3.2039665e-07	2.6306043e-07	3.6881385e-08	8.5172104e-07
ì	0.7495945	0.1643943	0.017591188	0.022117324	0.015361784	0.015313012	0.00572546	0.0012851927	0.0021681506	0.0014572436	0.00018386086	0.004807989
o	0.75390846	0.048363697	0.011592148	0.041658945	0.07912944	0.010647646	0.0044044214	0.0025326798	0.0060958005	0.0003245734	9.814484e-05	0.04124408
ì	0.12699346	0.8605556	0.002379107	0.009194517	0.00067348784	7.754293e-05	2.6964832e-05	2.5099302e-05	3.2027605e-05	1.619673e-06	4.0774623e-07	4.025e-05
s	0.030961841	0.9490606	0.0060516745	0.013366678	0.00044149556	4.3710414e-05	1.8411542e-05	1.711927e-05	1.2394424e-05	1.2683358e-06	3.589104e-07	2.4604467e-05
s	0.18395974	0.7591651	0.01307432	0.02005076	0.0018122535	0.00011244872	0.000242801	0.00046447426	0.000184671	2.9362187e-05	2.240341e-05	0.02088162
e	0.22545852	0.592141	0.118818656	0.019719519	0.0057073464	0.030806027	0.0059983213	0.0009689334	0.00014102933	4.7041638e-05	7.461511e-06	0.00018622566
r	0.0686301	0.69614565	0.22113875	0.012907289	0.0010609603	7.2024304e-05	2.2152712e-05	1.1874364e-05	2.941691e-06	3.736397e-07	3.5496903e-08	7.860551e-06
e	0.09594015	0.6654614	0.158816	0.04953245	0.0141939	0.0013220914	0.004782395	0.004616342	0.0006925916	0.00014576004	4.3249816e-05	0.0044535347
k	0.057734985	0.061767347	0.83874905	0.039624177	0.001965358	0.000102045226	3.113201e-05	1.3666788e-05	6.1094147e-06	3.186943e-07	7.158129e-08	5.740764e-06
a	0.035874944	0.30529553	0.40107822	0.1708956	0.04284819	0.0016004213	0.005423727	0.008529971	0.0016625173	0.00029162547	0.00013710771	0.026362116
s	0.054032225	0.020887287	0.7257734	0.1877148	0.010981919	0.00037359755	0.00012406617	5.3692354e-05	2.6151023e-05	1.6471511e-06	3.3975167e-07	3.089429e-05
ì	0.0113973515	0.09752154	0.2951866	0.52107733	0.05096125	0.0012844129	0.0030894722	0.0055144695	0.00096553925	0.00015078243	5.5047327e-05	0.012796191
m	0.014824123	0.00905686	0.14421417	0.8034473	0.025908057	0.0011608654	0.0005252048	0.0005517038	0.00017997163	4.9834175e-06	1.5313665e-06	0.00012524065
b	0.029800566	0.036989592	0.24545349	0.61541915	0.03615884	0.0016454932	0.0040251696	0.004546076	0.0010438918	0.00019332019	7.6613884e-05	0.024647785
e	0.18119256	0.02099481	0.20315309	0.20842609	0.022715224	0.28813428	0.055904966	0.0049315775	0.004976325	0.0010963634	0.00024656102	0.008228141
r	0.016630048	0.018743102	0.120139316	0.5039815	0.2919167	0.04495049	0.002998506	0.00037756906	0.00016269929	1.8286712e-05	8.72134e-07	8.090875e-05
i	0.012733418	0.10009106	0.048582133	0.7003912	0.054798298	0.018886572	0.024086775	0.019045213	0.0068779932	0.0010385648	0.0003432856	0.013125498
k	0.011892919	0.0024856732	0.016204413	0.07194462	0.8585556	0.034895312	0.0029795738	0.0007161344	0.00024085352	1.6502827e-05	2.5490517e-06	6.5902736e-05
à	0.0105549535	0.039794713	0.034928594	0.5270257	0.28606218	0.017922975	0.01850358	0.024249608	0.0059936703	0.00063861976	0.00030958702	0.03401583
n	0.019714927	0.009427184	0.018389167	0.13416843	0.66248876	0.11135849	0.022616947	0.018141504	0.0029052435	9.8911805e-05	2.9430352e-05	0.0006610154
n	0.04667984	0.019526925	0.045955896	0.16850111	0.47328743	0.046128746	0.054784227	0.05208712	0.012870747	0.0010465733	0.0007854272	0.07834598
i	0.16728778	0.010132162	0.02752662	0.011924933	0.03321291	0.5057395	0.20387805	0.01131759	0.010030677	0.0014310246	0.00025268737	0.017266124
s	0.004740122	0.001647853	0.009205935	0.018389715	0.20955767	0.5894175	0.15514436	0.008228029	0.002439147	0.00041474952	3.0269399e-05	0.00078459515
s	0.01903158	0.036656197	0.023637876	0.14870629	0.1856931	0.22264585	0.11093096	0.0485782	0.026144514	0.0043464494	0.002090599	0.17153834
ì	0.036767058	0.0041097314	0.0111649595	0.0026124774	0.015774002	0.6243992	0.2749	0.010943001	0.008193831	0.0011270694	0.00019069623	0.009817975
c	0.0027730518	0.0006555206	0.0029915932	0.004819274	0.049696304	0.32560393	0.5255941	0.072612785	0.011970072	0.0015794814	0.00025182578	0.0014520389
h	0.20874435	0.081309356	0.1191108	0.043886226	0.062310725	0.03266415	0.09808319	0.06813064	0.041597668	0.0055331835	0.0033131107	0.23531672
r	0.0474034	0.007824538	0.009176349	0.0039800433	0.004926979	0.66238576	0.24059042	0.008380506	0.0068756784	0.0020062686	0.00033416736	0.006115874
a	0.078226246	0.01845738	0.049236227	0.014873123	0.017968819	0.2666327	0.46218985	0.014117943	0.020611394	0.008139325	0.0011405305	0.048406415
c	0.003495045	0.00069648	0.0052586915	0.003334545	0.033534437	0.06375369	0.61992675	0.18324439	0.062115617	0.020400468	0.0019105005	0.0023293379
e	0.23306598	0.056306306	0.06649935	0.019727567	0.034462057	0.037946112	0.15327625	0.0794242	0.048409842	0.011119025	0.0080465125	0.2517168
e	0.02557958	0.0043394305	0.012170803	0.013644582	0.07089617	0.060809635	0.31708348	0.23273687	0.1682881	0.0811238	0.0122769335	0.0010505875
