 	non	so	cosa	scrive	</S>
e	0.97065306	0.027985502	0.000580893	3.2092778e-06	0.0007773252
n	0.77423793	0.15037562	0.0051401095	0.02255068	0.047695752
e	0.35177442	0.49083376	0.008439098	0.025668755	0.12328399
t	0.1619812	0.74446356	0.0336584	0.0046250722	0.055271808
s	0.048031464	0.6885753	0.03579537	0.114171155	0.11342666
è	0.101790845	0.54602844	0.31895775	0.0055996045	0.027623426
r	0.090906754	0.36876482	0.52207714	0.0032018435	0.015049542
o	0.013721023	0.54131114	0.21794616	0.17409374	0.05292795
t	0.08607448	0.054674633	0.7980142	0.021478752	0.03975802
i	0.0009578993	0.015233638	0.05547636	0.84840465	0.07992741
g	0.057683412	0.03449483	0.26979768	0.1270965	0.51092756
r	0.0030587318	0.0040815887	0.015594222	0.8388186	0.13844685
à	0.00902321	0.07355342	0.086120605	0.16630027	0.6650025
f	0.053346835	0.005437297	0.015275868	0.8274292	0.09851078
i	0.0029150383	0.0065647345	0.02184428	0.8563874	0.11228859
</S>	0.032214146	0.009559581	0.023748389	0.07856189	0.855916
