 	mia	figlia	vuole	andare	</S>
i	0.90941036	0.072795820475	0.00135397195625	0.00689641866915	0.009543490255
k	0.832624843333	0.109937996825	0.00259021315208	0.00820734805638	0.0466396784183
i	0.640399047778	0.298052022275	0.00236418609403	0.00430018953546	0.0548846208061
a	0.360134399259	0.611342340758	0.00240081524134	0.00243841546182	0.023684038602
t	0.20849383642	0.750701563586	0.00640690124711	0.00246908652061	0.0319286398673
è	0.12365678614	0.835196837862	0.00785946778237	0.00173415521454	0.0315528005624
r	0.05452732538	0.899007095954	0.0169301371275	0.00481940601251	0.0247160381275
a	0.113810917793	0.819462081985	0.0373256100425	0.0063683546375	0.0230330625758
m	0.129126317598	0.738366027328	0.0818004343475	0.0137460668458	0.0369611733919
u	0.078233605866	0.712994142443	0.147261684783	0.0187757582819	0.0427347826306
i	0.063363640622	0.523825074148	0.375093498261	0.0195841134273	0.0181336443102
t	0.0277884205407	0.262139838049	0.668336206087	0.0243837988091	0.0173517303701
è	0.0170881178469	0.12083096935	0.816479402029	0.0281104039364	0.0174911370234
l	0.0127226164823	0.0606773997833	0.68652503401	0.175637237979	0.0644377322411
i	0.0086024966941	0.0494719665944	0.339417872337	0.477608945993	0.124898727414
n	0.00797574689803	0.0406042171981	0.185362005112	0.601811681998	0.164246325805
a	0.00928596496601	0.0355619773994	0.134477223037	0.663906193999	0.156768606935
p	0.008752133322	0.0252573504665	0.050774675679	0.791478678	0.123737130645
à	0.010140703774	0.0126942654888	0.022745265893	0.847105139333	0.107314610215
i	0.0104926554913	0.00859358656293	0.016129914631	0.836491763111	0.128292100072
</S>	0.00614228309565	0.00624539938146	0.0156710153155	0.801011206555	0.170930125036
