 	non	mi	aspetti	non	vengo	</S>
m	0.572396845	0.0402605045	0.34901432855	0.002709264727	0.0145925770614	0.0210264318575
ì	0.466320445	0.1284206415	0.35361270185	0.00357352207567	0.0160533076871	0.0320193256192
m	0.475996915	0.220044683833	0.26384238295	0.00386553205856	0.00930985022903	0.0269406168731
e	0.270723617333	0.439086167944	0.266365502983	0.00389437088619	0.00561436236734	0.0143160022377
m	0.102171104211	0.467300422648	0.410627476328	0.0064860562954	0.00381626054678	0.00959868135923
ì	0.0671210941703	0.452054400883	0.452672885443	0.0163677094318	0.00339808496893	0.00838580778641
n	0.0558749542901	0.450138750294	0.452362175148	0.0278528324773	0.00587713830964	0.00789413159547
i	0.0770273976634	0.354640590098	0.435550875049	0.111639230159	0.00875589020321	0.0123859741985
e	0.0845733378878	0.296667234366	0.189935355016	0.238998410053	0.126847018501	0.0629786127328
n	0.0329330021293	0.116557308122	0.103381415672	0.230151070018	0.417227116167	0.0997500842443
è	0.0348685482098	0.0804881450407	0.0447704004907	0.166897806673	0.607010888722	0.0659641910814
r	0.0340082281033	0.0645673268469	0.0180727960969	0.112967300558	0.724478729574	0.0459055843605
k	0.0262614400678	0.186340494116	0.0272621393656	0.0593924985193	0.571102233191	0.129641182454
o	0.0236828217893	0.226761817872	0.0276926613552	0.0369494085064	0.303885711064	0.381027604151
m	0.00869139289643	0.0817755264573	0.0505447410184	0.0254379951688	0.266835947021	0.566714434717
e	0.00427854583214	0.0345603718191	0.0580776754195	0.0209916445896	0.17855834734	0.703533411572
</S>	0.00332285141607	0.0201870044095	0.0292001378297	0.0111708915948	0.11245582117	0.823663255786
