 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.887272445	0.06571154995	0.00142525954	0.002906152617	0.00215087323315	0.00174328648477	0.0387904493065
ì	0.775154065	0.126339033317	0.00216231464667	0.00780053437233	0.00369725954438	0.00271559502826	0.0821311917688
s	0.725596531667	0.181883354439	0.00400644568222	0.00867036439078	0.00314183718146	0.00196241398942	0.0747390559229
i	0.607872200556	0.35178913148	0.00484656589407	0.00437447393026	0.00142703499982	0.000741736114807	0.0289488743726
f	0.358364903519	0.599907283827	0.012549201298	0.00845399417675	0.00243221620594	0.000677949776602	0.0176144318559
a	0.254866211173	0.571468874609	0.140247665099	0.0153613903922	0.00329815013531	0.000818797878867	0.0139389314586
m	0.186552600491	0.608863018203	0.1761946577	0.0142239677974	0.00226460991177	0.000641005666289	0.0112602269929
ì	0.118907413597	0.681427552734	0.1693930219	0.0173147365991	0.00192537280392	0.000481154898763	0.0105507860876
g	0.095516072199	0.681766897578	0.182484998967	0.0236537208664	0.00480596563464	0.00143466902292	0.0103376851192
l	0.2380898884	0.592456182526	0.102354071322	0.0278892519555	0.0115484885449	0.00274371840764	0.0249184400397
i	0.316969039467	0.274415693509	0.268565983774	0.0892974856518	0.0223419138483	0.00340997213588	0.0249999488799
a	0.140617032489	0.11887747717	0.380132264591	0.265918395217	0.0740553399494	0.00778587704529	0.0126136164933
e	0.0579068194963	0.0766106157233	0.223429864197	0.383186338406	0.23323634665	0.0149842996818	0.0106457061644
n	0.0324246314988	0.0516967295744	0.108925401732	0.313769879469	0.427387882217	0.0242549345606	0.0415405480548
è	0.0210000794996	0.0300367756915	0.0595775095773	0.195005108156	0.613998260739	0.0303308388535	0.0500514118183
c	0.0637866464999	0.0210115707305	0.0368401711924	0.115326577719	0.56891463358	0.0392023502845	0.154918029739
h	0.1153002155	0.0185028030768	0.0238366932641	0.0662416479063	0.436116491193	0.0827121600948	0.25728999658
i	0.0846509348333	0.00922096285893	0.010318568388	0.0453815236354	0.421889147064	0.137802050032	0.290736825527
n	0.0386405736111	0.015774372953	0.006221273896	0.0310687225451	0.294729945688	0.145079080011	0.468486031842
a	0.0296211162037	0.0167988362977	0.005257731632	0.0180971608484	0.149459651896	0.357441440004	0.423324041947
f	0.0222974310679	0.00938229241257	0.00533657201067	0.0160563939495	0.0923565452987	0.480105873335	0.374464861982
à	0.0159367916893	0.00692261497086	0.00665455613689	0.0128318736498	0.0671329650996	0.534370584445	0.356150590661
i	0.0111376024964	0.00313229059029	0.0055552592123	0.0091330584166	0.0366293216999	0.562634168148	0.371778283554
</S>	0.0064194216482	0.00235053844514	0.00335041885615	0.0062024305083	0.02586104285	0.433843194074	0.521972941777
