 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.8004816	0.16429414	0.035163768	3.372537e-05	1.57727e-05	8.599907e-06	6.445761e-07	8.9743344e-07	8.329066e-07
n	0.59226626	0.30029926	0.10348534	0.0018907421	0.0020117606	3.661482e-05	6.2341283e-06	2.2869995e-06	1.5068789e-06
e	0.110135294	0.85543627	0.013563893	0.015633779	0.0045234705	0.0004029667	0.0001041381	0.00019794909	2.1917508e-06
s	0.043664288	0.24983491	0.69055784	0.008483243	0.0073962566	5.0277726e-05	7.879632e-06	4.0309906e-06	1.3148009e-06
p	0.0060581905	0.3614723	0.35010946	0.27576864	0.0063693696	0.00013829095	4.676799e-05	3.515994e-05	1.8470041e-06
ì	0.0005560437	0.05055779	0.6033685	0.33620584	0.008600624	0.0006440191	1.6411588e-05	4.9287595e-05	1.5003202e-06
c	0.020635381	0.03914481	0.91814935	0.020001087	0.0020234007	4.4818342e-05	2.5655376e-07	4.2978934e-07	5.250519e-07
c	0.01280701	0.10598457	0.27788287	0.5937458	0.007792953	0.0015375008	7.054941e-05	0.00015475946	2.4020403e-05
e	0.001162742	0.06226685	0.81139207	0.116399035	0.006817655	0.0017224733	6.2197673e-06	5.6598932e-05	0.00017630574
t	0.016248757	0.0208311	0.04366487	0.7199692	0.14708725	0.051005412	0.0006841771	0.0004631065	4.6122685e-05
s	1.7260356e-05	0.001407562	0.0151760895	0.90974474	0.072320886	0.001293093	3.1423086e-05	8.890141e-06	8.0709086e-08
a	5.1784477e-06	0.0015566266	0.027083946	0.84830713	0.12165939	0.0013825713	3.819805e-06	1.1532397e-06	1.873762e-07
o	0.0005372561	0.00020052295	0.0031196515	0.6203346	0.36663428	0.009060665	6.3301726e-05	4.882863e-05	9.786091e-07
s	0.00044617007	9.2845614e-05	0.0033257967	0.19490196	0.79192567	0.008819786	0.00036640413	0.00012096376	4.5966422e-07
ò	3.557221e-06	0.00011617945	0.0032188944	0.21308285	0.7265889	0.0518406	0.0050594746	8.634935e-05	3.2171647e-06
z	0.00015527327	0.00013158971	0.0012640752	0.038364578	0.89852434	0.05833147	0.0031913863	3.6514564e-05	7.849132e-07
o	7.784157e-06	0.0005059006	0.023703419	0.22162887	0.6344093	0.11212801	0.007530536	8.4166124e-05	1.964286e-06
s	0.0155897625	0.014722193	0.0075222454	0.09524228	0.17837958	0.4714359	0.17543925	0.04137472	0.00029400154
p	6.9193425e-06	0.00012590404	0.0011593743	0.033287764	0.49077028	0.16120516	0.30816066	0.0052358336	4.80457e-05
i	2.884454e-06	0.00010011918	0.00038241645	0.006682714	0.21731877	0.70488685	0.067030594	0.003458984	0.00013674506
c	0.00020093977	6.723743e-05	8.6247324e-05	0.0051185014	0.07522508	0.5395733	0.3568519	0.022569936	0.00030682725
c	1.6536775e-05	0.00016083707	0.0037543834	0.004137162	0.2414576	0.14893414	0.58152086	0.013331331	0.0066871447
è	6.8402325e-05	0.00017915436	2.630077e-05	0.0014670882	0.022997495	0.67085326	0.22274712	0.07878239	0.00287885
t	0.0005865954	0.0010917162	8.7955035e-05	0.0029321087	0.013491244	0.031961102	0.6916495	0.25194928	0.006250433
s	0.00032775247	0.0018777208	0.0022111954	0.0021414766	0.03165234	0.038147688	0.6711471	0.21900661	0.033488106
i	9.8884455e-05	0.0023293318	0.002138092	0.0059786257	0.20128988	0.13803336	0.48711714	0.15599786	0.0070167575
t	0.0012932979	0.0017744822	0.0008370581	0.005631092	0.0075588194	0.095746405	0.33112168	0.49448952	0.061547667
s	2.4694742e-07	9.345238e-06	4.4414566e-05	6.265393e-05	0.002135903	0.0062365467	0.66535443	0.31824955	0.007906894
e	1.6852437e-06	2.0716767e-05	3.560735e-05	7.1974806e-05	0.0023157755	0.046396237	0.371817	0.5490175	0.030323543
g	5.1643234e-05	2.3480925e-05	1.992196e-05	0.0001484629	0.00026581797	0.0053751655	0.11279377	0.8056024	0.0757193
r	1.1020551e-06	1.8498533e-05	9.439817e-05	8.759627e-05	0.0023145825	0.016988968	0.43193382	0.5114443	0.037116695
à	8.8627036e-07	1.5199751e-05	2.609141e-05	4.0154468e-05	0.00049269374	0.019574588	0.17269383	0.6841537	0.12300288
t	4.063256e-05	1.8166407e-05	1.0065064e-05	6.117694e-05	0.0001111598	0.0009346219	0.03008465	0.80912685	0.15961275
s	7.072688e-07	2.6228361e-05	3.930789e-05	2.6504527e-05	0.00020275141	0.0003102154	0.16667074	0.7983694	0.034354195
i	2.8412492e-06	3.982405e-05	1.33080775e-05	2.3959246e-05	0.0001643895	6.656e-05	0.018500356	0.96697325	0.014215429
</S>	2.513346e-05	1.8787647e-05	1.5996502e-05	8.009197e-05	0.000215605	0.0048296642	0.000628549	0.20812362	0.78606254
