 	sono	stato	sempre	poveretti	</S>
ì	0.9982444	0.0016789343	3.512756e-05	3.893153e-05	2.5909949e-06
m	0.7728585	0.19169089	0.035281792	0.00015739855	1.1420129e-05
e	0.9600108	0.039197676	0.00077134796	1.9390649e-05	8.295682e-07
s	0.32530883	0.64382887	0.028469581	0.0022608968	0.0001318516
t	0.044620898	0.9535475	0.0018231481	8.162414e-06	1.9987552e-07
a	0.004708878	0.9929751	0.002245377	5.8576476e-05	1.20668265e-05
m	0.009688969	0.984321	0.0057486105	0.00022535368	1.5936283e-05
m	0.017805267	0.95394933	0.024687793	0.0015375844	0.0020198314
è	0.00362636	0.98261446	0.007929704	0.0055465666	0.00028304677
n	0.002245745	0.64388543	0.35236582	0.0014831341	1.9917174e-05
a	0.033391487	0.7272524	0.1269231	0.056383856	0.056049153
p	0.0962231	0.04283844	0.71696585	0.14213338	0.0018391925
à	0.0026137088	0.10762037	0.7661365	0.10447151	0.019157825
n	0.00011384839	0.0065264385	0.89733493	0.09474442	0.0012802865
t	0.011578632	0.010073264	0.49743065	0.14695862	0.33395883
a	0.046442006	0.00857596	0.6032693	0.1211827	0.2205301
t	0.0076028462	0.00062961376	0.16005795	0.71323913	0.11847045
e	5.474418e-05	0.0032557426	0.19796802	0.64214104	0.1565805
c	0.00013207167	2.5852964e-05	0.010449813	0.95643085	0.03296137
h	8.957855e-05	0.00036990325	0.21654002	0.3303129	0.45268753
ù	0.00020526518	0.00016182684	0.03525685	0.5181861	0.44619
d	2.840662e-05	1.4333238e-05	0.017204113	0.9292782	0.053474884
d	0.000112739785	3.829338e-05	0.007549541	0.87114906	0.1211503
h	0.0005599568	1.6036278e-05	0.0016408256	0.9521722	0.04561091
i	0.00014596156	3.5209494e-05	0.006336519	0.974697	0.018785285
</S>	0.0003513625	7.166749e-06	0.00014550055	0.06641124	0.9330847
