 	quando	Giovanni	è	arrivato	è	arrivato	alla	casa	o	a	casa	ancora	e	cucina	</S>
s	0.9932977	0.0066178315	5.96569895e-05	1.80254945e-05	3.29855675e-06	9.548884e-07	8.31348645e-08	2.24748162e-06	2.4771124e-08	6.78543335e-09	1.083436165e-07	8.74880165e-09	5.13132495e-09	1.367434125e-08	4.14541095e-08
à	0.81443115	0.1723710455	0.0128053098965	0.0001981152535	0.000182014143583	7.83807646667e-06	1.619871415e-07	2.86872740667e-06	8.3515949e-08	7.859422745e-08	2.190409155e-07	9.25918951883e-07	5.92370001167e-08	2.94852429167e-08	9.76546595e-08
t	0.724538523333	0.2576313585	0.0172987180522	0.000275180091167	0.000240579214294	9.88728165556e-06	2.64021403833e-07	3.52660323556e-06	1.09421831667e-07	1.0220728935e-07	3.059540085e-07	1.23056480246e-06	7.63648187056e-08	3.27501485056e-08	1.14284792167e-07
t	0.641218381111	0.3423925095	0.0147282221041	0.000730559003722	0.000823167304531	5.77551390519e-05	1.13840757479e-05	1.65756024119e-05	3.72080713589e-06	1.62550278665e-06	3.26569411283e-06	3.90200248599e-06	1.0052952049e-06	3.98677085037e-06	3.94413252639e-06
e	0.338992003704	0.635126389833	0.0235674057014	0.00104028954457	0.00113055520151	8.0114936684e-05	1.51064118493e-05	1.9795693904e-05	4.9456943353e-06	2.18417421888e-06	4.20920508761e-06	5.05769924533e-06	1.33040629597e-06	5.32427957346e-06	5.3048204888e-06
o	0.145549128901	0.680441133278	0.1694671689	0.00362122265819	0.00082310676717	6.4151339228e-05	6.7214258831e-06	1.58323114013e-05	1.88469861843e-06	9.05741789627e-07	2.09003311254e-06	2.30253063178e-06	4.9545839099e-07	1.90681330782e-06	1.9837458096e-06
G	0.0569802818337	0.710152144426	0.225995137633	0.00604814788606	0.00069344557239	7.4090683076e-05	2.13294006277e-05	2.13623498004e-05	3.64737075614e-06	2.42458825654e-06	3.58032053751e-06	1.59521337726e-06	3.88079061663e-07	1.61319806261e-06	8.32279496533e-07
i	0.0201688762446	0.830120531475	0.143890603878	0.00533783672869	0.000382027287463	4.72405693587e-05	2.46801846626e-05	1.48030555735e-05	4.04096526708e-06	2.80736438885e-06	3.4651933505e-06	1.01270603775e-06	3.17490934421e-07	1.40524108717e-06	3.23327572844e-07
o	0.00886822571487	0.561151365325	0.379079021293	0.0491641650096	0.00150377724249	0.00014654075812	3.46504226742e-05	4.13397074978e-05	2.66362693739e-06	1.41474476628e-06	4.39456448817e-06	1.43441359125e-06	1.78341142007e-07	6.11330645357e-07	1.64742761615e-07
v	0.00482743220496	0.289455226608	0.554850313764	0.14423417167	0.0045950857475	0.00109448131937	0.000423246787558	0.000306604175833	5.84153598125e-05	4.91831089221e-05	6.46050814961e-05	2.39067388971e-05	5.03531773067e-06	1.15652315651e-05	6.62946043872e-07
