 	l'	ha	scritta	</S>
t	0.996714295	0.0031726954	0.0001083530685	4.63296535e-06
o	0.734369145	0.264740564133	0.000750349526167	0.00013988921635
è	0.329586031667	0.666380854711	0.00340900450872	0.00062408269545
g	0.160215623889	0.831509818237	0.00762274483624	0.000651800655817
r	0.131439897963	0.812386286079	0.0548053596121	0.00136844130927
a	0.104239426988	0.72970087536	0.148294049871	0.0177656524364
t	0.0535063931093	0.487988580453	0.435294139957	0.0232109217121
s	0.0179737199631	0.208893000151	0.738293823319	0.0348394681374
e	0.0063039410777	0.091483574717	0.659228741106	0.242983739379
</S>	0.00347056845385	0.0512521723585	0.515693755553	0.429583519689
