 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
t	0.98817475	0.01169648165	0.000117955225	4.62097345e-06	4.4280813e-06	1.6786667e-07	8.84050185e-07	4.548116385e-07	2.29535357e-07
ù	0.85217455	0.14023148055	0.007573698735	5.88334535e-06	1.27148831667e-05	2.4837191e-07	1.02212135167e-06	2.724258585e-07	1.24115487e-07
t	0.784063783333	0.205584560183	0.010318176655	1.67721779833e-05	1.51099979889e-05	2.71397599e-07	1.05404316656e-06	2.070835844e-07	8.91387001667e-08
t	0.753850727778	0.241783530061	0.00431253072833	4.08237159944e-05	1.03284439296e-05	6.97946082e-07	5.6495142152e-07	1.49827046367e-07	6.75981924556e-07
o	0.460173100926	0.505735396687	0.0339869316761	7.02556106648e-05	2.88972843099e-05	1.650696394e-06	2.26887392384e-06	5.79869422122e-07	9.31650864852e-07
t	0.174774305309	0.743493232229	0.0757789672254	0.00561613480555	0.000330853710103	2.651365798e-06	2.77763445461e-06	7.26401534041e-07	3.74461023451e-07
r	0.0645103137697	0.86866807741	0.0587190312085	0.00768318183518	0.000415535054368	2.32581823267e-06	1.09806146954e-06	3.60461958014e-07	1.26739919217e-07
a	0.0271480735899	0.64139176247	0.328250612536	0.00303853311173	0.000169262565789	1.00893778422e-06	5.21581794513e-07	1.87372801005e-07	6.80714709723e-08
v	0.0108127961966	0.33011175749	0.584105580845	0.0723204813039	0.00253273178526	9.83537230014e-05	1.00563677315e-05	7.29682809533e-06	9.38751421991e-07
ù	0.0050225297822	0.204642210497	0.688975626948	0.096754477268	0.00444969932842	0.0001311488272	1.33451335938e-05	9.69491402178e-06	1.27550805733e-06
d	0.0024084558774	0.0867852891657	0.858166242316	0.046676831256	0.00586131084281	8.32039919333e-05	1.22626002146e-05	5.22089866393e-06	1.19950510244e-06
i	0.0099266275258	0.0649526760552	0.794549297439	0.0742631924187	0.0558016579476	0.000250028963978	0.000210120603738	4.11564015546e-05	5.19946983415e-06
e	0.0134646706753	0.0500635830184	0.639493249146	0.14307315414	0.153074259316	0.000472472041326	0.000296217744579	5.59820318515e-05	6.37707317805e-06
e	0.00976084539177	0.0350267413395	0.420017973049	0.181297178047	0.351836859772	0.00178444508044	0.000238132138193	3.41163159505e-05	3.71710549268e-06
t	0.00710683367392	0.0232345123798	0.19015757335	0.213036336016	0.504183243257	0.0613915161935	0.000827410672731	5.78916359835e-05	4.70212036423e-06
o	0.00276246326797	0.00902852543993	0.0836070451167	0.176136358005	0.637550914419	0.0890835087312	0.00176723412424	5.95216973278e-05	4.41412945474e-06
n	0.00163783902266	0.00452306812664	0.0422274947056	0.0906912606683	0.670214094806	0.184777109577	0.00544422494141	0.000439224307776	4.56264548182e-05
è	0.00373613610755	0.00972719030888	0.0232804282352	0.0677821612228	0.519048564935	0.344308783192	0.0314173136471	0.000639759585925	5.96097984727e-05
g	0.00410948185585	0.0109141384696	0.0212294607451	0.0503801927409	0.401922431645	0.456891641064	0.053766704549	0.000736366711975	4.95245463576e-05
r	0.0168322401053	0.0384687958565	0.0355109775817	0.0859047209136	0.265958060548	0.510170017021	0.0449174015163	0.00135134870399	0.000886371145453
a	0.0279656663684	0.0678880039522	0.0336644288606	0.0963608576379	0.151871226849	0.506298685674	0.105807470505	0.008029622368	0.00211398304848
t	0.0163648155375	0.0435909683307	0.0137325984769	0.0429830368793	0.0920609666163	0.545634395225	0.220815126835	0.0229686647893	0.00184942228283
s	0.00549488375717	0.0156405335569	0.00472521704897	0.0337876436264	0.0648875698721	0.558908198408	0.241775132278	0.0688341332631	0.00594671012761
e	0.00201886066239	0.0066522401523	0.00185596974966	0.0272909903088	0.0401483019574	0.422095266136	0.412032334093	0.0774048120877	0.0105012277092
è	0.00252023813413	0.00651521325077	0.00255204104989	0.0101547039696	0.0220260879858	0.228861724045	0.667680661364	0.0453361973626	0.0143531232364
n	0.00259981690471	0.00626604250692	0.00268654885663	0.0042579505432	0.0152965158619	0.156159996682	0.642179283788	0.148925088121	0.0216287370788
a	0.0302300391616	0.069060072259	0.00369588002554	0.00645749530107	0.0098310155873	0.098746467894	0.408925657929	0.317346852707	0.0557064710263
p	0.0393884565672	0.0899505957463	0.00397605602951	0.00713012651502	0.00561092408243	0.036839542898	0.19660587931	0.530451587569	0.0900467850088
o	0.0131443078061	0.0300823914604	0.00133642252167	0.00238714665034	0.00189931332281	0.013286641016	0.09859992877	0.749712522523	0.0895512763363
è	0.0050226856057	0.0122404943718	0.000561001014723	0.000927264527447	0.000707234579603	0.00454638058867	0.0458245012567	0.829021587508	0.101148786779
t	0.00231687940257	0.0063188299306	0.000303783893574	0.000440609406482	0.000307913156201	0.00170580836289	0.0210794657522	0.878329775836	0.0891969032597
a	0.00840186443486	0.0228784237835	0.000608781803191	0.00176482945283	0.0004730581184	0.000982291010963	0.0116988989174	0.665257625279	0.287934238753
</S>	0.0156388922174	0.0425538588918	0.0010613808516	0.00330713872642	0.0007871041592	0.000928572790482	0.0069892159587	0.414547892639	0.514185969376
