 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.97097313	0.014747962	0.0007431348	0.006146019	0.00049826474	0.00040711806	0.0005768001	0.0002723408	0.0009895682	0.00023701579	0.00020194132	0.00048239573	0.00018707411	0.001444794	0.001713598	0.00037891886
k	0.11589984	0.14217556	0.0034851104	0.06742003	0.002389739	0.0009986779	0.014035569	0.0006706533	0.0095642265	0.01256428	0.017338293	0.021940745	0.107115746	0.101244785	0.23185673	0.15129998
è	0.002085	0.8830168	0.00282083	0.053638913	0.0008452658	0.00045418687	0.012546957	0.00020272318	0.0035204804	0.00032065203	0.00059150707	0.017673414	0.00088268885	0.0017653803	0.014214947	0.0054201456
c	0.01692009	0.77558917	0.011374212	0.038465604	0.007052071	0.0018592362	0.006036263	0.0027436984	0.00021187932	0.00028552744	0.028014079	0.0016178715	0.0022000587	0.07701735	0.006683265	0.023929719
c	0.006735583	0.95905155	0.0060097524	0.02596122	0.0002265577	4.305684e-05	0.0009974241	1.4871336e-05	0.00010286235	5.4445222e-06	3.1727603e-05	0.000119016484	2.185287e-06	5.7864876e-05	0.00022477275	0.00041609028
i	0.010756698	0.6964139	0.18174927	0.010749495	0.056915827	0.012834015	0.004847636	0.003922809	0.00050068065	0.00022150883	0.0036563969	0.0014258032	0.0004160236	0.014100201	0.0013924636	9.7358214e-05
a	0.0054815314	0.45895445	0.25620198	0.25598282	0.005913184	0.0043026633	0.007406178	0.0011542828	0.0004768674	0.00090923003	0.00063706597	0.00022602832	0.0007119453	0.0014510946	0.00012616174	6.448365e-05
a	0.01755949	0.034003455	0.1410243	0.23912194	0.015897563	0.019242933	0.03397582	0.019779563	0.0023225911	0.015112343	0.15733884	0.0071064574	0.052624263	0.15497318	0.0114750285	0.07844216
r	0.0068412167	0.013765648	0.0922951	0.17932889	0.07345885	0.08059401	0.028346147	0.007852168	0.00140739	0.006884118	0.09979381	0.0075777783	0.031080414	0.15152535	0.013991609	0.20525746
è	0.0046668695	0.024141181	0.03452901	0.76596385	0.020488327	0.034322076	0.041117635	0.002170066	0.0094032	0.00028946248	0.00176463	0.019274011	0.0005440709	0.0039040372	0.025291855	0.012129714
t	0.0027430502	0.013032693	0.03276142	0.7600004	0.034762498	0.10728945	0.0089848	0.0021897426	0.00038166813	0.0007271025	0.011779431	0.0016126853	0.0012401099	0.012654472	0.0036763696	0.006164116
i	0.0007883214	0.004570577	0.107825935	0.4382804	0.11609404	0.3024668	0.024155283	0.0010625869	0.0010433936	0.00016105683	0.0002641013	0.000946757	8.962226e-05	0.001010694	0.0010446993	0.00019566399
e	0.004696004	0.017255101	0.025684124	0.30934453	0.042710595	0.52947044	0.02402038	0.012498678	0.0041537806	0.01718202	0.0012724922	0.0014075938	0.00395705	0.0019140473	0.0009401314	0.0034930236
s	0.010976832	0.021086495	0.008631951	0.033242356	0.012233764	0.41856983	0.0937376	0.06319804	0.005128918	0.008405802	0.09630004	0.013176491	0.017496012	0.102965	0.02089813	0.07395268
ò	0.01359253	0.041686926	0.0034600832	0.17116061	0.0043415893	0.13664229	0.41846934	0.021378066	0.13439952	0.0016688014	0.002189556	0.014521239	0.0005269156	0.003952753	0.027064426	0.004945349
z	0.003904387	0.042526554	0.0023285383	0.08593252	0.012959155	0.58240813	0.16523837	0.033316176	0.013606988	0.005079301	0.011124594	0.005268211	0.0037438206	0.010943595	0.009357789	0.012261951
u	7.98007e-05	0.00075598905	0.00070587837	0.014334364	0.006094638	0.7907277	0.13822657	0.03763802	0.005407086	0.0008007786	0.000311609	0.0014620158	0.00083713525	0.00071147433	0.0014061825	0.00050077407
n	0.0037592594	0.023792129	0.013838746	0.036860373	0.030612694	0.33357915	0.20676008	0.22653633	0.043084566	0.044515852	0.002140033	0.0077041774	0.012986447	0.0018011795	0.0034897567	0.008539262
f	0.0007311343	0.0023601856	0.0006039652	0.004719536	0.0017567507	0.08684678	0.68887466	0.017435119	0.17314333	0.003615072	0.0010441755	0.0072185905	0.0003869504	0.00063668424	0.0103953695	0.00023171911
à	0.0017645998	0.011376118	0.0018199077	0.00415999	0.018886648	0.30091217	0.5024107	0.047802	0.03223996	0.009928194	0.017509187	0.0077225864	0.007778681	0.016791834	0.017667837	0.0012295998
i	0.00021412528	0.0011910942	0.00061320665	0.0018865241	0.0027571374	0.048520695	0.3659607	0.41287687	0.05066966	0.07758282	0.013099926	0.0034133592	0.013967777	0.0033661379	0.0038052977	7.470532e-05
o	0.0015495125	0.010724032	0.0014239032	0.003826894	0.006639923	0.020577107	0.02720263	0.022615544	0.72132593	0.15878989	0.0022449144	0.0074174893	0.008544955	0.00072961807	0.0020218946	0.004365814
g	0.006409146	0.015366058	0.0012124991	0.0049525616	0.0067887898	0.0109896185	0.09240338	0.06780292	0.21065786	0.16359438	0.24618246	0.011610927	0.015184735	0.07041541	0.029179223	0.047250032
e	0.001860089	0.01994844	0.0005069246	0.005070109	0.0016037447	0.0063630873	0.089411676	0.006993641	0.7777723	0.06316778	0.008162535	0.0038954574	0.0016501319	0.006623297	0.0066061257	0.0003646804
l	0.0021865175	0.053094972	0.0026010151	0.013036625	0.0068581523	0.013448086	0.086204134	0.010832794	0.6586803	0.08229595	0.00807815	0.01516409	0.016794592	0.0019746881	0.00851307	0.020236867
à	0.0014922073	0.0022000666	0.0003218976	0.00042874206	0.0007002283	0.00063755724	0.09066336	0.005921188	0.7070741	0.15485033	0.010485211	0.0110300835	0.0039062607	0.0031999275	0.005679279	0.0014095608
o	0.00026971436	0.009236036	0.00038938818	0.0026803368	0.0042179683	0.0038421415	0.014596921	0.003981719	0.79566246	0.095219016	0.02198396	0.026186028	0.004339136	0.0012601225	0.011694711	0.0044402974
p	0.0003127253	0.0020798098	0.00030462132	0.0006953723	0.005831283	0.002768977	0.0037944503	0.0016563026	0.37823474	0.5250583	0.02776649	0.009430858	0.020760246	0.0030257218	0.003532411	0.014747675
r	0.00023526266	0.0025892558	0.00023090211	0.0009820553	0.0029403768	0.0071687074	0.00910432	0.0009464016	0.4621576	0.4517616	0.006992968	0.005812138	0.03917902	0.0063472413	0.0032026765	0.0003495225
ì	8.446521e-05	0.002050247	0.00018275256	0.00088010397	0.005779837	0.013078828	0.007935688	0.0028312248	0.195705	0.51222193	0.03753363	0.011122317	0.19572338	0.006820071	0.007196804	0.0008536645
m	2.3362803e-05	0.0003708821	8.037489e-05	0.0003934496	0.0008612386	0.0012921328	0.0040799524	0.0028324293	0.14899088	0.35838398	0.049510926	0.09360147	0.32418695	0.0018943212	0.012960438	0.00053714676
a	8.416765e-06	7.650659e-05	2.338929e-05	2.0856261e-05	0.00040508824	0.00064639706	0.00212125	0.0038077736	0.12196368	0.19780844	0.37190244	0.027257452	0.1985675	0.0399238	0.027318073	0.008148952
k	0.0034573763	0.009725012	0.017721452	0.0056691314	0.017426403	0.013779728	0.029320708	0.07355351	0.05989738	0.0638321	0.05057137	0.3651651	0.081683576	0.01023016	0.17768033	0.02028667
a	0.00038966147	0.0010252813	0.00023716259	0.00012353461	0.0026278922	0.0021360393	0.002658111	0.002031619	0.081233814	0.26897967	0.33299223	0.06821941	0.1023245	0.08257218	0.048182044	0.004266922
n	0.0036507205	0.016043345	0.013170524	0.0039605033	0.021945577	0.015287942	0.046439253	0.017731592	0.055606436	0.015521793	0.015911596	0.3816846	0.02556168	0.014526217	0.3453673	0.007590889
a	0.0012370634	0.0013360432	0.00029873408	0.00013817579	0.0010532964	0.00026661248	0.0033550153	0.00038059568	0.08070356	0.08698676	0.032591242	0.39578068	0.19824043	0.047750782	0.14065242	0.009228563
f	0.0018398676	0.018518953	0.005102369	0.0031968476	0.022229271	0.0116220405	0.045225054	0.0041318	0.05740929	0.011155785	0.010408133	0.324718	0.02796872	0.02037519	0.4317309	0.0043678246
a	0.002601542	0.0027495269	0.00057607226	0.0002493545	0.002364869	0.0004597761	0.002983368	0.00028289968	0.02584861	0.03533939	0.016414324	0.3174029	0.25745857	0.117880315	0.21079355	0.006594912
n	0.0006483189	0.0079735285	0.0019646431	0.0017930645	0.010358863	0.006782293	0.023666646	0.0017758985	0.040933132	0.008480773	0.006331346	0.25874594	0.04309797	0.019790562	0.56571066	0.0019463105
e	0.0019496407	0.0034933288	0.0005188999	0.00037930883	0.0031589167	0.0008015431	0.002530179	0.00032694815	0.010829602	0.024294514	0.00735064	0.16092597	0.3891809	0.14307931	0.24710786	0.0040724627
p	0.0004812974	0.0049539316	0.0013981863	0.001116924	0.008386746	0.0057280003	0.01480389	0.0013014552	0.028150426	0.006166946	0.0046344777	0.14135316	0.04510464	0.023653863	0.7115805	0.0011854654
r	0.0010974495	0.003281429	0.00044462387	0.0007371722	0.0052707973	0.0019105955	0.0025656207	0.00036991932	0.006913099	0.01856673	0.0034309165	0.054232698	0.45386878	0.16185787	0.28385785	0.0015944558
ì	4.8251448e-05	0.002140802	9.559493e-05	0.00095456094	0.0033228968	0.0032625205	0.003165236	0.00034617452	0.007328847	0.007176218	0.0037225005	0.083269686	0.55986226	0.07975858	0.23958547	0.0059603965
m	1.6221087e-05	0.00026714383	4.9082668e-05	0.000320101	0.00044762154	0.00035067587	0.0014066473	0.000701253	0.0035183136	0.0072697904	0.0023018564	0.051815465	0.56883657	0.019350376	0.32513806	0.018210826
a	2.2045801e-06	7.940058e-06	4.177594e-06	2.4540404e-06	5.3954045e-05	3.0383673e-05	3.761165e-05	2.5669668e-05	0.00038046806	0.0007907803	0.0059269876	0.018151393	0.31959283	0.3363978	0.2984338	0.020161474
n	0.0024486573	0.008035404	0.013606169	0.007312851	0.01039963	0.010184007	0.027995083	0.080895565	0.023007615	0.029423302	0.063063085	0.11824921	0.060294613	0.024937188	0.51241475	0.007732842
a	0.00010563283	0.00045230507	6.261452e-05	0.00011000557	0.0010586303	0.000589581	0.00043853337	0.00011315049	0.0010291005	0.0031781981	0.0049187355	0.02448405	0.12187709	0.4629034	0.35125273	0.027426165
f	0.0020585696	0.010166717	0.009872289	0.0061619016	0.011323878	0.011237661	0.05152976	0.049312185	0.033295173	0.017809702	0.021972392	0.12867032	0.024685482	0.010129378	0.60995734	0.0018172107
à	0.0006736041	0.0009310757	0.00019454952	0.000105050036	0.0012647012	0.00027545705	0.00065603637	9.86024e-05	0.0008586605	0.0015571944	0.0017514443	0.02039553	0.038500857	0.14914806	0.7703626	0.013226498
n	8.793192e-05	0.0015115613	0.0002920013	0.00052091305	0.0021308698	0.0014437946	0.0077183386	0.0012528823	0.018621946	0.008361244	0.002128512	0.087197684	0.046189994	0.0018088476	0.8193492	0.0013842204
e	2.407202e-06	1.1541485e-05	3.2206638e-06	4.9335986e-06	1.7948505e-05	1.7018376e-05	0.00010335528	1.8244024e-05	0.0003600597	0.00013398429	0.0007645974	0.012613252	0.054660928	0.2775318	0.65116405	0.0025927254
</S>	0.0015951918	0.0091544	0.00855523	0.01049506	0.007285561	0.0073320167	0.03396295	0.058346413	0.029484527	0.028260436	0.045552503	0.11574127	0.052899	0.018928898	0.56458735	0.007819189
