 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.98713523	0.0076010195	0.0007592217	0.0019454126	0.00031606975	0.00014364964	0.00022825695	0.0005950405	0.00031974883	0.0009562853
ò	0.877991	0.009971976	0.0017960437	0.0023540093	0.0020891954	0.0017070423	0.003950699	0.034622326	0.02548541	0.0400323
t	0.9922436	0.003815744	0.0012788341	0.0015702791	0.00027764429	6.2346975e-05	9.313357e-05	0.0005164432	6.6104665e-05	7.58781e-05
t	0.96392775	0.0111857345	0.0053928015	0.00731182	0.008265454	0.00052412885	0.0018315113	0.00056267	0.00036732826	0.0006308448
i	0.2630405	0.013550978	0.052943412	0.013270192	0.16263543	0.06382499	0.037264116	0.3661708	0.016267503	0.011032081
ì	0.23238264	0.44445246	0.17548007	0.050337587	0.03969683	0.0053193737	0.0028708705	0.041491248	0.0013487182	0.0066201934
r	0.013041378	0.9243375	0.020054989	0.012156753	0.0045369533	0.0012395459	0.0008136815	0.016826855	0.0023821385	0.0046101846
t	0.016960543	0.80765784	0.11560219	0.017290633	0.024537485	0.0027445294	0.006461521	0.0061442163	0.0015152706	0.0010857102
e	0.005205657	0.15960658	0.07655492	0.010298873	0.12390634	0.07752412	0.028088331	0.4652049	0.04317016	0.01044014
è	0.010365787	0.55421686	0.3536223	0.021226201	0.039581493	0.0047811167	0.0026967723	0.012563982	0.0004453816	0.00050002395
t	0.0054110168	0.7551306	0.17662631	0.025995094	0.0036813284	0.009943095	0.012759877	0.003368113	0.0033072685	0.0037773075
t	0.0024935356	0.23329599	0.7041975	0.046710163	0.007610118	0.0006088622	0.0014134166	0.0026264735	0.00087628723	0.00016755828
a	0.0019142246	0.06378691	0.3861565	0.015698394	0.08098795	0.12338037	0.07278243	0.20493738	0.03999196	0.0103639485
s	0.0027848175	0.012423732	0.8837418	0.038008552	0.03896235	0.010458514	0.006300705	0.0067360653	0.00041370123	0.00016980572
e	0.0007040526	0.05108372	0.718131	0.1529172	0.0387456	0.008515468	0.01723917	0.0009445168	0.011047561	0.0006717371
o	0.0056895553	0.011522279	0.63648945	0.19076936	0.09151111	0.027034666	0.013329932	0.0053022527	0.00076130126	0.017590003
G	0.0055353246	0.010975465	0.372038	0.4719688	0.04854303	0.0066470373	0.0034110749	0.054950908	0.00402757	0.021902855
i	0.0008827648	0.005318719	0.560833	0.35973954	0.06002085	0.0032147318	0.0073997662	0.0004688923	0.0017252439	0.00039649892
u	0.006017967	0.005557454	0.5455705	0.36841953	0.050736815	0.008320872	0.0045805755	0.0020519495	0.0009593975	0.007784969
v	0.011283036	0.009637995	0.12766844	0.53263134	0.07772987	0.015220257	0.004475617	0.14122145	0.008094733	0.0720372
à	0.001490015	0.0061007794	0.32466456	0.5752423	0.0824388	0.004193382	0.0036826108	0.0010926662	0.00043876268	0.0006561524
n	0.0034408579	0.008160114	0.08776686	0.72658384	0.0638467	0.055645023	0.043159697	0.0045181955	0.0033052468	0.0035733893
n	0.0005628971	0.0043944838	0.33843473	0.41662836	0.18540062	0.040376596	0.009306958	0.0017879001	0.002212072	0.0008952934
i	0.00030443716	0.00044426598	0.07753481	0.07835109	0.103548385	0.16806616	0.06939797	0.08978444	0.08473392	0.32783455
e	0.0015649005	0.0026417975	0.017993687	0.19198026	0.25019014	0.3710296	0.14181596	0.015129822	0.0059840805	0.0016697476
A	0.00253793	0.0036587412	0.00857168	0.4336414	0.33007163	0.08985554	0.033590604	0.062537365	0.005398684	0.030136451
n	0.00027929636	0.0010773505	0.003566667	0.30987567	0.29175758	0.27380016	0.115738474	0.002705286	0.0010554834	0.00014406817
n	0.00034492198	0.0002744236	0.012997353	0.38140026	0.46338457	0.10764765	0.007285669	0.013631622	0.011336158	0.0016973276
a	0.00027608013	0.00025525945	0.0086486265	0.12109375	0.15427214	0.2901809	0.13763408	0.07637622	0.11094371	0.10031923
a	0.00049090746	0.0011136184	0.0014823809	0.02865286	0.11227638	0.66736037	0.17328617	0.008599867	0.0062287813	0.0005086773
n	0.0020317463	0.0036455146	0.004361514	0.0463788	0.19972208	0.36421925	0.28252786	0.058914628	0.010002422	0.028196167
k	0.00037519913	0.0004122714	0.0019247925	0.09902617	0.5415362	0.17452721	0.13981411	0.020277627	0.020618634	0.0014877985
ò	0.0030438472	0.00060490327	0.010787323	0.20694786	0.534125	0.15994336	0.041841965	0.028777082	0.013184365	0.00074427825
r	6.5805994e-05	0.00025154906	0.00032556188	0.017859304	0.08985281	0.63259125	0.2264202	0.02278469	0.009672772	0.0001760185
a	0.00016907108	0.00011066671	0.0013015491	0.09828377	0.38135767	0.29277042	0.046047237	0.11874923	0.053956155	0.0072541987
ì	0.003776811	0.0016948889	0.003705496	0.0065866844	0.03581354	0.6375598	0.23649405	0.017922223	0.03946544	0.01698111
c	0.00039957764	0.002063919	0.0010732627	0.002749332	0.0071260277	0.19944493	0.7781321	0.0020516752	0.0058338093	0.0011255068
h	0.0001392807	0.0005289553	0.00033209106	0.021035004	0.06069586	0.4652923	0.34415644	0.0731809	0.033900503	0.0007386794
e	6.41099e-05	8.1004575e-05	0.00052350934	0.045552086	0.1333012	0.4433773	0.11844154	0.034563664	0.2105798	0.013515784
n	0.00011369348	0.00097454875	0.0003441471	0.0011222264	0.0032196492	0.29841876	0.5960668	0.04571985	0.045505945	0.00851438
a	0.00025287917	0.00031757832	0.00047577478	0.004330046	0.036768027	0.16100709	0.3640146	0.27561936	0.13365018	0.023564402
m	0.0027121853	0.00065012067	0.0037694718	0.0050064707	0.023490157	0.16118065	0.14938644	0.089697585	0.5519521	0.012154788
a	0.00023129352	4.759616e-05	0.00038773718	0.0004300974	0.0077031	0.029512588	0.02298516	0.82786405	0.085168354	0.025670059
