 	ora	ho	finito	di	scrivere	</S>
à	0.97714657	0.012031923	0.0072306297	0.0017520491	0.0008398827	0.000998877
r	0.99581945	0.002941832	0.00049364497	0.00040961115	0.00021403782	0.00012154266
t	0.9620535	0.02848951	0.006433243	0.000762486	0.0013011915	0.000960053
e	0.010558677	0.24085891	0.24114512	0.46589136	0.028251635	0.013294254
s	0.009372085	0.6847949	0.27840436	0.023369905	0.0027220272	0.0013367472
p	0.085012995	0.8334533	0.05319955	0.016111068	0.0073819375	0.0048411903
ì	0.0005082132	0.17036413	0.26477057	0.48405397	0.07557741	0.0047256635
c	0.0007156692	0.0980971	0.77195334	0.12580661	0.0009536525	0.002473566
c	0.000662966	0.08622849	0.5685874	0.3107615	0.018840075	0.0149195185
e	2.820611e-05	0.00932345	0.30394974	0.67229164	0.012612365	0.0017945576
t	0.014360046	0.23583893	0.42289189	0.29513413	0.011529728	0.02024523
s	0.00048126085	0.0011570938	0.022463752	0.77857167	0.18880107	0.008525185
a	9.6584256e-05	0.015094854	0.13631357	0.641131	0.17583399	0.03153006
t	0.0063280747	0.31573007	0.5174843	0.0774107	0.038829535	0.044217292
s	0.0004881119	0.0010943395	0.0030763028	0.31706652	0.6426086	0.03566608
e	0.00029736073	0.015452595	0.08371838	0.32434064	0.5148034	0.06138759
g	0.0032473416	0.27726534	0.6058906	0.044844802	0.043810617	0.024941372
r	0.0011393656	0.002305436	0.003407085	0.17933585	0.61620814	0.19760412
à	0.0004016037	0.014325598	0.053090353	0.40604854	0.33727294	0.188861
t	0.01031688	0.15683262	0.54398626	0.16228314	0.027731074	0.098850004
s	3.0372319e-05	0.0003444273	0.0014880891	0.020292366	0.91912174	0.058723006
i	0.00078239886	0.046969704	0.08063577	0.036533676	0.6370113	0.19806713
</S>	0.01877942	0.28705013	0.39980736	0.05930536	0.08068738	0.15437028
