 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a	0.629918065	0.054045197	0.014243401	0.0020236474	0.0053694017	0.006856146	0.0030493354	0.0151699938	0.2693248702
n	0.348684816867	0.298071227	0.036700383	0.00776396536667	0.00636394436667	0.005192536	0.0088112718	0.0153388390667	0.2730730344
ì	0.121322397489	0.670162429	0.0579936306667	0.0138880281222	0.00857358745556	0.00399290793333	0.0135755392667	0.0087669092889	0.101724582133
c	0.050377336163	0.816958543	0.0527616818889	0.0143034173741	0.00707978701852	0.00223861671111	0.0100868384222	0.0053092707163	0.040884489311
h	0.025912514621	0.850638647667	0.0693965056296	0.015473618458	0.00653603487284	0.00169389927037	0.00852220047407	0.00674776105877	0.0150788043703
e	0.011835586507	0.593469119222	0.33697132021	0.0218172331527	0.00699924829095	0.00363060732346	0.012445414158	0.00716337058626	0.0056680814701
t	0.0259674849023	0.278153126407	0.535944986737	0.0925580310509	0.018869033097	0.0107529851078	0.023371100386	0.00990861042875	0.0044745658367
o	0.0346650516341	0.151045563469	0.588406558912	0.12943278035	0.0317346210323	0.0140062533693	0.0284334007953	0.0126869566762	0.00958872294557
r	0.0193296012114	0.058940342823	0.750120702971	0.07884441345	0.0342302240108	0.0236374151231	0.0183703059984	0.00693661375873	0.00959033418186
ì	0.0092778399038	0.0222151482743	0.787264667657	0.105826677817	0.0328226363369	0.026152508041	0.00926588539947	0.00309792099958	0.00407667972062
s	0.00404066060127	0.0121924420914	0.681129439219	0.219327849272	0.038054136779	0.013696595547	0.0100723417998	0.00888045507986	0.0126060460335
o	0.00292196320042	0.0131602896971	0.560866906406	0.287538969757	0.0495501069263	0.0242393017157	0.0319431289333	0.0133100671933	0.0164692726445
n	0.00656071460014	0.010448339199	0.489775952135	0.308967953252	0.0880117623088	0.0436864795719	0.0368987976444	0.0085859487311	0.0070640841815
t	0.00874908220005	0.00549318716633	0.325704057378	0.482914527751	0.0985427867696	0.0337942745906	0.0269881045481	0.0129901297437	0.0048238804605
a	0.00612435073335	0.00794995852211	0.166898390793	0.618077125917	0.123041318257	0.0265254329302	0.0334799401827	0.0140025140479	0.00390102388683
e	0.0248596785778	0.016148748174	0.0975274972643	0.502811791972	0.246492519419	0.0348200609767	0.0441516600609	0.0084316701493	0.0247564396289
m	0.0408506428593	0.0151143943913	0.0456143234214	0.543902897324	0.24927393814	0.0306804053256	0.036231569187	0.00658489944977	0.0317469696763
a	0.0254989722531	0.0160711984638	0.0281590334738	0.580909605775	0.224172087713	0.0283019234419	0.074504860229	0.00851039754992	0.0138719243588
n	0.015907849051	0.0159017360313	0.0210665574913	0.355803623925	0.356446445904	0.126985221147	0.0883775784097	0.01040784485	0.00910312098627
t	0.0121964197503	0.0062367553871	0.0117614487638	0.297191656642	0.464270881968	0.158246133716	0.0372890088032	0.00796539761667	0.00484229069542
e	0.00504423438343	0.0065011912957	0.00824000002127	0.260028090881	0.498188317323	0.163717194572	0.0459888222677	0.00940619020556	0.00288598306514
ì	0.00287647139448	0.0072965974319	0.00714833060709	0.103787407127	0.399375135774	0.419894231524	0.0479830474226	0.00843272183519	0.00320609435505
t	0.00146419471149	0.00402956335397	0.00454343676903	0.0412517208757	0.408840528591	0.495174083841	0.0335411061409	0.0085304263784	0.00262493998502
s	0.000618347197163	0.00307064499466	0.00270653382301	0.0351579629586	0.476548952864	0.28262194128	0.077337504047	0.105774733459	0.0161633548617
e	0.000704852812388	0.00403332059822	0.00275209887434	0.0281629006529	0.311491027621	0.343119087093	0.138068578016	0.150030500153	0.0216375601872
r	0.00442991543746	0.00285956267274	0.00255685877478	0.0189425038843	0.20538359254	0.520149882364	0.136532856005	0.0976487023843	0.0114960272957
e	0.00621077584582	0.00976013309758	0.00226951490826	0.0214984886281	0.16548182418	0.387504375788	0.312567072002	0.0861370574614	0.00857068409857
k	0.0266030319819	0.0125150397992	0.00221195600275	0.0192515205427	0.122566784727	0.277209570263	0.433238530667	0.0981010791538	0.00830244603286
a	0.0330599388273	0.0110366430331	0.00211395073425	0.0153605351809	0.100021159242	0.233649780088	0.495871650222	0.101869478385	0.00701687074429
v	0.0274503377758	0.010813244011	0.00225707997808	0.0104231465603	0.060185182414	0.189494133363	0.545380000074	0.146694408128	0.0073024496481
r	0.0250082716053	0.00571661467033	0.00148501429269	0.0057715696201	0.0527698324713	0.172258132454	0.421053926691	0.305897386043	0.010039211216
è	0.0084471149951	0.00344053852344	0.00111859368423	0.0025832254667	0.0403767739571	0.0946447221513	0.36791645223	0.472467392014	0.00900516723867
c	0.0028708606107	0.00148328637448	0.000648094668077	0.0009861204789	0.018666066119	0.0521162113838	0.308307870743	0.602060944005	0.0128605059129
h	0.000976722720567	0.00076527764816	0.000274043188026	0.0004696059863	0.0107094661397	0.0240849649946	0.268085130248	0.642197601335	0.0524371253043
i	0.00225698542486	0.00601064950605	0.00818019390801	0.00149456715877	0.0093683914799	0.0798783355315	0.250397833416	0.567907053778	0.0745059751014
</S>	0.00401213096243	0.011325976753	0.016196421954	0.00261621357939	0.01235087624	0.145645817766	0.232269421708	0.513906576889	0.0616765975507
