 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.9325362	0.0519057955	0.0013385936	0.00057981175	0.000303297375	0.00054386779	0.00098900397	0.011803442115
a	0.906700933333	0.0676316331667	0.0013752071	0.00076066314	0.000358090021667	0.00470379299667	0.00637852549	0.012091167805
k	0.610668857778	0.366960044389	0.00192971886667	0.00122458224667	0.000563326930556	0.00585595846889	0.00803979653	0.00475770325833
à	0.272309232593	0.713623591463	0.00484741062222	0.00148352328222	0.000558265953519	0.00207857325963	0.00319773618667	0.00190161170944
j	0.169767759198	0.763831510488	0.0448707382074	0.00431455539407	0.00167778622784	0.00457451238654	0.00626391137222	0.00469918080315
o	0.119094464733	0.555201406829	0.185480772736	0.0452015824647	0.0560820671759	0.0105740397955	0.0109641594574	0.0174014967677
t	0.0748840313443	0.257433364276	0.480840537579	0.0710648234882	0.0736651588586	0.0090331032985	0.0152179811525	0.0178609600692
r	0.0308794532148	0.111778068092	0.683229612526	0.0556527754961	0.0278562218862	0.0393756937995	0.0439590330508	0.0072690832364
a	0.0181060264049	0.0490586930307	0.773677337509	0.045434554832	0.0132664376621	0.0507267580332	0.0461211164169	0.0036090543588
v	0.0103694145016	0.0208331846769	0.81547377917	0.099176532944	0.00963066078737	0.0186385818111	0.024325569539	0.00155228996627
ù	0.00406246193387	0.00796760014897	0.819314659723	0.135435672981	0.00887447569579	0.0067645879037	0.016838766013	0.000741793083423
d	0.00164085446462	0.00301948666632	0.859674486574	0.11702116966	0.00710075566526	0.00366589310123	0.007273479071	0.000603886055808
i	0.00198676910821	0.00423958858211	0.639929692191	0.243692229887	0.0950270738884	0.00568756023374	0.006793579257	0.00264352078527
a	0.0123847072361	0.0135885898607	0.32165302873	0.366079309962	0.213487927963	0.0308669004112	0.017005358419	0.0249341831284
i	0.0185258617454	0.0188321226202	0.152414753243	0.278909941654	0.369414535988	0.0464164158037	0.028599252473	0.0868871210428
g	0.0416788985818	0.0233646268734	0.0736056134143	0.252697858885	0.409442691996	0.0544388376012	0.0502324818243	0.0945390153476
r	0.0468638891939	0.0214001285245	0.0749761064714	0.374359726295	0.336395823999	0.0494034668671	0.0557896709414	0.0408112253825
à	0.0172353057513	0.00909888209483	0.0611603608238	0.307004626765	0.532058534666	0.0238703489557	0.0355357506471	0.0140361958875
f	0.00586448723043	0.00332417136494	0.0258711926079	0.158010796922	0.591881411555	0.100237365319	0.108059316882	0.00675125125583
u	0.00351867383681	0.00758800543498	0.0229345852026	0.137198722307	0.486773337185	0.13944793344	0.183044225627	0.0194945262186
t	0.00326932867894	0.00920375301166	0.0203266673342	0.096608637769	0.397351635728	0.22023948948	0.230197421876	0.0228030648062
t	0.00183448434631	0.00362249222722	0.0087019966114	0.0406012565897	0.231573355243	0.282059849827	0.418048107292	0.0135584631687
e	0.00180429376877	0.00426299309907	0.0255706961038	0.0552178758632	0.254316795081	0.163753856609	0.479553792431	0.0155197002229
a	0.0125760437229	0.0213620486997	0.0550500840346	0.108881831954	0.352193185027	0.0914780195363	0.301188687477	0.0572700750743
t	0.015825309341	0.0245262781666	0.0438592514449	0.0904782520513	0.248219550576	0.0962346471788	0.414359429159	0.0664972829248
s	0.006117236367	0.0087057710222	0.0156757737816	0.0333327699838	0.0922448367587	0.0890387023929	0.730424476386	0.0244604619416
è	0.002267860599	0.0034278036074	0.00831866246053	0.0199052398946	0.0598178599196	0.0627643987976	0.825356538795	0.0181416623805
n	0.000807794013833	0.0013829588716	0.00510574002418	0.0131722254999	0.0417561092399	0.0519863039325	0.867832492932	0.0179563534602
ì	0.000655453895444	0.00230738995967	0.00359982387873	0.0166886563683	0.02724006668	0.0400449023108	0.894757630977	0.0147060664867
t	0.000607890469981	0.00262677070156	0.00314756472624	0.0179908756394	0.0226242712933	0.0334280921036	0.905461876992	0.0141127054956
t	0.000387475461494	0.00158350271552	0.00213757124208	0.0127084710631	0.0150926941644	0.0364842807012	0.861975105664	0.0696309004985
a	0.000871408653831	0.00521377090517	0.00902144864736	0.048815237021	0.138753500388	0.0650150435671	0.607944011888	0.124365576833
</S>	0.00127756027692	0.00859357245258	0.0154267513237	0.0814399185105	0.259112200194	0.0842438567836	0.428426400944	0.121479768416
