 	le	melanzane	vogliono	girate	</S>
i	0.981473145	0.00268125499	0.006789139	0.004518777	0.00453769955
m	0.788388121667	0.0359479123233	0.0933144976667	0.0153170504667	0.0670324213833
a	0.445638617222	0.0619815057744	0.129147583889	0.154820252489	0.208412050461
r	0.210356351741	0.252333981925	0.151411615963	0.189782997183	0.19611506482
a	0.13941169658	0.466301493975	0.175813671988	0.111983112081	0.10649001294
n	0.104071984093	0.609398707992	0.126920910663	0.085841229147	0.0737671246133
g	0.038744606931	0.806714879331	0.0946543388877	0.032529558169	0.0273565946378
i	0.042731365977	0.84053139311	0.0810541196292	0.0226210853897	0.0130620476793
à	0.0477237579923	0.727854731037	0.185193087876	0.0228536164632	0.0163747845598
n	0.0227399312641	0.685247643679	0.212567709292	0.0514486308211	0.0279960355199
e	0.0255165630214	0.564414487893	0.282164936431	0.063342468607	0.06456151384
i	0.0332483546738	0.288341890298	0.404581832144	0.109591541202	0.164236394613
t	0.0225919902246	0.115556556099	0.586798644048	0.117840474601	0.157212340871
è	0.0125171135082	0.0557881936997	0.824157324683	0.048533535067	0.0590038452903
l	0.00542636003607	0.0348232155666	0.782309051561	0.127830621022	0.0496107857634
u	0.0105829587787	0.0411512895222	0.731469737187	0.153994400341	0.0628016502545
n	0.0130759281262	0.0415394905074	0.785106279062	0.0945023167803	0.0657760167515
e	0.0152122795754	0.0641027575025	0.781403106354	0.0839213522601	0.0553605172505
v	0.0181582578585	0.0734061365008	0.619484078785	0.174070194087	0.114881344083
o	0.0194077082862	0.1583809595	0.397041309595	0.296020741362	0.129149288694
t	0.0285370877621	0.212122494833	0.317246409865	0.258120150454	0.183973870231
i	0.0257911629207	0.153709889944	0.276451059955	0.338459850151	0.205588044077
m	0.0140866088402	0.108862549648	0.159925103785	0.613616086717	0.103509635359
m	0.0301958594801	0.0500569028827	0.089173810395	0.758460278906	0.0721131541197
è	0.04107076516	0.0825775509609	0.113329432132	0.699170392969	0.0638518603732
n	0.0208364660867	0.084016896987	0.0943929063773	0.707244597656	0.0935091067911
e	0.0242604640622	0.055567424329	0.152864684459	0.619877622552	0.147429792264
</S>	0.0372003890311	0.0668902301645	0.24679604223	0.463868296276	0.185245031132
