 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
t	0.83478375	0.1373943625	0.00438212105	0.0001584852	0.001223466425	0.00073104325	0.00103147973	0.00176365435	0.018531552175
a	0.533659877	0.4132665875	0.0220424300167	0.00147912097667	0.001410820775	0.00200122345	0.00248236047667	0.00444475475	0.0192128058583
p	0.185734991933	0.766146239167	0.0281144112056	0.00186330781999	0.000898824065	0.00221788897667	0.00246187638556	0.00522295511667	0.00733952144277
e	0.0642039020777	0.904173756389	0.0195259782685	0.0019335654011	0.000575558628333	0.00163762541889	0.00110538849852	0.00261191019889	0.00423235503759
d	0.0235371845792	0.932429718796	0.0317064410895	0.0019669517147	0.000542852886111	0.00159462815963	0.00074310242284	0.00397948535963	0.00349966384586
ì	0.0083163605464	0.920036522932	0.0632439486965	0.000769145152567	0.00035404388537	0.00083661222321	0.000389285650947	0.00443655556321	0.00161748074195
a	0.00784456648213	0.772620424311	0.195073762899	0.00825024218419	0.00387388960846	0.00282802315774	0.00420637168032	0.00271901259774	0.00258367220732
m	0.00993401616071	0.45223107677	0.477443067633	0.0216703217281	0.0167289755362	0.00537324938591	0.00678044809344	0.00648241916591	0.00335643053577
i	0.0344346837202	0.22753047759	0.627796289211	0.027399981576	0.0477140131787	0.0127138857953	0.00959404123115	0.00952771738864	0.00328892217859
n	0.0403425008734	0.138183149197	0.634852509737	0.020315267292	0.0692217763929	0.0228209999318	0.012417633077	0.0563509887962	0.00549515705953
c	0.0145488111245	0.0594312340657	0.669446616579	0.0490641371973	0.0592922807976	0.0387218779773	0.011029511359	0.0936743562654	0.00479112768651
i	0.0238680532415	0.0494895823552	0.59574684886	0.0616982067324	0.145353366933	0.0471678083258	0.0119163091197	0.0626993100885	0.00206048422884
à	0.0301055174138	0.0679771307851	0.398234342953	0.0329895045775	0.319129455644	0.0348749671086	0.0306131043732	0.0701238680295	0.0159521360763
e	0.0166291898046	0.0510869272617	0.196480819318	0.0255915308592	0.465217061881	0.0404846843695	0.0498333467911	0.0824543926765	0.0722221063588
n	0.0097178463682	0.0242781177539	0.085977788106	0.0168952601864	0.50991406396	0.118866988123	0.041342875597	0.116142407559	0.0768647051196
i	0.00832260755607	0.015372859918	0.055443302702	0.0164742076288	0.51907338132	0.148858496041	0.0640619465323	0.139456215853	0.0329369833732
n	0.00672659541869	0.00967400673933	0.035630163334	0.0153344518896	0.40348460044	0.306839135347	0.0897588155108	0.112626618618	0.0199255881244
d	0.00411421503956	0.00452308097978	0.0210596002113	0.0110779029765	0.281865746813	0.454785825116	0.0848322231703	0.126769552873	0.0109718753748
ì	0.00321122672985	0.00329273829326	0.0170453944038	0.0130645773255	0.237549958938	0.367899155039	0.24656471239	0.105721709624	0.00565056174827
n	0.00140923980662	0.00208713671775	0.00839437766793	0.0112084471085	0.196080166313	0.378968465013	0.321687970797	0.0744429218747	0.00572126020609
n	0.000603036188873	0.000986847072583	0.00462488562264	0.0356765993695	0.173572768771	0.338781675004	0.253070930266	0.0645738286249	0.128109390735
u	0.000829022736291	0.00208147380419	0.00511795940755	0.0535832981232	0.103044371257	0.170021467001	0.409227416755	0.0878774475416	0.168217559245
t	0.000950325012097	0.0024861309914	0.00472271405252	0.0316260373744	0.057585374319	0.166133104334	0.493376812252	0.173634655847	0.0694849070817
t	0.000808040970699	0.00121842142047	0.00455027460084	0.0470267421248	0.024968172673	0.180183602778	0.449471937417	0.180057465282	0.111715384027
e	0.00156675572357	0.00280743317349	0.00870585253361	0.0779465573749	0.0356854865577	0.0895404485927	0.469335132472	0.193367355094	0.121045001342
m	0.00320290550786	0.00329652375783	0.0094284895112	0.064483991125	0.0374893631859	0.0627781258642	0.510840637491	0.230995458365	0.0774845317807
a	0.00516063450262	0.00304172651928	0.0139239215037	0.035835978875	0.0319050753953	0.0476085049547	0.430536629164	0.372118606122	0.0598689319269
n	0.00414133671421	0.00271906950309	0.0134639614446	0.0145734933917	0.0275122372484	0.0229865906516	0.302012436388	0.579090702041	0.0335001739756
i	0.00167960508474	0.00112755574103	0.00642764022487	0.00668684229723	0.0126476488661	0.0160898735505	0.225418802129	0.707285367347	0.0226366744919
c	0.000971377594913	0.000614476183677	0.00419324064162	0.00419106703241	0.00775232624203	0.0117197388502	0.136462302376	0.778446389116	0.055649094664
h	0.000824688144971	0.000478449487892	0.00221246944721	0.00368323784414	0.00365141370068	0.00927287281673	0.0868040024587	0.722006363039	0.171066484888
ò	0.000596817411657	0.000468238329297	0.0015462511824	0.00570223108138	0.00301038510023	0.00598152473891	0.0499165928196	0.768996021013	0.163781882629
t	0.000215020586386	0.000241507317432	0.000751701854133	0.00483364218379	0.00197257334674	0.0034810016463	0.0279243209399	0.859200507004	0.101379651876
t	0.000136543487962	0.000135335643477	0.00112930851138	0.00899487621793	0.00242067666225	0.00534268601543	0.02976017498	0.776384889001	0.175695480625
o	0.000755669755987	0.00431955197783	0.00628429783713	0.041778272406	0.0292075806541	0.0294102083385	0.115859264993	0.601711373	0.170673814875
</S>	0.00135007947799	0.00849967348891	0.0107248839186	0.068409673203	0.054606930327	0.0505727041692	0.192200957497	0.5054287215	0.108206414437
