 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
o	0.65878654	0.0068603735	0.0011646673	0.0026955623	0.027015755	0.00038432996	0.0006351525	0.00045276067	0.0004093089	0.006370878	0.08374676	0.21147788
m	0.5361493	0.44802442	0.011289357	0.0014334415	0.0026838123	7.553724e-05	0.0002536472	1.6964964e-06	3.837092e-06	2.6971828e-05	5.731393e-05	6.483064e-07
a	0.106517464	0.28135318	0.012282329	0.022559501	0.2661247	0.0036466708	0.0027225376	0.0014615352	0.0027261726	0.016670292	0.2823154	0.0016201561
r	0.09791795	0.6968963	0.19928938	0.0044891196	0.0010875182	0.00017107103	0.00010019728	3.4083141e-06	5.9147605e-06	1.30704375e-05	2.236836e-05	3.7079515e-06
ì	0.58100945	0.40155214	0.007990484	0.005130144	0.0031252562	0.00032055067	4.3653672e-05	1.5198091e-05	6.4083324e-05	0.00023733535	0.00047445754	3.72531e-05
o	0.004626232	0.9635609	0.02324803	0.008138718	0.00030333307	2.4229055e-05	4.6965935e-05	5.8734886e-06	9.084951e-06	7.985499e-06	1.850716e-05	1.0074689e-05
t	2.447596e-05	0.089978	0.89430445	0.013372479	0.00128601	0.00075393525	0.00020187431	3.1038333e-05	1.972689e-05	1.0031827e-05	1.1509007e-05	6.4621277e-06
è	0.0013424136	0.08218953	0.8925236	0.016939899	0.0015946628	0.004860136	9.138381e-05	0.000115179486	0.00029915973	2.4363007e-05	9.531624e-06	1.01137175e-05
l	8.799924e-06	0.23294634	0.2325174	0.5061217	0.027316784	0.00040107124	0.00026088723	6.0557035e-05	0.00011637616	4.924412e-05	0.000117679156	8.309609e-05
i	0.0011517318	0.48827383	0.038341593	0.08818936	0.09063751	0.00030010697	0.00020122586	1.8484418e-05	5.920313e-05	0.00012668567	0.0050733434	0.28762686
f	1.6315957e-08	0.0004463716	0.26984465	0.5457735	0.17404579	0.0086897705	0.0007886772	0.00018981578	0.00012617907	3.0416493e-05	3.6771682e-05	2.8064553e-05
a	1.3743787e-05	0.03319738	0.016208768	0.2631101	0.6732454	0.002402809	0.00039935016	0.0001449241	0.00081003096	0.0013680196	0.008829301	0.00027033535
