 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a	0.8108245	0.01608288	0.0001559909	8.322188e-05	0.00031163372	0.0007562491	7.742299e-05	0.0017326423	0.01572658	0.15424894
t	0.3278015	0.66968226	0.0021984226	0.00014040334	0.00014186667	2.7105696e-05	2.9854905e-07	3.6765243e-06	3.466499e-06	9.353681e-07
e	0.9332741	0.066648275	7.237316e-05	3.4743255e-06	1.3908883e-06	1.26821e-07	1.6862282e-08	7.873962e-08	6.442593e-08	3.3118496e-08
l	0.004102124	0.9580964	0.03728588	0.00041461264	8.400883e-05	1.25830065e-05	7.1110566e-07	1.0736095e-06	9.407045e-07	1.6721514e-06
ì	0.8677842	0.082922295	0.0032836897	0.0033604512	0.0071985964	0.004078808	0.0008518454	0.008649337	0.019556435	0.0023143503
s	0.003577999	0.91176695	0.08052341	0.0036136974	0.00033784247	6.893044e-05	1.7329518e-05	2.2479657e-05	2.0635063e-05	5.0816237e-05
i	0.011874752	0.8997672	0.013728717	0.0018296586	0.0014046123	0.00014477718	9.9831355e-05	0.0011648572	0.0020206706	0.06796497
n	7.470431e-08	0.08239067	0.9025301	0.013778427	0.001208105	7.784139e-05	1.922454e-06	1.4157305e-06	1.8571237e-06	9.673176e-06
a	0.00010166524	0.6829193	0.31085706	0.005059028	0.0010077229	2.7082213e-05	8.130609e-06	1.1540407e-05	3.8012627e-06	4.6258733e-06
z	3.9241698e-08	0.005050066	0.92655617	0.061826926	0.006037795	0.00047459485	1.3779319e-05	7.4983973e-06	8.48771e-06	2.4555904e-05
ì	0.007979361	0.21925	0.09775888	0.1709835	0.14549385	0.04969198	0.008709704	0.074090965	0.20355488	0.022486944
s	1.1951805e-05	0.01270608	0.656679	0.30707166	0.021730112	0.0011000733	0.00018521429	0.00016856943	8.026447e-05	0.00026711944
i	0.00046520532	0.37190047	0.18367311	0.09072659	0.07218925	0.005802912	0.0015020341	0.012374626	0.0064211683	0.25494462
n	6.246253e-11	1.3596592e-05	0.35265115	0.40643796	0.22469667	0.01595803	0.00011787935	3.388921e-05	1.4234613e-05	7.6631266e-05
a	9.164979e-06	0.0027833772	0.48523265	0.2853722	0.21910219	0.0058977953	0.00078140054	0.000635488	8.912036e-05	9.655958e-05
m	2.0990698e-09	4.7609647e-06	0.032792266	0.24453199	0.6247381	0.09692073	0.00071048056	0.00011959896	6.45156e-05	0.000117584954
i	5.8137153e-05	0.00090356456	0.01011448	0.25974455	0.62588483	0.053138234	0.0050976845	0.019716332	0.019923018	0.0054191155
n	1.258906e-09	2.0226493e-05	0.033169534	0.23998871	0.63949615	0.086201005	0.00078816945	5.8848393e-05	4.65423e-05	0.00023082271
ì	3.9820265e-05	0.0015619694	0.035552725	0.14117093	0.7763695	0.03835524	0.0051878025	0.0014408624	0.00015119468	0.00016992337
s	1.5546606e-08	8.030502e-06	0.0023215408	0.10366941	0.71788377	0.16591227	0.008372014	0.0014503157	0.00014286547	0.00023981703
