 	voglio	un	forno	che	vende	rustici	</S>
t	0.5858168	0.013871579	0.0014810475	0.0013851215	0.01710665	0.0141371805	0.36620164
è	0.9873259	0.012455059	4.3821427e-05	2.7309323e-05	0.00013503691	2.8739462e-06	1.0126223e-05
l	0.9929611	0.0070308247	1.987031e-06	1.0397634e-07	1.2230914e-06	2.4062518e-07	4.551614e-06
o	0.013170682	0.29702824	0.0032404757	0.00027452543	0.00044193357	9.409928e-05	0.68575
è	0.21499228	0.778988	0.0051116957	0.00017889088	0.00044478214	3.682213e-05	0.00024750544
n	0.0017736503	0.44871986	0.5458806	0.0029932833	0.00042581916	9.416458e-05	0.000112563495
a	0.015367777	0.8628751	0.07449699	0.034459986	0.0029837005	0.0013015035	0.008514919
f	7.3376445e-06	0.10318235	0.73287535	0.14149632	0.0138067575	0.003446862	0.0051850276
ù	0.00034557082	0.6700104	0.22105642	0.03189581	0.05286074	0.0039731856	0.019857762
r	0.00013823752	0.06665598	0.8376986	0.06475156	0.010092707	0.004114417	0.016548544
n	0.00053797127	0.14534323	0.07488267	0.069111444	0.04112436	0.003510475	0.6654898
o	0.00049444183	0.012792252	0.022804778	0.5678955	0.1583753	0.038768947	0.19886881
k	1.8943089e-08	3.5837586e-06	0.009093127	0.7697417	0.14253728	0.05393995	0.024684325
a	4.9617415e-06	0.0016389082	0.22175257	0.23590282	0.49423674	0.015005985	0.031458028
p	1.270165e-07	1.1843046e-05	0.0025463493	0.2894716	0.5688497	0.0797755	0.05934484
u	0.0022640552	0.0035934786	0.016407212	0.25043797	0.7041067	0.006298421	0.016892243
l	2.1126098e-08	2.3665189e-06	0.00037643913	0.0870561	0.6632704	0.17937325	0.06992143
ì	0.0028374642	0.002412002	0.013748227	0.18104152	0.78554016	0.008415279	0.0060053538
r	4.2767548e-05	0.00086272496	0.0032502236	0.029366488	0.64060056	0.1268639	0.19901335
ù	8.557631e-06	0.00051140925	0.0007304483	0.020656914	0.78650254	0.016019579	0.17557064
s	9.050434e-08	3.5305875e-05	0.0003988419	0.01465013	0.5739921	0.16563767	0.2452859
t	9.1709785e-07	2.640023e-05	0.00017427643	0.011073871	0.7516532	0.024843084	0.21222824
i	3.6761097e-07	4.4049357e-06	8.376759e-06	0.0003954411	0.47797006	0.2465063	0.27511507
k	5.2164345e-10	1.9154036e-09	9.133249e-08	6.4446736e-05	0.004313771	0.72360396	0.27201775
u	1.5526688e-06	8.041666e-06	0.00019056926	0.00269284	0.92962986	0.047426652	0.02005049
</S>	9.653568e-10	1.9789718e-08	7.773193e-07	7.75958e-05	0.004825747	0.37493297	0.6201629
