 	guardando	le	nuvole	capisco	che	piove	</S>
k	0.9856697	0.00069865683	0.00028380583	0.0011256271	0.00017913857	2.5552026e-05	0.012017555
a	0.14267217	0.24384691	0.1254093	0.40561792	0.053857993	0.022991754	0.0056039686
n	0.93203205	0.06792123	2.7791268e-05	1.807919e-05	2.7077e-07	5.024397e-09	6.503622e-07
o	0.30119583	0.6980885	0.00057821814	0.00012240179	1.306927e-05	2.4500324e-07	1.6943362e-06
n	0.9749996	0.024695676	0.0002260862	5.7093584e-05	1.4839366e-05	1.4252699e-06	5.3429203e-06
ò	0.39794582	0.59784395	0.0035336814	0.0005547435	0.00011173072	7.0055553e-06	3.0875183e-06
n	0.5648548	0.25019616	0.17392531	0.0068524037	0.0010328025	0.0011896943	0.0019488734
t	0.019737197	0.66104335	0.17938149	0.015528006	0.0044342503	0.0048034694	0.115072265
a	7.965423e-05	0.9772061	0.0067775026	0.00298006	0.0007402154	4.2430755e-05	0.012174059
t	0.007267664	0.1443705	0.58782256	0.14591314	0.05749983	0.000780714	0.05634562
e	0.0018825853	0.6979388	0.2554171	0.033485383	0.009704157	0.00051755103	0.0010543823
s	7.066878e-05	0.0007899194	0.35558853	0.5363702	0.08103746	0.002067216	0.02407606
m	0.0007641661	0.0586025	0.6390967	0.27493197	0.022644648	0.0029124732	0.0010475338
à	5.344343e-06	0.9914746	0.0014395538	0.006624174	0.000103399914	1.3820282e-06	0.00035145055
n	9.3222196e-05	0.003150154	0.902855	0.07500935	0.005188446	0.008982216	0.004721614
t	1.8868496e-06	0.007418772	0.1539243	0.6293919	0.062358636	0.0665258	0.08037867
e	6.3339644e-07	0.008121904	0.019194204	0.69121337	0.05331026	0.02331763	0.204842
a	1.3790302e-07	2.8522209e-06	0.0016139619	0.10686373	0.81612605	0.0030948096	0.07229848
n	5.451906e-06	5.6235735e-06	0.0022321169	0.05862571	0.9154294	0.00489062	0.018811034
o	3.8896913e-05	0.00022672588	0.0028028314	0.13067903	0.8144234	0.046545308	0.0052838763
ò	1.022887e-07	2.3896078e-07	0.00021258369	0.0039804536	0.89754903	0.053435486	0.044822082
k	1.5554928e-06	9.506959e-07	0.00049024966	0.008724571	0.76685095	0.20143038	0.022501362
a	0.0012899432	0.053947374	0.017354831	0.60270035	0.2604025	0.015527978	0.048776962
v	2.683968e-07	7.652212e-06	1.2851491e-05	0.0016518709	0.17285495	0.640017	0.18545547
r	3.3235182e-07	0.0028565563	9.436777e-05	0.03874902	0.9063827	0.04022599	0.011691018
è	1.0356379e-05	0.00026891535	5.577055e-05	0.00038890942	0.041246608	0.80295205	0.15507741
c	6.302805e-09	1.0073487e-06	6.796333e-06	0.00013786273	0.04213964	0.8611892	0.09652547
h	0.060728844	0.40109155	0.15758114	0.3560128	0.0017040147	0.0003489494	0.02253274
i	2.344783e-08	0.031698253	6.911199e-05	0.01881116	0.119405694	0.0038490584	0.8261667
</S>	1.649149e-09	2.4586197e-07	3.873819e-08	6.6999633e-06	0.010076218	0.07926678	0.91064996
