 	l	ho	sentito	che	viene	</S>
o	0.563539345	0.04206515	0.01748784645	0.00511141915	0.014501316	0.357294918768
n	0.798557595	0.06483133	0.00700678291667	0.00365440847667	0.00681717616667	0.119132687183
ì	0.573678915	0.377337863333	0.00461884800556	0.00185858591889	0.00252353438222	0.039982282076
k	0.212463008333	0.540414311111	0.111559961569	0.00333954397296	0.00453491762074	0.127688311959
u	0.0789630969443	0.503123613704	0.146287712723	0.0739919576577	0.0140665202069	0.18356713732
s	0.0402051191481	0.444521147901	0.080736626441	0.304116315886	0.0374209457356	0.0929998677733
a	0.0257273797763	0.201106348834	0.0578912931103	0.580124778629	0.0698495932452	0.0653006379244
n	0.0100263536523	0.0929679358113	0.0207522630001	0.741922212876	0.0806476124151	0.0536836639748
a	0.00479146812779	0.0566337709638	0.00832737623437	0.550781880959	0.310373580805	0.0690919593249
r	0.00229229855295	0.0205082313479	0.00445188331246	0.246438356986	0.646122173602	0.0801871044416
t	0.00564254378432	0.010852151616	0.0257669831042	0.159769742329	0.710704737867	0.0872638961472
i	0.00606431794286	0.00602426288833	0.0312019611613	0.104655260776	0.602720385956	0.249333855382
</S>	0.00303225549356	0.00301422621866	0.0156047282705	0.069912545388	0.531489402978	0.376946877691
