 	deve	essere	bianco	</S>
è	0.964859835	0.0022011551555	0.00577320085055	0.0271658020574
n	0.943988381667	0.0117183156222	0.0192049115172	0.0250884127241
a	0.724961987222	0.179899715207	0.0704950121724	0.024643277408
è	0.362987517727	0.553378501736	0.0744561187241	0.00917784096933
n	0.121266153249	0.805345153912	0.0630407542414	0.0103479183231
e	0.0406206106494	0.660964104637	0.21910744808	0.0793078367744
à	0.0135456874878	0.572423654879	0.270635226027	0.143395455591
s	0.00483877547427	0.542349051626	0.315644795342	0.137167421864
p	0.00193103829797	0.280358926632	0.628148078447	0.0895619846213
r	0.000643712529189	0.095968805634	0.685062566149	0.218324918874
o	0.000214574345787	0.0345738158113	0.400188685383	0.565022926291
</S>	0.000107287612006	0.0175490978057	0.240950447692	0.741393163145
