 	quando	divento	vecchia	vendo	la	casa	in	in	Trieste	e	vengo	qui	da	vivere	al	mare	</S>
m	0.99792516	0.0015077232	0.00012002072	0.00044242112	3.990284e-06	9.168874e-08	3.4725812e-07	7.5894135e-08	4.8935433e-09	1.190121e-08	3.8893123e-08	2.0644224e-10	2.2920128e-10	6.2933386e-10	8.121579e-11	3.450978e-10	1.3890947e-10
ò	0.99784124	0.0020893659	4.0619576e-05	2.4196652e-05	2.5423225e-07	2.821518e-08	5.6895217e-08	3.7766597e-08	5.2912746e-08	3.0999722e-08	6.164466e-08	1.0948135e-07	5.2385744e-08	1.3647445e-06	1.01461524e-07	1.9162376e-06	4.257053e-07
t	0.6093829	0.38939083	0.0012140055	1.199191e-05	2.2514871e-07	2.368231e-09	7.635635e-09	1.8575874e-09	2.3608593e-11	3.1317265e-10	4.67457e-10	4.749031e-12	6.1727455e-12	2.4194039e-12	1.2158422e-13	1.2920485e-15	1.6594922e-14
t	0.97617745	0.02316215	0.00021187142	0.00044825513	1.7090838e-07	4.9717542e-08	3.5833295e-08	1.0736065e-08	6.06204e-10	6.9592493e-10	6.8383175e-09	8.255266e-11	2.8900785e-10	8.0421486e-10	2.84997e-10	4.421934e-09	1.1478022e-07
e	0.4698455	0.5275051	0.0011057723	0.0015429901	2.6106744e-07	1.3302038e-07	2.2435685e-07	2.1249814e-08	2.5538324e-12	3.1156588e-11	3.3969638e-10	4.6194958e-14	7.9894994e-13	7.6162424e-15	2.6777477e-15	4.21321e-19	3.8453636e-16
j	0.056454264	0.932434	0.011063105	4.8361344e-05	2.3377254e-07	4.2437627e-08	5.979383e-08	1.5077442e-08	7.6342835e-11	1.4401511e-09	9.97948e-10	3.647443e-11	5.8406606e-11	4.5491e-12	5.1139073e-13	6.9437015e-18	3.2531846e-16
è	0.6413873	0.29670948	0.04150082	0.020385092	1.3063768e-05	2.5676684e-06	1.2131605e-06	2.727721e-07	7.636688e-10	1.7002879e-09	2.9775787e-08	4.415316e-11	3.321466e-10	1.222174e-10	7.6520075e-11	5.258145e-09	1.7243515e-07
n	0.028498806	0.9225133	0.048386022	0.00059568515	5.231599e-06	6.154042e-07	3.1160528e-07	7.023657e-08	1.0907009e-09	3.1686962e-09	4.169274e-09	1.7476803e-11	2.2179007e-11	7.233423e-12	8.20392e-13	1.4122774e-16	1.8270773e-14
n	0.10131439	0.2912663	0.53380835	0.073473856	0.00010191646	2.500161e-05	8.357536e-06	1.6955917e-06	2.2545597e-09	1.1126685e-08	1.2908309e-07	1.80826e-11	1.9518202e-10	2.6836212e-11	1.0603442e-11	1.943838e-12	7.929268e-10
o	0.011577545	0.14365193	0.8321865	0.0124640735	9.2408955e-05	1.7994118e-05	7.650644e-06	1.7025596e-06	1.729394e-08	4.7766957e-08	6.2685814e-08	3.037767e-10	6.1708477e-10	7.414087e-11	1.7823019e-11	5.827596e-17	4.4622184e-14
m	0.0037206814	0.015758144	0.9675226	0.012826995	0.00015821365	8.315813e-06	4.104638e-06	8.136695e-07	1.6668064e-08	5.6353684e-08	9.242329e-09	7.983156e-10	4.6212126e-10	1.0549022e-10	1.0145993e-11	9.9120656e-18	1.653268e-15
e	0.08894199	0.03048205	0.33733147	0.54102993	0.001816083	0.00028576597	9.687341e-05	1.5448728e-05	1.1902003e-08	2.4485177e-08	3.0550814e-07	2.5497597e-11	3.1287312e-10	2.5363043e-11	1.5837224e-11	4.1722025e-11	1.8195664e-08
v	0.0008580031	0.018512625	0.96632296	0.013375216	0.00085543067	4.415002e-05	2.513046e-05	6.0190305e-06	1.3793814e-07	2.3564691e-07	6.499849e-08	2.5857114e-09	1.9889308e-09	4.736413e-10	1.000505e-10	7.262315e-16	5.5889565e-13
è	0.02082392	0.0045008846	0.29328322	0.63465804	0.039902046	0.0053267227	0.0010815125	0.0003976608	9.1545576e-07	1.8190668e-06	1.952908e-05	1.5666186e-09	2.0687347e-08	5.812049e-10	1.3731436e-09	4.536137e-09	3.651205e-06
k	0.00055241404	0.0038731368	0.87625736	0.11255046	0.005982338	0.00064704515	0.00011075387	2.4538322e-05	1.3024618e-06	3.6903506e-07	2.899829e-07	1.617096e-09	1.7950973e-09	8.214949e-10	2.2687861e-10	4.9899486e-15	6.499099e-12
k	0.0050078016	0.00073556934	0.0754156	0.84887874	0.04806478	0.018512169	0.0025129027	0.0008427865	2.1592548e-06	2.7711662e-06	2.4097524e-05	1.3768222e-09	1.7116676e-08	4.6322912e-10	6.5593214e-10	4.6015755e-10	6.0022705e-07
i	0.0021927406	0.00811845	0.54104525	0.37921104	0.03934379	0.021452872	0.006041186	0.0024216545	2.9874365e-05	3.520729e-05	0.000106100146	1.4052854e-07	1.0927412e-06	4.5745804e-08	1.5557228e-07	1.5432171e-09	3.9916276e-07
