 	le	melanzane	vogliono	girate	</S>
e	0.98696846	0.013007102	1.9745485e-05	4.7519047e-06	5.7998184e-09
m	0.29582387	0.7041031	7.228256e-05	6.62386e-07	2.0344955e-09
a	0.018441591	0.9779261	0.0002471152	0.0022317667	0.0011534609
r	0.023702284	0.9761983	9.6176685e-05	3.2176238e-06	1.6170882e-08
a	0.01689206	0.95498335	0.0004024176	0.02591345	0.0018087123
n	0.04058673	0.9587699	0.0006369962	6.3319976e-06	1.12494895e-07
g	0.017564608	0.9395195	0.0053030886	0.036079302	0.0015335127
i	0.15675499	0.1551987	0.057417165	0.6303715	0.00025767888
à	0.11496665	0.78892374	0.092092186	0.0037584018	0.00025904347
n	0.017789675	0.75185215	0.18047915	0.04938666	0.0004923657
e	0.030044727	0.025610447	0.3791489	0.5330485	0.03214743
e	0.0117509235	0.013000377	0.9685498	0.0043758745	0.002323028
t	0.0005392658	0.0018351602	0.97592294	0.021681136	2.1406146e-05
è	0.0031248375	0.00041297212	0.34524637	0.63652796	0.014687883
l	4.249454e-05	0.00014597453	0.32533038	0.66304713	0.01143405
u	0.0014212469	0.00088315044	0.04165311	0.9302051	0.025837352
n	0.0037952194	0.0036160122	0.12792955	0.28057075	0.58408844
v	0.0042286725	0.004403729	0.07313598	0.8963137	0.021917962
o	0.004892616	0.0036987641	0.03255422	0.8661885	0.0926658
t	0.0050606597	0.0045400267	0.032820944	0.31321964	0.64435875
i	0.0053174463	0.0035073047	0.018524874	0.8840923	0.0885581
m	0.0015654052	0.0019155307	0.009674359	0.17568406	0.8111606
m	0.00060376234	0.00038522802	0.005325626	0.9739743	0.019711124
è	0.0026506681	0.0013283013	0.013037058	0.91895187	0.06403208
n	0.004982086	0.0018959433	0.0076684137	0.74995387	0.23549975
e	0.010153062	0.0033030545	0.015361297	0.90197766	0.069204845
</S>	0.04189043	0.017398577	0.044690806	0.049434215	0.846586
