 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.94124535	0.04684998525	0.0118870029696	1.7480455154e-05	1.4349940125e-07	7.052660113e-09
c	0.97998007	0.0160511272733	0.00396258526298	5.91007537067e-06	2.72762264583e-07	5.7327240113e-08
h	0.750608986667	0.244682761114	0.00470402938103	3.79934957356e-06	3.75888591528e-07	1.02195816704e-07
a	0.341536604989	0.653477387038	0.00498278887234	3.01772724219e-06	1.86114699989e-07	6.21946932317e-08
n	0.168432981096	0.822507042346	0.00905643803611	3.1935269984e-06	1.64639499476e-07	2.26244755408e-07
a	0.113631426365	0.875823727449	0.0105408641687	3.55520969947e-06	1.58695577492e-07	2.80994763476e-07
v	0.0422550993217	0.644157092483	0.311191316213	0.000393679329166	0.000677665460693	0.0013251510693
o	0.0171987719739	0.564821590828	0.414548943071	0.000734992376389	0.000927140941898	0.0017685731121
r	0.0518116783246	0.737197840276	0.173671515357	0.0271685798921	0.00926898143563	0.0008813722097
à	0.0640135064415	0.491158956759	0.379227071786	0.0524424582974	0.0125116272452	0.000646370506567
s	0.0266043605805	0.195821033586	0.732322427262	0.0351606615991	0.00549938058173	0.00459215485552
o	0.0121858700935	0.100418985862	0.845193759087	0.0333166093664	0.00271347788391	0.00617130148517
t	0.00667849749783	0.0613647577207	0.888082929696	0.0380514727888	0.00191629581797	0.00390601702839
s	0.00419656531928	0.0271185173402	0.939235809899	0.0238164557629	0.00241592217266	0.0032166795428
o	0.00206630389309	0.0159660367467	0.7028737933	0.274713705421	0.00226280085755	0.00211734438093
m	0.0023719685977	0.00918948571557	0.474738297767	0.409496028474	0.0989064337525	0.00529776312698
ì	0.00225958148257	0.00652893747186	0.464419065922	0.347660166158	0.164937601251	0.0141946033757
k	0.00181403877752	0.00446473955729	0.353676308641	0.298009217386	0.321703930417	0.0203317307919
u	0.00192667279251	0.0042860125191	0.19304278388	0.309192487795	0.426499850139	0.0650521579306
à	0.0062391067975	0.00350404717303	0.0897517036267	0.578278062598	0.24769027838	0.0745367799769
i	0.0792375169325	0.00254889445768	0.0467777986422	0.620611030866	0.219924201127	0.0309005573256
m	0.0984336063675	0.00136861475923	0.0188899909807	0.345391020622	0.515410190376	0.0205065911085
è	0.0330064105192	0.00060880103641	0.00854504709357	0.139622850541	0.770223243459	0.0479936590362
r	0.0113518275297	0.000592893388803	0.00617301299786	0.069448042647	0.793120004486	0.119314236345
i	0.00549352552657	0.0024512601296	0.00493143699929	0.027439541349	0.532314532162	0.427369722115
</S>	0.00497752776329	0.0041872563648	0.00333858369964	0.0181603376745	0.276251012081	0.693085286058
