 	non	li	aspettiamo	più	</S>
e	0.597038285	0.380815165	0.0221437405	9.1167285e-07	1.96431571e-06
t	0.330866907667	0.514791821667	0.1539892195	0.000249066630717	0.000103018567777
u	0.115830570556	0.688499540556	0.195200999167	0.000332201495639	0.000136696540924
s	0.0436809341853	0.570925658185	0.384859825722	0.000128007284946	0.000405598115307
m	0.0259450520618	0.297965880728	0.674723708574	0.000677111562649	0.000688272121769
è	0.0192577693873	0.197706465576	0.781251136191	0.00130209295422	0.000482532477256
n	0.0142979868291	0.118851957192	0.862629255397	0.00130138331807	0.00291942631242
u	0.042451230943	0.211337265731	0.740870695132	0.00166379127269	0.00367701094681
m	0.045345658981	0.208889561577	0.618928081711	0.124870361191	0.00196630632494
e	0.0161712596937	0.0792236100923	0.426572505237	0.476332220397	0.00170039720831
p	0.0056634416859	0.0277203163374	0.167566300746	0.797631106799	0.0014188085361
l	0.00197489687997	0.00955667845247	0.064831670582	0.920565048933	0.0030716578787
è	0.000812713156657	0.00359223397416	0.0296272435273	0.904679196311	0.0612886076262
o	0.00799071101889	0.0100687285481	0.0181122425091	0.62886259877	0.334965722542
</S>	0.0154507805094	0.0180615432741	0.0152909822546	0.399222049385	0.551974631271
