 	non	ti	dimentichiamo	mai	</S>
e	0.584118265	0.4119049	0.00395624975	2.03656665e-05	2.351143215e-07
s	0.336406594833	0.608824466667	0.0545172975833	0.000198704355167	5.29457162315e-05
e	0.120445971611	0.783579875556	0.0956444358611	0.000259223098389	7.05102411428e-05
a	0.0442084015037	0.612863451852	0.34245393862	0.000450639279463	2.35954040566e-05
l	0.0157115854112	0.262109113951	0.692494492873	0.0242735888265	0.00541126038596
l	0.0166075249137	0.14888054465	0.671131580958	0.156037829609	0.00734254254532
i	0.0205189809712	0.125414196217	0.665200076986	0.186249558536	0.00261717345177
m	0.0136152189904	0.090519746739	0.790904092329	0.0902878071787	0.0146730853373
o	0.0348729613301	0.109614342246	0.644768817443	0.186409281393	0.0243345761124
n	0.04915276111	0.127718984082	0.546060592481	0.258224770464	0.0188429122041
ù	0.0281222820367	0.083369527694	0.576022630827	0.300191443488	0.0122941139014
m	0.0591585583456	0.113568482231	0.543470633609	0.273197384496	0.0106049246338
e	0.0703156261152	0.12134109941	0.364396621103	0.415408551499	0.0285381075446
m	0.0260725191717	0.0438136212367	0.135731534601	0.7586622705	0.0357200471815
à	0.00907588129057	0.0157465904789	0.0595817905337	0.8803541235	0.0352415513938
i	0.00971639586352	0.0105163821263	0.0231981078446	0.839003721167	0.117565328131
</S>	0.0147559544318	0.0129153680631	0.0138717134223	0.765820880583	0.192636039066
