 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.26294833	0.0003427853	0.0076520247	0.037927065	0.5663663	0.11248987	0.0004364483	0.011837122
n	0.00015029551	0.044234153	0.083403334	0.7852713	0.0071184584	0.003964447	0.07336732	0.0024907317
è	0.0020470757	0.9504656	0.03741385	0.001068552	0.0004773171	0.0019297157	0.00012271595	0.0064751185
r	0.0020560324	0.9492068	0.046157066	0.002332904	0.0001152798	2.8360937e-05	1.4353775e-05	8.914846e-05
t	0.010722858	0.0045151482	0.7454885	0.158703	0.005367389	0.020683974	0.037209358	0.017309833
i	0.08144497	0.7677016	0.13381658	0.0076774186	0.0045601972	0.0021608921	0.0002035172	0.0024348102
s	0.31167445	0.46731287	0.20338762	0.009889844	0.00085707277	0.0067609535	2.7976439e-05	8.92274e-05
t	0.0365272	0.12957674	0.16259186	0.1040621	0.007434786	0.012449698	0.29553273	0.2518249
e	0.04656826	0.8656962	0.0350816	0.010745672	0.008441412	0.0029122273	0.0047025667	0.025851993
s	0.14178388	0.583419	0.25997752	0.00802877	0.0005631198	0.0057015936	0.00012355868	0.00040254084
e	0.03686114	0.04782503	0.037874136	0.019132325	0.0026217066	0.013345176	0.2957834	0.54655707
t	0.07645909	0.04520606	0.7106783	0.051017392	0.039784387	0.069643445	0.0006630171	0.0065483674
t	0.001573578	0.007407679	0.0003426756	0.0014722267	0.0012536334	0.0017351628	0.15657438	0.82964057
à	0.055813596	0.06722585	0.008352894	0.0012976676	0.0021410221	0.0073337285	0.041346457	0.81648886
e	0.28375205	0.16274235	0.3059851	0.03816879	0.015313824	0.11784734	0.0033327166	0.072857775
v	9.299612e-06	0.003144727	4.2073974e-05	0.004007892	0.0013747528	0.014563768	0.9184746	0.058382854
ò	0.57320935	0.0073678643	0.014104088	0.0030705393	0.0020925715	0.008517335	0.024600266	0.367038
s	0.011530159	0.06808181	0.06324734	0.033859346	0.06413673	0.7146915	0.016140964	0.028312162
t	0.20513871	0.0060022245	0.1731274	0.07150971	0.06383312	0.036182776	0.14714473	0.2970613
e	0.17197095	0.073543414	0.034826674	0.01026068	0.012540312	0.042408787	0.10796232	0.54648685
m	0.044991143	0.4364217	0.08909274	0.030395387	0.02992926	0.2202572	0.01249407	0.13641848
a	0.0043213256	0.00025388759	0.0039388994	0.079723895	0.032818716	0.0053323223	0.84353346	0.030077456
r	0.09077845	0.48363185	0.13900822	0.012198106	0.026763827	0.14802274	0.0021795097	0.09741726
è	0.0002835797	0.00012463497	2.711123e-05	0.00043158422	0.00029620444	0.00091351406	0.8097162	0.1882071
o	0.016218606	0.15297055	0.033332292	0.0079946965	0.023757558	0.6493088	0.031415112	0.08500241
</S>	0.0031238305	6.375681e-05	0.0033063479	0.0032585475	0.0019888608	0.0054666144	0.78608817	0.19670394
