 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.11658423	0.007336316	0.010873075	0.15359713	0.4030759	0.0042737625	0.01057139	0.027690336	0.25153765	0.0018980773	0.012562082
a	0.052597266	0.9093299	0.009718592	0.0032834362	0.0004089575	0.00029480667	7.044691e-05	4.6510017e-05	5.408109e-05	0.023736889	0.0004590956
p	0.23550332	0.37824923	0.1053885	0.18489398	0.024041068	0.055991676	0.0037972783	0.0008566811	0.0013151006	0.0013928979	0.00857028
e	0.26460344	0.28001744	0.14790492	0.038268752	0.0502688	0.116511226	0.02461481	0.014722859	0.00815457	0.032492965	0.022440275
d	0.038219105	0.796343	0.12698345	0.030183095	0.0037175885	0.0024253468	9.544384e-05	5.7382553e-05	5.607179e-05	9.8123324e-05	0.0018214646
ì	0.14789252	0.122506164	0.04170581	0.019787388	0.055913772	0.0731261	0.04048397	0.12471511	0.17954998	0.14502078	0.049298435
a	0.04821589	0.4600514	0.464297	0.019114608	0.0022106348	0.0051161563	0.0004694793	5.3144155e-05	0.00022119432	1.6423492e-05	0.0002341544
m	0.047477897	0.20184468	0.13080378	0.33004758	0.181637	0.05335997	0.0074311993	0.00697475	0.032192167	0.007815158	0.00041576207
i	0.11477388	0.05875247	0.03697271	0.05358103	0.06770258	0.0063029113	0.009323543	0.026182888	0.53899527	0.08686603	0.0005466607
n	0.09875418	0.2936449	0.38213307	0.14149196	0.021202642	0.04992994	0.007030664	0.0010751224	0.0032695187	0.00042791155	0.0010399799
c	0.021911165	0.04598624	0.020497072	0.021721963	0.17872316	0.03856165	0.017059961	0.031985175	0.54245335	0.046773095	0.034327134
i	0.08851427	0.03009525	0.082447775	0.060981054	0.054801673	0.4759767	0.13603449	0.016809098	0.050663084	0.0024078633	0.0012687718
à	0.18526748	0.12800333	0.52501285	0.06357705	0.005679266	0.075673774	0.013885616	0.00032861406	0.0013650628	0.0004276736	0.0007792289
è	0.0083630355	0.07544288	0.5949126	0.08291361	0.023402898	0.17351928	0.024420718	0.0038347961	0.007428968	0.003510818	0.0022503887
r	0.00091141165	0.026842184	0.2150377	0.19240189	0.17191625	0.3195633	0.04954468	0.017020626	0.00472762	0.0018060388	0.00022835327
k	0.021756707	0.02459881	0.097098134	0.101766504	0.14021443	0.07135423	0.09133808	0.03882094	0.32429165	0.08013244	0.008628084
u	0.29348972	0.124631576	0.1047245	0.090874664	0.053131625	0.16077752	0.07642178	0.019038375	0.06101324	0.015575418	0.0003215336
t	0.023675457	0.07026868	0.47362185	0.11385258	0.042785883	0.21675253	0.051310234	0.0040395516	0.0018651434	0.00093238277	0.0008956467
t	0.2038464	0.17911483	0.115385875	0.004380319	0.0023346955	0.007083355	0.0074428325	0.004258986	0.05255909	0.4163756	0.007217921
e	0.07683557	0.079462275	0.10661013	0.007021136	0.006593851	0.45319912	0.15682425	0.04467805	0.026914213	0.032562707	0.009298638
n	0.0053189322	0.01221782	0.14077902	0.06801746	0.057404216	0.46669742	0.2201496	0.011916894	0.013871803	0.0012534837	0.0023733543
d	0.051064637	0.035642937	0.027644463	0.0021624018	0.0025135772	0.008909043	0.007030626	0.005018604	0.26277256	0.5130373	0.084203854
i	0.14216657	0.033719666	0.04728913	0.010535507	0.011505392	0.29258057	0.15301664	0.05715413	0.20795661	0.03382926	0.01024656
m	0.002629872	0.00352069	0.07276644	0.041454896	0.10963883	0.3457566	0.32866928	0.038600266	0.051928423	0.00087232154	0.0041623474
è	0.13627091	0.06923243	0.030137492	0.014252187	0.008758953	0.0028523898	0.0066118534	0.027778981	0.41670105	0.28387573	0.003527975
n	0.0010599871	0.0017861153	0.06230913	0.029669534	0.081206925	0.23821971	0.4541437	0.0653887	0.05887431	0.004835222	0.0025066398
i	0.10171555	0.013349399	0.015515926	0.036936108	0.04041958	0.0030656569	0.028460702	0.17953409	0.4860822	0.09165437	0.0032664277
à	0.0012830362	0.0017520977	0.031571556	0.034128528	0.20732695	0.2516276	0.31658447	0.0814071	0.0649649	0.0016807229	0.007673069
t	1.4280252e-05	0.00057146867	0.015326402	0.006306222	0.034511317	0.12707093	0.039590914	0.055180095	0.036641896	0.53677064	0.14801581
t	0.0017933385	0.0022669598	0.016293237	0.015724778	0.061077565	0.012965818	0.047139436	0.07816313	0.69575083	0.05580522	0.013019625
o	0.16573966	0.010118972	0.028055057	0.021265345	0.018945789	0.039928593	0.16533315	0.1948882	0.28740117	0.0597297	0.008594348
n	0.00045227818	0.0014624106	0.014764654	0.011305057	0.11042602	0.15665506	0.2052423	0.3389225	0.13517691	0.0072863456	0.018306458
c	0.034195032	0.012339025	0.032403514	0.0061740302	0.0041387808	0.0038105734	0.011995151	0.012454946	0.22812356	0.60441226	0.049953114
i	0.008166366	0.0022063502	0.013160173	0.031783674	0.20027225	0.09507489	0.1991006	0.2927199	0.15574388	0.0012370875	0.0005348327
ù	0.0008291785	0.0008087152	0.0069341967	0.0077963825	0.090406336	0.07168972	0.12656263	0.32805035	0.34366366	0.0078548	0.015404021
r	7.149982e-07	1.7419221e-05	0.00037518915	0.00015327151	0.0012060798	0.004927336	0.0027891877	0.010602073	0.020564858	0.8709113	0.088452615
i	0.0045751925	0.0025842641	0.0141656445	0.019231938	0.053268716	0.0032956358	0.02893136	0.06878931	0.62152815	0.16968915	0.013940628
c	0.0011482731	0.0006762244	0.0058010514	0.010442849	0.10216792	0.057971228	0.14850841	0.2977109	0.3163738	0.0128240185	0.04637534
e	0.04330857	0.288736	0.21032736	0.00081220275	0.0007660861	4.704943e-05	6.922001e-05	0.00044172365	0.0231871	0.43215567	0.00014898616
à	0.0013223076	0.00039403295	0.008569693	0.0077403085	0.080809854	0.09206192	0.29710373	0.31111434	0.15212819	0.003580016	0.04517563
t	2.0113027e-06	2.9684235e-05	0.0003999858	0.00028307654	0.0021112545	0.0034230535	0.0016251868	0.010215769	0.047488283	0.86508787	0.06933376
t	0.0033805019	0.0024422891	0.016011158	0.020293972	0.054425266	0.004030311	0.033982623	0.05882039	0.51963	0.2583215	0.028661957
i	0.1986352	0.004269858	0.014340976	0.018124135	0.023839464	0.013004283	0.11860677	0.0789876	0.39905414	0.12210735	0.009030147
m	0.00024784057	0.00080765726	0.0076941177	0.003261664	0.021011874	0.031046206	0.060610007	0.31227103	0.15834244	0.12662297	0.27808416
à	0.031474836	0.017903985	0.025790751	0.015101187	0.01245826	0.0006501896	0.0067991973	0.03743646	0.056887973	0.79195946	0.0035376956
n	8.43975e-05	8.2943516e-05	0.00079404656	0.000429898	0.003249249	0.0056607034	0.009780352	0.035640374	0.062863186	0.46860993	0.41280484
a	0.046500083	0.008557932	0.023793038	0.023586657	0.021300051	0.0014784094	0.027960898	0.052067365	0.05613928	0.7208069	0.017809356
</S>	0.0007424297	0.00096033013	0.009871209	0.0036545044	0.014740896	0.032575347	0.07916422	0.21042842	0.069904126	0.1242461	0.45371246
