 	deve	essere	bianco	</S>
è	0.57911116	0.045346275	0.0053897253	0.37015286
n	0.14655936	0.82167673	0.023960242	0.0078037395
a	0.004383768	0.80597585	0.14385486	0.045785565
è	0.034247514	0.9647048	0.00066795456	0.00037970228
n	0.033838816	0.34583133	0.618196	0.0021338179
e	0.17136882	0.14120667	0.26344612	0.42397833
à	0.29425168	0.6645464	0.037751835	0.0034501338
s	1.5065329e-05	0.0062938193	0.9917237	0.0019675165
p	0.0072341985	0.04872836	0.29462448	0.6494129
r	0.26718256	0.067066275	0.020613736	0.6451374
o	0.6983674	0.059800677	0.047211133	0.1946208
</S>	0.0058584525	0.059020787	0.8104775	0.12464329
