 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
e	0.438504613	0.223996165	0.0075441125	0.01803042	0.00679397045	0.001622072925	0.0092932128	0.0707959304	0.2076999325	0.0110937602	0.00462582215
d	0.169517303	0.209980601333	0.0122615371667	0.024743044	0.01964426545	0.00539178899167	0.0300929659333	0.1483340668	0.362356594167	0.0126767887333	0.00500104481667
e	0.0942502626667	0.270506013444	0.0534966327222	0.095044636	0.0308458678167	0.00691258193056	0.0312027796044	0.12771088152	0.277585553222	0.0068421191111	0.00560268760556
r	0.0509475582222	0.283952931148	0.0694975532407	0.112775991	0.0292657592722	0.0134560359102	0.0219065874948	0.07935907976	0.169988796241	0.00440301473703	0.164446697869
f	0.0589115017407	0.144519387049	0.0613213700802	0.088316916	0.114511736424	0.0920566203034	0.0191391350649	0.0632326205533	0.13407920228	0.00402165584568	0.219889833623
ì	0.0672833495802	0.124844019016	0.326704520027	0.085836687	0.135189936141	0.108160921901	0.00674655792497	0.0213749582844	0.0452847924433	0.00189419255089	0.0766800945367
m	0.0555557188601	0.108664479672	0.404682207676	0.0649845373333	0.0648205627137	0.0414604211003	0.0192075249783	0.0894534702281	0.0568498922978	0.0671588933526	0.0271623527412
u	0.0585037562867	0.152115526557	0.283942190225	0.115438275778	0.0630876592379	0.0311153890334	0.0233744185961	0.112080876626	0.0607071841893	0.0889524426909	0.0106823180004
e	0.0362916230956	0.135564143186	0.231632575075	0.186457671926	0.100155844746	0.0443597630111	0.0728628311354	0.0931040154253	0.0338514824864	0.059496179137	0.0062238821868
n	0.0135865545652	0.0557102573953	0.110657930025	0.158430793975	0.115893213582	0.0607288010037	0.0924487867118	0.102948492808	0.0731010218288	0.0678411997123	0.148652945396
è	0.0130201217217	0.0739333111318	0.206372036675	0.145220647992	0.117054143194	0.0506850496679	0.0341850350173	0.0515079179027	0.0730466280429	0.0411357117708	0.193839384932
e	0.0145922055739	0.0881085620439	0.217782445558	0.196523602664	0.137626811065	0.0548832372226	0.0723657414524	0.0378742739342	0.031122333781	0.0826313157903	0.0664894657773
r	0.0136274461913	0.0455099520146	0.0877649435193	0.142287895888	0.0998038336883	0.0528988977409	0.0966769904841	0.0884425899781	0.139297921594	0.175255068597	0.0584344562591
t	0.0215875857304	0.0284576290049	0.0505661305064	0.0595691469627	0.0556387302294	0.037118415247	0.0499372071614	0.097286584326	0.326943987198	0.152326604866	0.120567968753
o	0.0199767550768	0.0280049830016	0.0695601711688	0.0791627123209	0.145058035743	0.149038737082	0.0235142263871	0.0452741309753	0.267401450999	0.0659275055887	0.107081272818
m	0.00993211119227	0.0186309665005	0.0620907440329	0.078784264287	0.157482830981	0.169369511104	0.0331610124624	0.200326838858	0.204828588933	0.0286449638296	0.0367481614727
è	0.00595476689742	0.00869226280017	0.0511431549876	0.0527629249423	0.13741722606	0.148120542445	0.0553422341541	0.284062842953	0.192179611644	0.0289381656099	0.0353862911242
n	0.0714376957991	0.0110579724001	0.0498443398292	0.0537811749808	0.140332023687	0.142015896815	0.129312431385	0.218100320984	0.104223022548	0.0410969362033	0.0387981957081
a	0.093307734133	0.0128565038	0.0347690071097	0.0549750849936	0.142511789562	0.232376781605	0.141576828462	0.168763380995	0.067390085616	0.0329208152011	0.0185520282027
a	0.0320421418903	0.00732740934	0.0275421494199	0.0475003678312	0.137941763521	0.268240023202	0.163248870821	0.205989790998	0.050985419972	0.0469190632004	0.0122630413676
n	0.0112425238094	0.00372605638667	0.0132887628566	0.0200197186104	0.0528057039403	0.0985936264007	0.16367756114	0.216423254333	0.0690566266573	0.2510978094	0.100068361456
k	0.0846763228031	0.0267920706622	0.0298037342855	0.0240129537035	0.0523855470801	0.0611298914669	0.0607698269133	0.0803535024443	0.0731965588858	0.3631822898	0.143697303819
ò	0.110433832401	0.0351339342207	0.0371201590952	0.0306949155678	0.07333217736	0.103874987156	0.0739846913044	0.0898607778148	0.0881124379619	0.268456923267	0.088995161273
r	0.0728788269337	0.0163517789069	0.0188241369651	0.0297171478559	0.0574675284533	0.092639074852	0.153404750435	0.175565715938	0.0972781943206	0.228786727756	0.0570861104243
a	0.0591484051779	0.0107216198023	0.0260485295884	0.0299746576186	0.0808117271511	0.264409140751	0.135938547812	0.148612190646	0.0634209987735	0.147631231919	0.0332829661414
e	0.0203429333994	0.0060955800991	0.0277021803795	0.0182387934862	0.0794105398504	0.32180174345	0.0871177589373	0.105359742215	0.0459371769245	0.245449619973	0.0425439363805
t	0.00711016487323	0.00233203809803	0.0100531897765	0.00678198384207	0.0273985485168	0.108169133983	0.0667136915324	0.0883671136717	0.0412673889748	0.502878759991	0.138927983793
t	0.0202128652244	0.00734407593268	0.00949087505883	0.00717888201402	0.0184412472723	0.042548380961	0.0243711170641	0.0315558921572	0.0389681363249	0.57652687333	0.223361661264
ù	0.0246181027415	0.00896315376089	0.0108968314863	0.00782532217134	0.0185197864241	0.0339709936537	0.020553843688	0.0273875087191	0.046869956775	0.460353724443	0.340040747088
</S>	0.0128563978708	0.00483254855544	0.00897984544315	0.00536460333567	0.0146455642121	0.0375716268269	0.026049463844	0.0367934393595	0.0402342753875	0.356833412222	0.455838773544
