 	vado	trovando	un	forno	che	fa	pane	buon	e	non	so	dove	è	</S>
i	0.96065044	0.008051351	0.00062970625	0.00042741033	0.00016032436	0.00073801127	0.0029920659	0.0010842644	0.002351406	0.0048269285	0.010450484	0.0043362137	0.00027432988	0.0030271101
p	0.6962133	0.268367	0.0018375788	0.01612328	0.00018354131	0.0005429692	0.0002890388	6.6589896e-06	4.1101386e-05	0.00088659994	8.9992864e-05	0.00018816232	5.3068024e-06	0.015225538
à	0.388116	0.59352803	0.0006995473	0.017358951	4.5259283e-05	6.71115e-05	1.2582584e-05	2.3112862e-06	1.535487e-06	1.1612709e-05	1.8372713e-06	1.2428381e-05	2.1185942e-06	0.00014066348
o	0.037693627	0.8513846	0.07797541	0.02978983	0.0018718924	0.00021865165	7.355102e-05	1.8250943e-05	1.4398758e-05	9.240541e-06	4.3762766e-06	1.590949e-06	7.3517114e-08	0.00094450935
v	0.4341918	0.3987787	0.029154949	0.1042507	0.008145903	0.007907578	0.010386135	0.0007899475	0.0003717173	0.002563056	0.0007151109	0.0006756234	3.9119073e-05	0.0020296508
r	0.416741	0.47642466	0.013144329	0.09328262	0.00023360041	7.710887e-05	5.214895e-05	2.1637445e-05	5.6488643e-06	2.467507e-06	8.3641834e-07	1.0764501e-05	5.8116467e-07	2.5743875e-06
ì	0.5144338	0.23603821	0.23761041	0.0051903576	0.0063308305	0.00020812197	5.7659163e-06	8.744143e-06	9.275738e-06	1.4062105e-07	1.1919119e-06	6.052615e-07	2.0053562e-07	0.00016227773
s	0.00045243007	0.044559658	0.8437797	0.035189137	0.07181754	0.0017795644	0.00014129058	8.285744e-05	0.00018232124	2.1416445e-05	1.8161623e-05	4.4043777e-06	3.6108332e-07	0.0019710695
k	0.023703076	0.006370658	0.48109743	0.06670012	0.4071179	0.0097707175	0.00067694427	0.00030936662	0.0040140343	6.1036994e-06	4.6217025e-05	5.9054382e-05	0.00010621479	2.2291364e-05
o	0.8295582	0.0046492876	0.13868539	0.00033604316	0.024737375	0.0006691259	7.5456564e-06	2.4829065e-05	8.4144616e-05	1.0936589e-06	2.2787235e-05	6.148679e-06	4.9921946e-06	0.0012130231
n	8.2754e-05	0.0010150004	0.49513075	0.01248051	0.46218452	0.026149087	0.00017151491	8.8439236e-05	0.00058621855	0.00012701737	2.5780815e-05	2.4099131e-06	1.3976634e-07	0.0019558852
t	0.03314344	0.0043842895	0.89395547	0.046228588	0.02196774	0.00014545684	3.7191771e-06	0.00010567467	5.2900286e-05	9.560645e-08	5.0510977e-07	8.8175e-07	2.8064275e-07	1.1000763e-05
a	0.4338935	0.024575856	0.35561192	0.018376159	0.105938464	0.023706323	0.003952946	0.0063659474	0.0057338784	0.00023526627	0.0024038388	0.0007621875	0.00026380783	0.018179893
n	0.0005125501	0.0016287884	0.6692033	0.15826383	0.13751508	0.025140803	0.00047698192	0.00010928939	0.00046948402	0.00018758194	3.9823335e-05	2.4078361e-05	4.2324195e-06	0.0064241732
a	0.005591102	0.0005355572	0.67083627	0.060120843	0.23500878	0.010395695	0.00035814408	0.002204431	0.001851183	9.4825045e-06	5.9003643e-05	0.00015348698	0.0001933613	0.012682682
f	0.0009996353	0.0013840805	0.1776892	0.67866707	0.09353033	0.027677806	0.010484959	0.0026209624	0.0049745333	0.0009933641	0.0005791545	0.00015168134	2.0121224e-06	0.00024523007
u	0.0024922239	0.00039599353	0.64473075	0.14549527	0.20060661	0.0013476536	0.0002301632	0.0014033045	0.0021023587	5.6635663e-06	1.8353561e-05	2.8365728e-05	4.893387e-05	0.0010942629
