 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a	0.97923684	4.085805e-05	0.000678788	0.00027208752	0.00031156337	0.0016385427	8.318838e-06	0.00095363805	0.005057043	0.00017904124	0.00063237996	0.005310248	0.00018115157	0.0054995017
p	0.95219904	0.02122197	0.01643355	0.00406049	0.00018396751	0.0006603522	1.0366461e-05	0.00011981388	0.0002949582	1.0081048e-06	0.000117138334	0.00012240092	5.3916474e-06	0.0045696073
e	0.039167956	0.08562169	0.15552805	0.20007722	0.02350918	0.07208829	0.004476277	0.01848513	0.07293318	0.008959201	0.059998244	0.003197417	0.1030204	0.1529378
t	0.5639129	0.39049152	0.0345864	0.007620386	0.0012320696	0.00014373785	3.5081193e-05	5.5444743e-05	3.614736e-05	5.4042443e-06	6.534259e-05	1.4942873e-05	2.7818572e-07	0.0018003691
à	0.05529331	0.15013786	0.031887732	0.05024999	0.011017286	0.020033129	0.022546522	0.0071406006	0.02234294	0.027678542	0.07768087	0.0014976587	0.5139738	0.0085197985
c	0.007798546	0.92785734	0.035480134	0.012208598	0.01379638	0.00017835997	0.0020115045	0.00027548848	7.755614e-05	8.905374e-05	5.0700222e-05	2.1866368e-05	2.1314019e-08	0.00015431119
i	0.8838883	0.022837026	0.033392597	0.03476435	0.008088706	0.0055967513	0.0011789661	0.001683133	0.0060192444	4.398323e-05	0.0013563833	0.0010428728	6.524391e-05	4.2535023e-05
a	0.036818508	0.25416112	0.59070086	0.061944988	0.045444407	0.007183062	0.00020361209	0.000829649	0.0006891282	1.3019433e-05	0.0001311152	1.140472e-05	2.261392e-08	0.0018690698
e	0.014946446	0.050482973	0.4935326	0.24608359	0.08483073	0.058226768	0.018520286	0.012796128	0.008117545	0.005423637	0.0023549555	0.0023778526	2.8034548e-05	0.0022784104
t	0.01694031	0.038635906	0.27219802	0.5208234	0.042769816	0.047229085	0.007059661	0.018096196	0.014099651	0.0041158423	0.007956618	0.005963405	0.00048586904	0.0036262164
o	0.00607574	0.3635818	0.025554396	0.25822484	0.050654635	0.026470032	0.057763804	0.031878233	0.06125082	0.02077777	0.051769752	0.0071949796	0.00713186	0.031671267
s	0.00600858	0.0178197	0.07194501	0.29660794	0.44780293	0.04163034	0.05829551	0.031667106	0.02120745	0.0005490985	0.0053632953	0.00087159796	1.4553373e-05	0.0002169041
ò	0.00043262885	0.5762947	0.0012548671	0.07754214	0.08220315	0.0024866671	0.15839982	0.015212953	0.008513416	0.01873921	0.05279307	0.0025507621	0.0025771647	0.0009994721
z	0.00015050764	0.0014063823	0.049871143	0.46145135	0.19993596	0.04614395	0.05202695	0.11636199	0.053175926	0.007346841	0.01146586	0.00052417873	2.0945425e-05	0.00011810663
u	0.69517356	0.01193907	0.0041934885	0.19073659	0.053670537	0.0028439267	0.0023929386	0.012573797	0.0067309104	0.00032008215	0.01872389	0.00050295354	0.00011963688	7.873525e-05
m	0.00027592425	3.891024e-05	0.043324728	0.21432282	0.22300982	0.26841423	0.027510189	0.11698583	0.09140774	0.0022551306	0.0116942935	0.0004962468	7.6292513e-06	0.00025646444
e	0.0088321455	0.005655559	0.01196778	0.4714827	0.090739265	0.060167767	0.004603623	0.047834203	0.19303438	0.0015148366	0.086619556	0.0041169673	0.012352234	0.0010789768
e	0.00016450786	8.067665e-05	0.008588346	0.22033323	0.46751508	0.17167513	0.029801682	0.0642821	0.029859327	0.00063791004	0.0046902495	0.0012915757	5.6545505e-06	0.0010745034
s	0.00011405837	8.842684e-05	0.010255709	0.24390942	0.11500129	0.22665931	0.104080744	0.07765535	0.03351227	0.07040289	0.032650564	0.0761446	0.0061778785	0.003347541
ò	0.00066994136	0.009746195	0.00030175393	0.039367724	0.02634334	0.008397393	0.1931691	0.06256117	0.07166126	0.106315926	0.36710462	0.028750744	0.07096011	0.014650704
z	1.2793869e-05	5.1406896e-05	0.00034966605	0.09057687	0.22207817	0.022955801	0.3236755	0.16612698	0.11379828	0.030373722	0.021233607	0.0063581453	0.002259184	0.00014978176
u	0.47988144	0.0004842068	0.001686562	0.26717514	0.07389443	0.009782712	0.0046000606	0.048222367	0.022517657	0.00241852	0.08067302	0.006091435	0.0021078116	0.00046462798
n	3.0987878e-05	2.573509e-07	0.00034131523	0.017075535	0.025228754	0.093443245	0.027979106	0.27113047	0.53515196	0.009222071	0.017074496	0.0022121996	0.0005098249	0.0005997228
f	0.0034853218	0.00037875987	3.3425087e-05	0.032638557	0.038825873	0.0007557518	0.051791955	0.1994697	0.044629492	0.071031705	0.51921934	0.019131757	0.018522862	8.553999e-05
