 	sto	e	cucino	</S>
e	0.731110575	0.01868616798	0.20368152815	0.046521652
s	0.873605055	0.00671390769	0.10157096615	0.0181100134333
t	0.921860708333	0.00484658937333	0.0664863614	0.00680634167777
è	0.662751629444	0.285292222558	0.02339652175	0.0285596463259
c	0.544420336481	0.378101662519	0.04179057385	0.0356874631753
e	0.482132860927	0.414126889173	0.05139184295	0.0523484121251
m	0.168287250409	0.424674231358	0.347914959317	0.059123530275
a	0.0618923732563	0.218999692086	0.590496579772	0.128611336325
r	0.0582374108721	0.233821010695	0.357134023257	0.350807572108
è	0.0568791821327	0.164394645565	0.443440941086	0.335285245036
o	0.0190165765862	0.0578127810217	0.513429277029	0.409741372679
</S>	0.0095828263431	0.0292542262608	0.336349758514	0.624813216339
