 	i	bambini	non	si	vestono	da	soli	</S>
t	0.863786225	0.0016837256915	0.05171899255	0.011422852565	0.001112539822	0.0158871564	0.0097330129	0.0446554957
a	0.837037488333	0.0146630445972	0.0584720285167	0.0122718405217	0.001575232774	0.0164615603	0.0091618201	0.0503569819
p	0.604354452778	0.0306676528657	0.0667529185056	0.0675336798406	0.013137095258	0.121141404933	0.0230208251667	0.0733919573
e	0.263549434259	0.292506320955	0.0818611151685	0.0888889139469	0.017439157086	0.155636064244	0.0271929827162	0.0729260064333
t	0.12945904642	0.579036663652	0.0509145263895	0.0725314403156	0.052153699362	0.0712414420147	0.0100346112994	0.0346285761444
ì	0.04713758394	0.655894634551	0.0850322711298	0.0771488897719	0.0643844392873	0.0442805478382	0.00430459856427	0.0218170511815
a	0.0271676881133	0.478600959184	0.26019976371	0.163196761257	0.0341853675958	0.0243270964461	0.00158286164589	0.0107395195272
e	0.0395178280378	0.203992077395	0.38473641457	0.270685540419	0.0468686258653	0.035995823482	0.0051150142753	0.0130886998424
n	0.0346985373126	0.158690512465	0.26292039919	0.218563225473	0.148403376955	0.064986124494	0.0103263867584	0.101411469947
i	0.0166940980709	0.161898344155	0.21370366073	0.246715533824	0.166347363318	0.0618835581647	0.00765133668613	0.125106100949
n	0.0098769130503	0.290710224718	0.19306298891	0.229519123275	0.175100945439	0.0391969237216	0.00266459917538	0.059868281283
d	0.00403332954343	0.474850798239	0.0657222790367	0.114343598425	0.249657025146	0.0508793255739	0.00100667270846	0.0395069938943
ì	0.00571598534781	0.358047147413	0.245945500412	0.097052731475	0.188761125049	0.0629892965246	0.0196245383728	0.0218636994314
n	0.111279842783	0.192673697138	0.308824274137	0.104020835158	0.17379965835	0.0627656635082	0.0264866872909	0.0201493424771
n	0.455837900928	0.138941819713	0.108305881379	0.0807467510527	0.145286946317	0.0485359101694	0.00962388471697	0.012720911269
o	0.465248893059	0.0540430670377	0.0921963364597	0.133000561684	0.148331308972	0.0773791890565	0.00783470535899	0.0219659661997
t	0.155590955003	0.0293124028126	0.0854128147432	0.197028790561	0.377297302991	0.117664755019	0.00743259881966	0.0302604413999
t	0.0527989084677	0.0278476132709	0.0297045426711	0.19726661352	0.53336995433	0.130946337006	0.00291978770655	0.0251463171333
e	0.0183825043159	0.017863949657	0.0160550817237	0.192415041173	0.51246063811	0.144000929002	0.0206390473022	0.0781828397111
m	0.0067273766653	0.00639510851567	0.0167076369079	0.164111527058	0.33270954337	0.163525679667	0.197355781434	0.112467353237
a	0.00420936138843	0.00258720956856	0.0228674419693	0.158897015686	0.28008659179	0.149795338222	0.246948169145	0.134608881079
n	0.00289782723281	0.00285604142285	0.0187481763564	0.108242130895	0.46312374393	0.190176057741	0.093238529215	0.120717503026
e	0.00133516451427	0.00312282567428	0.00787032865213	0.0676236026317	0.509039847977	0.28564542258	0.0385929642383	0.0867698436753
c	0.000964536504757	0.00163399067243	0.00722912438404	0.0657119068772	0.319689781726	0.216378724193	0.301561145079	0.0868307622251
h	0.000600102241586	0.000827123955143	0.00555549911468	0.0729514049591	0.330465906309	0.158164718064	0.38355707556	0.0478781228417
à	0.00293196602053	0.000541957323714	0.00226166187489	0.0590718438797	0.333919676303	0.125435904588	0.443913669053	0.0319233233806
t	0.14567726034	0.00137069386324	0.00186158534163	0.0273330758532	0.163055336301	0.138498916763	0.484900348351	0.0373028341269
u	0.191037855213	0.00169867459441	0.00397088241388	0.0180157342844	0.130978355434	0.206662745588	0.195537413117	0.252098379709
</S>	0.0961493802565	0.000929388757205	0.00575430435694	0.0111390821422	0.103864267717	0.200787082794	0.115612139058	0.465764389854
