 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a	0.7080797	0.21485891645	0.0097556243	0.011013192	0.000337363175	0.000486416935	0.006606076988	0.02494438609	0.006014556063	0.01790380865
n	0.419071000467	0.236583620817	0.260242822767	0.0280094726667	0.001713610875	0.000599302268333	0.00262866222133	0.00941055222333	0.002157344843	0.0395836319833
ì	0.141176188689	0.421807152272	0.350072530922	0.0310398628556	0.00255170989167	0.000642020694444	0.00130465509378	0.00416516665311	0.000866142688267	0.0463745272278
c	0.0487964682963	0.676970514091	0.133010043974	0.0880994815852	0.00722726703056	0.0201745923365	0.00326401248459	0.0064940633297	0.000425578203356	0.0155378781403
h	0.0382181234321	0.747816724697	0.055103228658	0.107122581295	0.00838937676819	0.0266771197038	0.0039099206552	0.00726940056623	0.000278598784742	0.0052148520211
a	0.0333610012107	0.814624574899	0.0650421465527	0.057760147865	0.0138171016807	0.00929213952627	0.00144110735207	0.00244816735174	9.3226547404e-05	0.00212038135037
d	0.0116961912369	0.778576004966	0.135640085518	0.0486934046217	0.0181748482269	0.00425130654209	0.000880054534023	0.000927678483913	3.48516290013e-05	0.00112557263346
ò	0.00416316684063	0.512872567322	0.129304060173	0.195617770207	0.127594503742	0.021950470514	0.00655633928801	0.000565019037971	2.59115416671e-05	0.00135017502782
n	0.00180182834188	0.315752864774	0.125989698391	0.287455693402	0.216639704581	0.042011597838	0.00846794141934	0.000421565552657	8.04878282224e-05	0.00137858735994
t	0.193204213181	0.338606654925	0.13665177613	0.151540626801	0.127863264994	0.0291366917993	0.00362427212978	0.000298847864219	9.18199594075e-05	0.018981776304
a	0.256618612406	0.209294984975	0.08256920071	0.3091716346	0.0820304284647	0.0236020221198	0.00767413337659	0.000847974211406	4.03946638025e-05	0.0281505621013
t	0.085575137502	0.083708878325	0.0538858289033	0.5234398982	0.130384579488	0.0736827673733	0.0205955691255	0.0124202369705	0.0014893827286	0.0148176997004
a	0.0285706415787	0.0402474241417	0.0475574573011	0.5926922894	0.141964099829	0.0991636657911	0.0238593487085	0.0164567661235	0.0020180988562	0.00747018410013
s	0.00955593731323	0.0208625440806	0.0354000006337	0.487315751133	0.247638249943	0.145511375264	0.0256508482362	0.0201767118412	0.00287291489873	0.00501563990004
ì	0.00319046649341	0.0140536500622	0.0132289357112	0.417525415044	0.294846099981	0.199674558421	0.0282933507454	0.0215449988137	0.00369338296624	0.00394912841335
n	0.00231979795647	0.0073820063894	0.00832344153707	0.539019455015	0.22627553666	0.18536767614	0.0184736584151	0.0083766455379	0.00288823798875	0.00157349528445
n	0.110485027452	0.0059286012298	0.0143444075124	0.487894701672	0.18691557222	0.12689004738	0.0406678169717	0.0190490239126	0.00348385399625	0.00434088346148
e	0.145286034088	0.0027522985627	0.0130482979728	0.363031590557	0.131690074073	0.192629961127	0.104393552324	0.0358097546375	0.00393163809875	0.00742678195383
f	0.0484687009795	0.003718453907	0.00521043932627	0.234609753519	0.181764171358	0.387362747042	0.101174495441	0.0273899502125	0.00478996423292	0.00551136991794
a	0.0161996165935	0.00406218919367	0.00298316777542	0.19847620784	0.216217617119	0.394855409014	0.10627012648	0.0453993270708	0.00995689317764	0.00557948677265
ì	0.00540453276023	0.00137654659523	0.00141991294914	0.26990104928	0.211966075706	0.294109343005	0.117490005493	0.0617061423569	0.0271767437259	0.00944965292422
c	0.00180184694846	0.000518263574413	0.000561396907047	0.335177166427	0.185767523569	0.318180007668	0.0628766784977	0.057963016119	0.028735135242	0.00841899074141
h	0.000602412287573	0.000264286084804	0.000331567522349	0.257474873476	0.11780704619	0.367738275889	0.138987639499	0.086823737373	0.0209079767473	0.0090622200138
a	0.000202940009424	0.000120636225535	0.00019106661245	0.122548130825	0.07757936873	0.309116685296	0.2532939965	0.135874372458	0.0708919732491	0.0301808206713
a	6.81610237857e-05	4.27756378783e-05	0.000100265405817	0.0655047719417	0.0497883462433	0.209427651765	0.2242387055	0.281068677486	0.127955151083	0.0418054448904
n	2.35163707729e-05	0.000664261501393	0.00394628508527	0.0339409224806	0.273456425414	0.152614543922	0.123981366833	0.270541202495	0.116415240361	0.0244162071435
o	8.8909540243e-06	0.000877841461464	0.00540205141176	0.0172394663269	0.345049803471	0.116233011307	0.109547157278	0.221643594165	0.162164516787	0.0218336612278
ì	3.29866771143e-06	0.000301242206056	0.00199106368199	0.0153868774423	0.126491575824	0.0673906564357	0.112210139759	0.241298634722	0.396572518929	0.0383539594093
s	1.51082525071e-05	0.00103503919325	0.00210044782206	0.203045574147	0.0964105049413	0.0706838748119	0.0530242699197	0.123101323641	0.41981953631	0.0307642677831
o	1.99958339357e-05	0.0012797260637	0.00213979951435	0.260306794449	0.0811764729938	0.0660355137706	0.0332409246399	0.098332359947	0.406845575437	0.0506227715744
n	7.84998644523e-06	0.00105731582052	0.00258662131178	0.0956997705497	0.0350127403446	0.0408595520902	0.0275233112133	0.100405069982	0.639030671812	0.0578170505248
t	0.000184769727515	0.00110799412351	0.00285838497059	0.0406926577699	0.0203981416149	0.0312521475301	0.0349287914044	0.192414509994	0.602716070604	0.0734465201749
a	0.000243643786005	0.000494283579927	0.00107942684428	0.0138904709983	0.00783261114897	0.0131536135767	0.0553931671348	0.270311343331	0.473224733535	0.164376690058
k	8.17138882683e-05	0.000692895215399	0.000418227702173	0.0056205262211	0.00395333916032	0.0357755707589	0.0493897700449	0.211521937777	0.544686154512	0.147859829353
a	2.77611411161e-05	0.000759442757133	0.000202006203224	0.00294887308703	0.00270970977677	0.0433472559196	0.0320373073483	0.182927205926	0.632731651504	0.102308752451
v	9.96698363203e-06	0.000711728437711	0.000498160770241	0.00133988774234	0.00186667751559	0.0305077493065	0.0185740347161	0.116128924642	0.749218483835	0.081144354917
r	0.000398396635544	0.0026318342459	0.00723586942341	0.00400341401411	0.00348974803853	0.0263610722355	0.0177965875054	0.157643480881	0.697812927945	0.082626655739
è	0.000676759495181	0.00281392498504	0.00906154590447	0.0046462868847	0.00313564946384	0.0110191191985	0.0174807791685	0.167064969194	0.567427692648	0.216673285246
c	0.000375154730784	0.000951756353423	0.00303012758532	0.0016785726849	0.00348414580561	0.0051706667195	0.0105100817228	0.105705248631	0.531389447549	0.337704818415
h	0.000125126238056	0.000331196862574	0.00101381726874	0.000725910921633	0.00360804248187	0.00483127033983	0.0302705559076	0.259110252877	0.40562081585	0.294363016138
i	4.193493691e-05	0.000111023872858	0.000343713597713	0.000319864693878	0.00128764891729	0.00504842367994	0.0359517443025	0.273766894959	0.316820488617	0.366308248713
</S>	2.1288986685e-05	5.5805880279e-05	0.000180087731357	0.000197141151939	0.000753714073645	0.00522832903997	0.0224973156512	0.155627463479	0.305529719309	0.509909124357
