 	la	madre	e	il	padre	non	è	non	è	che	li	dimentichiamo	mai	perchè	ci	hanno	dato	la	vita	e	amore	</S>
i	0.77925551	0.1491768015	0.00561964887	0.0246872304	0.00183122801	0.0057431961	0.00012575944	0.002621316	0.000110601445	0.00037954831	0.0048532893	0.00404120495	0.003119865933	1.656392675e-05	7.81046536e-05	0.0040095065435	0.00068192634305	0.0008952547735	0.0004232812845	0.000869927842	0.0010243875906	0.010435773
m	0.663931556667	0.276863173833	0.00597409479	0.0296928411333	0.00224203607	0.00564082393333	0.000109009273333	0.00231915188	6.03389265e-05	0.000246446671333	0.00236316352333	0.00197378369	0.00104891132233	1.15013085833e-05	2.98584406e-05	0.00134026711947	0.00022866221057	0.000300858010133	0.0001458948896	0.0003003074723	0.00034228393502	0.004835008439
à	0.425953968889	0.325996731278	0.162581991763	0.0589818157111	0.0147634082567	0.00426131931111	0.00128724628444	0.00120464530667	0.000170915803667	0.000132603901778	0.000904266247777	0.00071358176	0.000363852348443	9.60554502777e-06	1.50135172e-05	0.000453906060457	7.85719444767e-05	0.000102304135344	5.30524896333e-05	0.000101256746867	0.000114221959411	0.00175570887867
n	0.177287072963	0.463416697093	0.264027173921	0.0669037885704	0.0205691315189	0.0031694304077	0.00172112243148	0.000767719810207	0.000208424877722	9.2233128826e-05	0.000382417477026	0.000268969777867	0.000131852540228	4.06250002259e-06	7.34179556667e-06	0.000157876794271	2.82840547136e-05	3.57188559013e-05	2.16609931644e-05	3.43671150423e-05	3.81198937333e-05	0.00072648050424
a	0.083494854421	0.487486449031	0.310327987974	0.0925804028568	0.0199026459396	0.00297685867323	0.00186157168049	0.000492431328052	0.000122418729074	5.60331011753e-05	0.000140446378442	9.2434130489e-05	4.49205181893e-05	1.74057147753e-06	3.29911535556e-06	5.42503982087e-05	9.94797252587e-06	1.21843589538e-05	7.8510038748e-06	1.15383228108e-05	1.27459278751e-05	0.00030693390943
c	0.263185801574	0.269204514344	0.279670833658	0.157840874286	0.0203560056465	0.00559047289108	0.0019344419735	0.000887065859351	0.000103987445358	7.40777770584e-05	0.000436739467814	0.000477792480163	1.95718575964e-05	3.29035418251e-06	4.83909245185e-06	2.00667149696e-05	3.86028688396e-06	4.52935106793e-06	3.4402834916e-06	4.22515868027e-06	4.2891331357e-06	0.000169248530477
e	0.322200410968	0.129243441781	0.307416415553	0.206232171429	0.0204474538822	0.00823990463036	0.00120509767117	0.00118114681978	0.000138438890786	0.000256077495686	0.000665830202605	0.000648514760054	2.16208136988e-05	1.87447682942e-05	2.31302218173e-05	1.26332738899e-05	5.04447950332e-06	5.47955023931e-06	5.9987254972e-06	2.93301306009e-06	1.69984647057e-06	0.00202775768083
o	0.109154570899	0.058006235927	0.473694398518	0.239829297143	0.0241343256274	0.0578280758768	0.00668107349039	0.0145377902066	0.00236530163026	0.00148651696523	0.0036259651142	0.00511082488668	0.0003675021799	4.35389880981e-05	0.000101450671272	8.164197863e-05	6.25618055011e-05	3.85592517464e-05	4.94484881657e-05	2.822531262e-05	1.49255769019e-06	0.00277116777028
c	0.0699703870997	0.0236064132423	0.323365083839	0.394577182381	0.0242237985425	0.0915902052923	0.00855274786346	0.0243171874022	0.00322034113342	0.00270024365508	0.0129652620381	0.0184218346289	0.0005417158733	0.000207470008033	0.000269317137091	0.00010719848421	7.9823061967e-05	6.41814432488e-05	7.08751647219e-05	5.24032658733e-05	4.29602183006e-06	0.00109202968343
i	0.0556313630666	0.00907473364743	0.206779195613	0.574840610794	0.0323868561808	0.0603405217641	0.00578077965449	0.0153090981341	0.00165718603447	0.00305936238503	0.013137928626	0.0181251527763	0.0002686759311	0.000293084379344	0.000307707212364	6.389637807e-05	4.4345720789e-05	5.13324020829e-05	4.55548902406e-05	3.62652249578e-05	5.27970841002e-06	0.00276105947781
ù	0.0188083081105	0.00351803592248	0.204407400538	0.489742056931	0.0329595327269	0.103554217255	0.0600661402182	0.0417811457114	0.0160050372448	0.00473798952834	0.00709134615533	0.0082940563921	0.00268173243703	0.000724193536448	0.000838045154121	0.000678871748023	0.000297564703596	0.000129917837361	0.000157324703414	3.63781313193e-05	1.85091966033e-05	0.00347220582594
r	0.0102258324252	0.00934391671416	0.225408638846	0.376498645644	0.0722450372423	0.110945991618	0.0943908684061	0.0492774772038	0.0248509030816	0.00697454607611	0.00536191965178	0.00513965579737	0.00368638324568	0.000901053128816	0.00101883521804	0.000948213766008	0.000411198797865	0.000348685045787	0.000389761907805	8.59742904398e-05	7.08277762011e-05	0.00147568197531
i	0.00739613571507	0.0112528213711	0.192463638515	0.284514791881	0.238102542414	0.0507651980727	0.134640497802	0.0198273487013	0.0412544150272	0.00682190952537	0.00383926558393	0.00270480269912	0.00286342218189	0.000475076172939	0.000471044929347	0.000678119452003	0.000201754436955	0.000423781785262	0.000455747495935	9.28224834799e-05	7.2754568367e-05	0.000682168755103
e	0.00254256670502	0.00376133657303	0.0681844967383	0.172330220627	0.254229592138	0.0836740943576	0.198972355934	0.0363025472338	0.0769522850091	0.0261705660085	0.00892647696131	0.00709798023304	0.00580262239396	0.0101471967376	0.0218923431998	0.002216256764	0.0100828515733	0.00334053753175	0.00260330595864	0.00256694662783	0.00176561874576	0.000437824361701
n	0.0694669121283	0.00209993240734	0.0508432772461	0.186530693542	0.137100143379	0.0946423614525	0.195083735311	0.0447240377446	0.0693120156697	0.0372658863362	0.0137210686538	0.0140829080777	0.00584638076465	0.0137598650125	0.0321115617333	0.00261982607467	0.0137385486578	0.00471156024392	0.00365707028621	0.00402159150928	0.00296033348192	0.0017002865339
è	0.0917546525704	0.00154318223398	0.042538794782	0.170964137847	0.11229249246	0.0492625648175	0.27283137177	0.0246572275815	0.112258739223	0.0282515707787	0.0112862500179	0.0121335900592	0.0109638922216	0.0108650987708	0.0191475902444	0.00382885984489	0.00684729101927	0.00677497581464	0.00516285162874	0.00289284803643	0.00167288924064	0.00206912285797
e	0.0305927831442	0.000514582034293	0.0152058414273	0.0797653112823	0.06785459782	0.0532490959392	0.308196813923	0.0924562455272	0.138860453074	0.0409289579262	0.013863015806	0.0168511337197	0.0177416180739	0.0259164995903	0.0402212720815	0.00503375111496	0.0197425093398	0.00819440263821	0.00615898287625	0.00360803901214	0.0129814973935	0.00206260196599
n	0.0332325414745	0.00140451120286	0.0325996112758	0.0529193524274	0.0560107362733	0.0498130653797	0.333785574641	0.112211015176	0.104154157691	0.0446956246421	0.0138146985687	0.0182066780066	0.0124577995913	0.0266392058634	0.0460560666938	0.00309757197165	0.0233458602133	0.00652829624607	0.00490527239208	0.00395767473738	0.0179858610645	0.00217887548866
è	0.0341142857093	0.0017010368555	0.0376602639186	0.0431456535758	0.0590486577578	0.0190532857599	0.361199928214	0.040172168392	0.174517382564	0.038510542214	0.0094300938229	0.00910239556887	0.0332795360971	0.0311966206211	0.0364223142313	0.00782321709055	0.0133157801711	0.022466522082	0.0136511762307	0.00561185187913	0.00752436898817	0.00105297913955
n	0.0113897024399	0.000643931279715	0.0159528881329	0.0368317559586	0.0645292249193	0.01751414582	0.292694666071	0.0187476971307	0.204662324188	0.0932453460713	0.0127602276076	0.00767715998962	0.050208216699	0.036803040207	0.0333023325771	0.0115054183635	0.0128581567237	0.0306211480273	0.0195256277436	0.00797345062638	0.0160244340294	0.00452914795652
o	0.0038156094023	0.000291562260977	0.00868985900797	0.0326668984095	0.0590165914398	0.0181335202733	0.221901017024	0.0189801307102	0.223061538063	0.105669202357	0.0216490055359	0.0141832013299	0.1390122169	0.0228865277357	0.0194347136924	0.0160378834545	0.00896974477457	0.0198039086758	0.0148545762479	0.00635324327546	0.0186956159198	0.00589345875217
s	0.0024651094041	0.000459666848064	0.00473486763299	0.0430716422265	0.0605218302799	0.00893033612443	0.260766490675	0.0159279969267	0.262089289354	0.053767900119	0.0189910413786	0.0139361257866	0.162914378967	0.0205794685786	0.0133459015641	0.0161828582515	0.00406446555819	0.0143674868919	0.0103795787493	0.00310474211515	0.00708311628327	0.00231569155739
