 	le	melanzane	vogliono	girate	</S>
i	0.501810235	0.4498834	0.01176585196	0.007944557385	0.0285959415
m	0.207823107333	0.756329733333	0.01189890552	0.00811969682833	0.0158285505333
a	0.0879081047777	0.866526957778	0.00994567037333	0.00894093797611	0.0266782935444
r	0.0434640883926	0.767490852593	0.0472877007911	0.062850279992	0.0789070578481
a	0.0239915522642	0.748640134198	0.076546461597	0.075172201364	0.0756496203494
n	0.0158386500147	0.553227034899	0.0954691938657	0.028263465488	0.307201604516
g	0.0993215065982	0.195740439466	0.239787867955	0.015654023496	0.449496138172
i	0.127444228133	0.0929994124887	0.499608605985	0.0180646544987	0.261883096057
à	0.0430212255843	0.117546992496	0.673210768662	0.0285299901662	0.137691032352
n	0.0437174188014	0.111806499499	0.576587006221	0.0246619873887	0.243227091117
e	0.0457774746005	0.128789591833	0.538404985407	0.0109544655629	0.276073476372
i	0.0172245185682	0.133300717944	0.719568108469	0.025924887621	0.103981763124
t	0.0058178639474	0.0474130894813	0.737832896156	0.0513106158737	0.157625539375
è	0.0020049137378	0.0163655038738	0.773594935385	0.0405147128579	0.167519982458
l	0.0419683946113	0.0603444158379	0.780838458462	0.049036340186	0.067812454486
u	0.0553400688038	0.075861722046	0.704113109487	0.118373591729	0.046311548162
n	0.0463886402013	0.0268470848487	0.773759113162	0.122393590576	0.0306115907873
e	0.0434277939538	0.00969876481623	0.840945337721	0.0650524628587	0.0408756426624
v	0.0253583452046	0.00356433680208	0.87943206924	0.0436793192862	0.0479658928875
o	0.0192980860982	0.00140236204069	0.84673202308	0.0402187187621	0.0923487329625
t	0.0262068773961	0.00068047382023	0.813875341027	0.0419009309207	0.117336279321
i	0.0285006129487	0.000440747756743	0.718021370342	0.0443369516402	0.208700274774
m	0.00994492136623	0.000406898998914	0.409012233447	0.19408551388	0.386550441591
m	0.00397047793874	0.00116953215964	0.171177167816	0.278399354627	0.545283463864
è	0.00167804502291	0.00133725928221	0.087302144672	0.393266804876	0.516415771288
n	0.071880390801	0.00099616262307	0.0827879969573	0.424892144959	0.419443340429
e	0.0951693898323	0.000870720853223	0.0882250356524	0.194866926986	0.62086793681
</S>	0.0475903992641	0.000437579244911	0.0583095778262	0.111801686493	0.781860753405
